date,raw_anchor,guardrail_trace_ratio,guardrail_trace_ratio_pre,guardrail_trace_ratio_post,guardrail_triggered,guardrail_trigger_reason,guardrail_mode,model_regime_conf_raw,model_regime_conf_adj,model_pers_blend_lambda,model_blend_to_pers_strength,model_blend_to_pers_conf_threshold,model_blend_to_pers_power,mix_lambda,shrink_gamma,floor_eps,apply_floor_to,regime_assigned,dominant_regime,realized_vol,avg_corr,market_ret,regime_prob_0,regime_raw_0,regime_prob_1,regime_raw_1,regime_prob_2,regime_raw_2,model_fro,model_kl,model_nll,model_stein,model_logeuc,model_corr_offdiag_fro,model_corr_spearman,model_eig_log_mse,model_cond_ratio,mix_fro,mix_kl,mix_nll,mix_stein,mix_logeuc,mix_corr_offdiag_fro,mix_corr_spearman,mix_eig_log_mse,mix_cond_ratio,roll_fro,roll_kl,roll_nll,roll_stein,roll_logeuc,roll_corr_offdiag_fro,roll_corr_spearman,roll_eig_log_mse,roll_cond_ratio,pers_fro,pers_kl,pers_nll,pers_stein,pers_logeuc,pers_corr_offdiag_fro,pers_corr_spearman,pers_eig_log_mse,pers_cond_ratio,shrink_fro,shrink_kl,shrink_nll,shrink_stein,shrink_logeuc,shrink_corr_offdiag_fro,shrink_corr_spearman,shrink_eig_log_mse,shrink_cond_ratio,model_gmvp_cumret,model_gmvp_mean,model_gmvp_vol,model_gmvp_var,model_gmvp_sharpe,mix_gmvp_cumret,mix_gmvp_mean,mix_gmvp_vol,mix_gmvp_var,mix_gmvp_sharpe,roll_gmvp_cumret,roll_gmvp_mean,roll_gmvp_vol,roll_gmvp_var,roll_gmvp_sharpe,pers_gmvp_cumret,pers_gmvp_mean,pers_gmvp_vol,pers_gmvp_var,pers_gmvp_sharpe,shrink_gmvp_cumret,shrink_gmvp_mean,shrink_gmvp_vol,shrink_gmvp_var,shrink_gmvp_sharpe,model_turnover_l1,mix_turnover_l1,roll_turnover_l1,pers_turnover_l1,shrink_turnover_l1,model_w_hhi,model_w_max_abs,model_w_l1,mix_w_hhi,mix_w_max_abs,mix_w_l1,roll_w_hhi,roll_w_max_abs,roll_w_l1,pers_w_hhi,pers_w_max_abs,pers_w_l1,shrink_w_hhi,shrink_w_max_abs,shrink_w_l1,regime_label
2008-10-10,322,2.4999999999999996,433.6609328156193,2.4999999999999996,False,,invalid_only,0.33333335483337345,3.225006020568521e-08,0.6500000301000555,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06586176384892559,0.6254220820011941,-0.027869941210507565,0.33333333417606614,0.33333333439650753,0.33333335483337345,0.3333333567539301,0.33333331099056046,0.3333333088495623,0.2409703035500263,494.0728037360472,,988.1456074744797,116.35122690814822,55.017557553840234,0.08881409965076571,133.25119148994273,6.840702417500517e-07,0.2143435835868011,480.51863486575326,,961.0372697298264,107.37579840418967,40.5419227188791,0.17306671770808998,109.9116781855042,4.651136454351138e-06,0.21868319189791424,3270670.1391844926,,6541340.278349441,77.47616458673136,27.567475479529534,0.2591388414559822,32.823682956584776,0.3625019166948307,0.20026334556148204,6857059.41768272,,13714118.835784325,68.49287845247339,27.535900907246955,0.255732788081837,0.0131144469490467,0.6878626736425335,0.23802638049181662,493.8287347813578,,987.6574695629788,99.03107172907531,35.23935491065865,0.2591398378664077,91.86417953903006,0.26739800961540644,-0.0293773580847988,-0.0007157567098448408,0.04054229156231245,0.0016436774051235513,-0.28025760465729466,-0.03248484288672038,-0.0010368013423796376,0.03610136232265223,0.001303308361551414,-0.45590276948367703,-0.03254849969875262,-0.0011088721889328335,0.03402798865560043,0.0011579040119456716,-0.5173035780537741,-0.03907772866573611,-0.0014260592358566527,0.03466117728457617,0.001201397210752819,-0.6531223210055699,-0.026806440916340657,-0.0007736293982128012,0.03524355388024489,0.0012421080901097244,-0.34846048752572567,,,,,,0.026740426008991205,0.03805452833316117,1.3675933313612763,0.04314447111288042,0.06084448534708553,1.6646531240784772,0.05536961959655556,0.0786577108290163,1.8117406748376248,0.05364992609387298,0.06077325632637193,1.902626912107859,0.04683158533690019,0.08112241452659219,1.5782133057872672,High Stress
2008-10-17,327,2.4999999999999996,345.794610764282,2.4999999999999996,False,,invalid_only,0.33333334020523636,1.0307854569902018e-08,0.6500000096206642,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.05939641897250966,0.6113664304836077,-0.1438830645171889,0.33333333319229125,0.33333333332718706,0.33333332660247234,0.3333333260681681,0.33333334020523636,0.33333334060464487,0.16448918086224362,496.89274928888483,,993.7854985763393,118.23085190478199,51.14226215779321,0.1982735682048866,137.99503392517389,8.386388462642477e-07,0.12372451909592386,472.4975061749466,,944.9950123473425,109.20062273122498,33.24538396053868,0.265580949085803,114.34785080407828,5.747856193203824e-06,0.1319430476905039,2843134.2581949136,,5686268.516326126,78.21354463985934,21.813701817945176,0.3278790175894328,33.21435982243598,0.621677205573608,0.12583806614328136,5729006.216205013,,11458012.43231147,67.57462105805946,23.29545969581168,0.30541607610692845,0.016931309330760057,1.0564810501996438,0.15575144526435566,465.7204975454919,,931.4409950908866,101.31014663129096,29.094280537590393,0.32788866222101737,96.80019472113183,0.44593796846592776,-0.11986880213922935,-0.005786329069986881,0.035020261754532794,0.0012264187333559922,-2.6229137571909105,-0.08600291120419556,-0.0040332290486149855,0.031048577241203714,0.0009640141487029932,-2.0621082170603526,-0.05211839539619145,-0.0022570747515072934,0.02977313618647546,0.0008864396383784145,-1.2034322038569683,-0.09689950825533289,-0.004642073171434456,0.030624334371744145,0.00093784985571239,-2.4062768574610387,-0.06374122120664438,-0.0028668714351610756,0.029945854584916328,0.0008967542068209542,-1.5197486857092362,0.7427212139124956,0.9614329555945882,0.9130611039269735,1.216272683286817,0.7358614950690343,0.036139269304026306,0.053011236462040125,1.5392321297597473,0.0623110025944246,0.08290246561373335,1.9226632434648445,0.07520171834007239,0.09853704169792406,2.030804323246081,0.07591736610555237,0.08197283618406097,2.173595468908773,0.0650673553388391,0.10570071389097657,1.7609902043191719,Normal
2008-10-24,332,2.4999999999999996,326.98612479278887,2.4999999999999996,False,,invalid_only,0.33333335318020146,2.977030222339749e-08,0.6500000277856148,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.06328745712848662,0.6429707261257684,-0.16372052393254732,0.3333333324258371,0.33333333249408476,0.33333331439396147,0.3333333127980476,0.33333335318020146,0.33333335470786774,0.19806018410714646,499.40389976800657,,998.8077995364663,118.72123142120513,53.57027256893992,0.18533127164628463,139.20660108246824,7.128493847116831e-07,0.14613695307527436,474.9694659600576,,949.9389319203797,109.82611008975482,35.55813999045593,0.24771280958284736,115.69550609106227,4.874361949757046e-06,0.15904736888584584,2795210.9602813995,,5590421.920663474,78.80527719538418,22.549673314024336,0.3091824482511317,34.135293749884276,0.546906332623956,0.12374051436624221,6027877.542985042,,12055755.086342998,68.23941849372054,22.793149272960978,0.2922566195588804,0.0063955756355251,0.9502772816499376,0.1897274225891899,467.8505568802622,,935.7011137617826,102.18401566714458,31.517197020326105,0.3091840642149367,98.38138707244494,0.39166299487612416,-0.09110964832868051,-0.0041793432959918424,0.03518614529338224,0.0012380648206070047,-1.885543797806948,-0.018608329977109594,-0.0004638048341140479,0.03174786237219977,0.0010079267652041383,-0.23191084177772192,0.04792958276663373,0.0028195696927411523,0.031884364949001154,0.0010166127282010935,1.4038003058061759,-0.05438631370784941,-0.002385902431876618,0.0292897351894984,0.0008578885874709408,-1.2931160584731136,0.021989966747556267,0.0015723416407603798,0.032142683927575556,0.0010331521300680241,0.7765421767629437,0.28789344977050757,0.388056289084024,0.5084590601144796,0.7328093357312142,0.35159173789545156,0.036140918704051256,0.052164875448487004,1.5512458500538495,0.06177184634811106,0.08382859498422111,1.9226299817520156,0.07754909446329714,0.1005933269428286,2.036131442555468,0.07442223158671256,0.08009518258055456,2.1915138159149636,0.0666222932727307,0.10951001341937479,1.7665836788133993,Normal
2008-10-31,337,2.5,281.8014138727253,2.5,False,,invalid_only,0.33333334349777893,1.524666842778188e-08,0.6500000142302236,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06578597118183306,0.6408399145367036,-0.23238378616475652,0.333333332257163,0.33333333234923573,0.33333334349777893,0.33333334362936684,0.3333333242450582,0.3333333240213974,0.22437765925972245,504.75349419805775,,1009.5069883964347,120.02110318032993,52.7340779272663,0.32745014210158474,142.40290380247848,6.200638367427307e-07,0.16235756708053614,477.13743938249803,,954.2748787650839,111.15672766209322,33.10586927879697,0.3730460714528453,118.69888414134229,4.285768406588204e-06,0.16865419356658032,2981079.7348134634,,5962159.469679057,80.53540869812366,20.331597287409565,0.3719009893891255,35.436176391736524,0.577817611121352,0.14001040818491173,6075877.38014325,,12151754.760576066,68.32598050220807,20.948259332167765,0.31588743212261605,0.015809229037776092,0.9585933813475327,0.2071983366246078,468.56755041366023,,937.1351008254485,103.80097119411224,29.7667918739063,0.37188347834903024,101.59107555616549,0.41286598774678096,-0.18132497758703126,-0.00939595404013055,0.03410388229454112,0.0011630747875599156,-4.373582603578523,-0.13998452498790026,-0.007188055654389,0.02602784624073129,0.0006774487799311499,-4.384029510927356,-0.1034910771711286,-0.005137358032984342,0.02556838548194683,0.0006537423361534294,-3.189604230640689,-0.15657852782589465,-0.008192812997675939,0.02442318819937743,0.000596492121822209,-5.325139097828307,-0.11883694728976901,-0.005979262737477918,0.026248429607792726,0.0006889800568752498,-3.6161345564648735,0.47367838064631407,0.7611013943704499,0.809975424376277,1.080902531252796,0.5460859949091691,0.03909712507682796,0.06120474198258196,1.5811092106847102,0.07373368161246205,0.10228660039430451,1.9832886168183483,0.09074056649715105,0.11850241425686259,2.1116150044712474,0.09529639088366357,0.1034565597231141,2.3694880635111053,0.07822507613012647,0.1290429874430358,1.777392596635019,High Stress
2008-11-07,342,2.5,265.22827349071787,2.5,False,,invalid_only,0.3333333474911915,2.1236787245415553e-08,0.6500000198210012,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06682917886184231,0.6428484421698241,-0.05974576263543996,0.33333333256678876,0.33333333268578547,0.3333333474911915,0.33333334797003267,0.3333333199420198,0.3333333193441818,0.2418253116962201,507.3250823025453,,1014.6501646047705,120.51560812608375,53.42473857830694,0.35079859227271615,143.7138742459391,5.41490382478447e-07,0.17761717125276988,478.6625930644273,,957.3251861301706,111.6875986883939,33.239452063872726,0.3731311084686182,120.12250491991271,3.82377364169164e-06,0.1728681328084961,3169038.2117949803,,6338076.423610639,81.41820959078366,19.8669652935288,0.3562107330729445,37.08435279235035,0.5949732091778965,0.1497276781281032,6524652.122357902,,13049304.244238637,69.2698806404625,20.506436144425134,0.2845996193978813,0.0061484475939031676,0.8846022413678727,0.2134532585988764,467.1803221201179,,934.3606442409373,104.570190599611,29.545751642657095,0.3562139464001017,103.28031552795451,0.42464658889119933,-0.0035299766560533685,0.00041799576434794415,0.035222814852425836,0.00124064668612827,0.18838576862384793,0.008813431585653175,0.0006834768929298076,0.022647030934879017,0.0005128880101653672,0.47908528689821495,0.01646846818590264,0.0010558237551572028,0.022497514274888008,0.0005061381485487896,0.7450015277787967,0.022152819263080215,0.0013210010193051753,0.021704644467032,0.0004710915914402628,0.9661637675453425,-0.0030560975944837754,0.00011031169905276715,0.023609775453483712,0.0005574214969639221,0.07417029178204951,0.3950560866281945,0.5480109873465456,0.5280244861144648,0.9846867021935,0.33740951830434635,0.03766985114348397,0.06080455199885878,1.5203510926908097,0.0750108618801239,0.10658982250350901,1.970275232823455,0.09630561335011491,0.12759962384424026,2.1390614729221857,0.0975030518172174,0.10640911215801288,2.4049711274518817,0.08273822761711747,0.1390653788019559,1.7777301129003085,High Stress
2008-11-14,347,2.4999999999999996,247.26367272387884,2.4999999999999996,False,,invalid_only,0.33333335387182333,3.080773502972533e-08,0.6500000287538854,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06249204592273131,0.5870255656700201,-0.001965701041702017,0.3333333168712691,0.33333331562543805,0.33333335387182333,0.3333333549055021,0.3333333292569076,0.3333333294690599,0.21658682318559774,509.74094742448915,,1019.4818948490031,121.05047397966439,51.29363442653951,0.2992103840906063,145.25000926299276,4.847654896877598e-07,0.15944842084019656,478.71564569582137,,957.4312913895392,112.17487658801193,32.09840365783655,0.32941292322134896,121.67005148990445,3.689731852094572e-06,0.135475303361636,3119428.6428080406,,6238857.285646605,81.82025857077056,19.728814096000107,0.2994903843246454,37.90610798555784,0.7773206673712418,0.15024281056302702,6191502.984441931,,12383005.969034094,68.57788296903573,22.59798476170105,0.24013833883934554,0.004808616786753304,0.8332033244243319,0.16426964349566772,464.72893547155803,,929.4578709390885,105.26781088929161,25.377963770979004,0.2994951481182685,104.89932325882398,0.5530486346448454,0.013194956922464751,0.0012439557421337851,0.03494584542722243,0.0012212121126233225,0.5650796245436606,0.013227593588002406,0.000897302940958725,0.022398297945574935,0.0005016837508587463,0.6359520097802849,0.010414013892754648,0.0007160198258965155,0.02043874393992894,0.0004177422538419819,0.5561233308433469,0.031436877437009736,0.001805590072241461,0.023158639053023254,0.0005363225627882138,1.2376743615376158,0.00814150925467394,0.0006100544867699603,0.020778806877894296,0.00043175881526882735,0.46606693086846207,0.657834606763179,0.5996017986749184,0.5389294304322462,1.1946139277124097,0.34362824237738127,0.03149311604991253,0.05295332875343222,1.4052893484710498,0.07060660367287515,0.10305924804590949,1.900737063192848,0.10200519329698021,0.1309841166424756,2.234737008443339,0.088391087800641,0.09600104489595684,2.2669519544654384,0.08883425560581823,0.14530507871264262,1.8275356400149427,High Stress
2008-11-21,352,2.5000000000000004,228.59700750879693,2.5000000000000004,False,,invalid_only,0.3333333403846421,1.0576963138664295e-08,0.6500000098718322,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.05558607896207818,0.5396045935877714,0.1404331358520332,0.3333333403846421,0.33333334141961873,0.3333333222397222,0.3333333213632398,0.33333333737563575,0.3333333372171415,0.15298095819797627,511.2409160715759,,1022.481832143387,121.73342995882686,47.04189865034635,0.35295513183567456,146.96109170619374,6.883337093050756e-07,0.11758945187437823,477.74153042892596,,955.4830608568518,112.84466421064025,28.366174879218157,0.369772461613368,123.32914060558893,5.158081327853423e-06,0.12640222942632437,2740119.300446819,,5480238.600813191,82.22675977415378,22.371047313405406,0.2733874857071319,38.94337231252294,1.1125287123888872,0.15446780775473984,5272897.5597625375,,10545795.119461413,68.14843071433383,26.64278756546321,0.19359834202291698,0.00597537366164862,1.2885696841496457,0.11809428277145732,459.8880416026833,,919.7760832039339,106.19074951734056,24.393412377677887,0.2733878433700937,106.9901096544486,0.7900512972888701,0.09480829613170849,0.0049037419090664355,0.02758011847733627,0.0007606629352239054,2.8224856818999884,0.035169119957814576,0.0018904102309490925,0.018331666055847896,0.00033604998038312597,1.6370215336041816,-0.004931356841419654,-7.79399238703878e-05,0.018812937830665028,0.0003539266298204674,-0.06576633302341672,0.0540369618284251,0.0027769997589440027,0.017236747606441564,0.000297105468048169,2.55753031385578,0.01317256223056451,0.0008009325175724318,0.01749478974706587,0.00030606766829404113,0.7267540641381406,0.38157152752868506,0.49299307812067195,0.5914329759146533,0.8819529796606349,0.3985828765976066,0.03390719495008715,0.05661559420791049,1.445745315008911,0.07338985273229578,0.10779222635755148,1.9523406878447642,0.10551127687090822,0.13735037693104282,2.3059585641858367,0.09537473047438712,0.10587514865808174,2.3450493737289935,0.09249129538328037,0.1539975727663764,1.8620394431162617,Calm Bull
2008-12-01,357,2.5,225.1622792191527,2.5,False,,invalid_only,0.33333334965097483,2.447646227365929e-08,0.6500000228446978,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.04301790267727525,0.42778127149355333,0.12164980121617153,0.3333333432737099,0.33333334455990987,0.3333333070753154,0.3333333048801889,0.33333334965097483,0.33333335055990126,0.08956583236632258,511.4941915364935,,1022.9883830721719,121.89219905256006,37.86039416687377,0.26143744187814544,147.37726069618938,1.6452329008524945e-06,0.14247829947584778,474.980997744938,,949.9619954902696,113.05292513845691,23.80676173815888,0.27492452413020224,123.98753275647935,1.2249185683372845e-05,0.18157529832784872,2072270.4616548591,,4144540.9233276774,82.23622200731721,28.83967405303693,0.2172648064108963,39.116188727628945,2.5985313186111005,0.2328478060275821,4094363.8654286503,,8188727.731004453,68.2567799545348,32.884889360784,0.21943019454563556,0.04288021097486221,3.1503664659537582,0.11343631341005264,451.4617855816677,,902.9235711631458,106.78954339135284,22.639744080208676,0.21726421891361636,108.6262360440782,1.836973150071636,0.09047228914982197,0.0044668032583870575,0.016399065542680207,0.00026892935067312124,4.323923413440906,0.06912960798011247,0.0034548368350169707,0.015004332335493045,0.00022512998883392218,3.655199930567585,0.032069882662824956,0.0017132333153873317,0.01673757285765373,0.0002801463451652668,1.6248912534538749,0.07483421033596338,0.003738193541219262,0.016099735117480852,0.0002592014708530462,3.685898080897353,0.057355970161434344,0.0028995027174027496,0.01499860457031854,0.00022495813905678018,3.0688307353632456,0.5191364212163073,0.5424501003287405,0.5230006758213885,0.9456455515811405,0.3094195730509873,0.03452530209435337,0.05433583970704776,1.438392072649104,0.07086618329805464,0.10166289248823239,1.9355275979237216,0.10567727575825445,0.13678981564986312,2.2815871133530483,0.08794336480925384,0.0954616573296547,2.3252859751595274,0.09396014575932725,0.15584282441832753,1.8586220114489893,Normal
2008-12-08,362,2.5,219.1480037835098,2.5,False,,invalid_only,0.33333335380062157,3.070093237966808e-08,0.6500000286542029,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.039292550244099334,0.40713107631064777,0.02135915723564441,0.33333333217817085,0.33333333249954133,0.3333333140212077,0.33333331243007186,0.33333335380062157,0.33333335507038686,0.09519788336657314,512.7665927638028,,1025.5331855276231,122.13735569186682,36.13633323164504,0.32501688854947675,148.01671908683844,2.06942088975525e-06,0.16532679082980353,474.3941169485296,,948.7882338970376,113.22248373804958,22.69989539581439,0.3288966931804619,124.56523990671808,1.5570596261544725e-05,0.2144752414173684,1844339.9512355735,,3688679.9025415154,82.03814793713545,30.436677100789403,0.23804414037585106,39.202997300374506,3.4782606495161303,0.2593620021864881,3553168.237058852,,7106336.47410756,67.95476109620155,34.17361847367987,0.23896032170581302,0.07304161850187979,4.075030252669123,0.136956523092401,449.08317925441816,,898.1663585080512,107.00904485906436,22.498644542838193,0.23805410556843049,109.52551985514906,2.458058575077954,0.026960790189023864,0.0014176583212774168,0.013544056448785029,0.0001834414650878753,1.661587003598564,0.004995401574438674,0.00032326549596038224,0.01248819158104733,0.00015595492896494138,0.41092264038709314,-0.02663712862176648,-0.0012445833524856505,0.014801169788482163,0.00021907462710747712,-1.3348369419725215,0.0025487797829879533,0.00020055309666569088,0.012392578582915157,0.00015357600393372744,0.25690228140091237,-0.0018845301428962458,-8.972479940670859e-06,0.01339170014474154,0.00017933763276667058,-0.010635968685759205,0.2978581750484346,0.4284335646228918,0.5621452245670836,0.8209031041289059,0.29459511633655977,0.03440698730589966,0.05390047546442716,1.4352574620846916,0.07058798523735474,0.10065489067284492,1.8888711614374933,0.10472500770889703,0.1336770062445328,2.302053999139213,0.0880916521610085,0.09618367492659247,2.2130811834520907,0.09464469135768487,0.15700010492506547,1.8381472252358138,Normal
2008-12-15,367,2.5,230.2711900003405,2.5,False,,invalid_only,0.33333335279670295,2.9195054457309407e-08,0.650000027248717,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.038958732874179475,0.44721318725506704,-0.031208016639399982,0.33333333893365713,0.3333333396029821,0.33333335279670295,0.33333335145528203,0.33333330826964,0.33333330894173596,0.08332802180997494,510.8034156848699,,1021.6068313693497,121.69279737756565,39.99588526032474,0.419084982657681,146.93333261075298,1.7060728519953147e-06,0.13153999314114248,472.37189267422764,,944.7437853484635,112.79849903304866,23.973823725786758,0.4228125994723059,123.60127069613418,1.3098888437559219e-05,0.19045130530934792,1734482.2297320117,,3468964.45951543,81.79018903716366,26.875793075505786,0.2679089388169975,38.99585976027077,2.9900459556627887,0.20565034305605814,3391794.8789976235,,6783589.757951517,67.96988346402765,27.98860247388942,0.31979237289101387,0.07025222795679226,3.17397592086894,0.11856354703506546,446.71481414283335,,893.4296282854892,106.64952766816548,21.657162192546146,0.26790492903428237,108.9026906761254,2.113042108191654,0.016852290421818017,0.0009305652704205784,0.014157480502549722,0.00020043425418007555,1.043424760625639,0.026094186322260793,0.001357290021024481,0.012039595641332,0.00014495186320678048,1.7896208274607004,0.0072335347877587886,0.0004430426233304089,0.013202317837723113,0.00017430119628826187,0.5327158227152459,0.03324608013705288,0.0017251682524409573,0.013693102689817726,0.00018750106127389345,1.9999993874712245,0.022915447049580928,0.0011952310785800903,0.011417443507537928,0.00013035801624781997,1.661817301297093,0.4167144768008346,0.4727481974309426,0.45035867762893306,1.1542801653365684,0.200080169026552,0.03031147716651185,0.04462111361480192,1.4216461950490702,0.06250732061254317,0.09437779129922931,1.8173818133674209,0.10690947748951915,0.13679106069007796,2.3284348790276495,0.0688443144432704,0.0755877911741586,2.095471797544024,0.0959984160351006,0.15869289238716908,1.8516853144515524,High Stress
