date,method,cond_number_hat,cond_number_real,min_eig_hat,min_eig_real,logeig_mse_top,logeig_mse_mid,logeig_mse_bot,inv_frob_sq,leverage_l1
2017-01-09,D0_pca8,9715.374509144167,2285.5209214410884,2.2587528224981545e-07,3.0040753989326947e-06,33.244456182160036,,6.696388056279612,1374260687100104.0,3.140127769813811
2017-01-09,rolling,9964.326667632931,2285.5209214410884,0.0011317342071828784,3.0040753989326947e-06,5.6191454778885355,,35.183122484265134,8930247640928.438,1.1615482793027028
2017-01-09,ewma,9952.513140205307,2285.5209214410884,0.0006368042051152735,3.0040753989326947e-06,4.696176173645359,,28.69200733465894,8895263494150.627,1.2728575970269205
2017-01-09,ledoit_wolf,106.85629270356499,2285.5209214410884,0.05377836113750627,3.0040753989326947e-06,15.241998296435508,,95.89611721290963,8974689977928.312,1.0030162781689058
2017-01-09,oas,2407.681457451679,2285.5209214410884,0.004409416626395576,3.0040753989326947e-06,7.17108339247316,,53.16637342432165,8964139419364.896,1.0090343886749402
2017-01-09,shrink,7777.126944990767,2285.5209214410884,0.001131734207185088,3.0040753989326947e-06,14.416668763546514,,35.1831224842746,8931370453363.607,1.0807121182597839
2017-01-09,persistence,3165.1211889468964,2285.5209214410884,2.2515743560747874e-06,3.0040753989326947e-06,0.1390704814451521,,0.0831399766513949,4785319253465.597,2.187540472178496
2017-01-17,D0_pca8,9897.829065987104,2315.4955169734762,6.36152085369847e-07,2.9537409808744114e-06,32.519573484576156,,2.357419009621606,147684207876625.56,2.8799263690306067
2017-01-17,rolling,9967.923049548986,2315.4955169734762,0.001131326570920522,2.9537409808744114e-06,5.600978564912911,,35.379576529309375,9237546835034.73,1.1289739177724074
2017-01-17,ewma,9943.423800143231,2315.4955169734762,0.0004677857812340205,2.9537409808744114e-06,4.257446310472348,,25.653593157712073,9174463804512.03,1.2960837088681703
2017-01-17,ledoit_wolf,106.89563204783832,2315.4955169734762,0.053758694591468946,2.9537409808744114e-06,15.614169428352929,,96.22016643645847,9283191034783.13,1.0030181329679313
2017-01-17,oas,2409.476337181386,2315.4955169734762,0.004406200626944897,2.9537409808744114e-06,7.245468553902008,,53.40240952887517,9272380130654.016,1.0081018042232879
2017-01-17,shrink,7779.940836093193,2315.4955169734762,0.0011313265709232872,2.9537409808744114e-06,14.37655386566729,,35.379576529324,9238733870920.305,1.0603619454226
2017-01-17,persistence,3056.8231927307725,2315.4955169734762,2.2628165767539188e-06,2.9537409808744114e-06,0.10120599243689003,,0.07100204138926566,4787113312788.227,1.844352823887162
