method,logeig_mse_top,logeig_mse_mid,logeig_mse_bot,inv_frob_sq,cond_number_hat,leverage_l1
D0_pca8,38.48254975980894,,23.145488747455232,2247595274490482.2,9693.435777180757,3.3371593303269877
ewma,3.3498124602911643,,16.888045362341913,5858381689824.343,5652.959754156245,2.7082181882204117
ledoit_wolf,8.293108839906607,,40.29745300909152,6902459794520.99,126.89153198124941,1.685146783897065
oas,4.69828365708974,,25.387020234461666,6848045739156.854,912.8854773514831,1.9129391715589532
persistence,2.2485686127873143,,12.136041676314017,4835879193597.371,4638.235207654769,1.8721063507222653
rolling,3.6885922437030465,,18.69760279321583,5961470830817.441,5502.752861034427,2.7411504972634915
shrink,10.677513870548836,,18.132188829673773,6716082877406.001,2887.1790674284434,1.7720584225908484
