method,gmvp_var,var_regret,cond_stein,cond_kl,raw_frob,nll,leverage_l1
D0_pca8,0.0011649949594282917,0.0011607022477904355,11436415.892386943,5718207.946193472,220.7567665389873,5419971.033582382,2.833664431797263
ledoit_wolf,0.001504201148292657,0.0014999084366548003,10405.149429899135,5202.574714949567,246.00445022268158,4552.354376996257,1.644351119890332
persistence,0.0035229669538938383,0.003518674242255982,289962.7213506295,144981.36067531476,412.67977179439697,136911.22543913638,2.2161391068754606
rolling,0.005732395451554071,0.005728102739916216,238077.91707565734,119038.95853782867,313.03781469936087,112244.39835266073,3.666174186530049
