date,raw_anchor,method,split,embedder,pca_k,k_neighbors,aggregation,eta,raw_frob,raw_logeuc,raw_corr_frob,cond_stein,cond_kl,nll,gmvp_var,var_regret,pred_var,leverage_l1,max_abs_w,hhi
2013-01-04,1390,D0_pca8,select,pca_only,8,20,log_euclidean,0.01,0.00013323181642590576,1962.165379325525,6778.754717569521,64428.54085597036,32214.270427985193,31448.665526196826,3.146275732666657e-05,3.146032914180415e-05,3.190244159913567e-08,2.439151754833363,0.10572999892784801,0.0972232222446462
2013-01-04,1390,rolling,select,pca_only,8,20,log_euclidean,0.01,157.60244604751983,5141.846753289603,1017.0580494276583,424.94969457723914,212.47484728862995,-223.65577949410832,3.093981002637384e-05,3.093738184151142e-05,5.463334462268999e-05,1.2580308614710567,0.04337219450684788,0.02373513798693967
2013-01-04,1390,ledoit_wolf,select,pca_only,8,20,log_euclidean,0.01,41.21827647607785,20228.095893001497,784.2306215019028,779.8513085165956,389.9256542582976,-46.08270867197727,2.680553932123459e-05,2.6803111136372167e-05,0.0006675368815607304,1.0005829277280731,0.011419811548814142,0.010423155178882901
2013-01-04,1390,persistence,select,pca_only,8,20,log_euclidean,0.01,1048.185659849201,3866.664012765962,1499.1978287147608,503.6512443356801,251.8256221678493,-184.20554311627532,2.7722124097121966e-05,2.7719695912259544e-05,7.461318299805089e-05,1.0243382934924339,0.024342740715824377,0.013311026691960676
2013-01-11,1395,D0_pca8,select,pca_only,8,20,log_euclidean,0.01,0.000207379130840294,2046.6697515401077,7034.577677426199,22537.819563695193,11268.909781847593,10720.230905641318,4.112862772387367e-05,4.1126324412759296e-05,1.2106093503076334e-07,2.4273721085044437,0.11025465885486967,0.10308732025957176
2013-01-11,1395,rolling,select,pca_only,8,20,log_euclidean,0.01,157.60231720932418,5102.6128638146065,961.9062294295677,420.8023367399926,210.4011683700062,-223.03731983223943,3.194281749105047e-05,3.19405141799361e-05,5.127742966219435e-05,1.1978997276422187,0.040718287806856976,0.021807412866107913
2013-01-11,1395,ledoit_wolf,select,pca_only,8,20,log_euclidean,0.01,41.21677724370422,20218.648835403492,787.3241344300695,774.5103491408723,387.2551745704361,-46.09071676632353,3.0210895603658903e-05,3.0208592292544528e-05,0.0006630443560621216,1.0005906033554604,0.011463977852844823,0.010422049549035955
2013-01-11,1395,persistence,select,pca_only,8,20,log_euclidean,0.01,1048.1853082253238,3845.797508640663,1433.758737476338,498.82354472033705,249.4117723601736,-183.94040040422254,2.827326150955352e-05,2.8270958198439144e-05,7.791992365380306e-05,1.0250580058726726,0.0240404240427188,0.013353680131857098
2013-01-18,1400,D0_pca8,select,pca_only,8,20,log_euclidean,0.01,0.0008816030757101867,2216.175954625159,7291.138697354907,10673.772912855153,5336.88645642757,4832.554711809639,4.604722769328255e-05,4.60451169567174e-05,2.4368050330297426e-07,2.1324945398385804,0.08363350932038124,0.07764107397439104
2013-01-18,1400,rolling,select,pca_only,8,20,log_euclidean,0.01,157.60167732495023,5010.874010994139,950.7702562722116,411.410290615851,205.70514530793594,-221.0732587584379,3.5604454185053824e-05,3.560234344848867e-05,5.0132675281143375e-05,1.1856797920084718,0.03982968664469581,0.021394458719708232
2013-01-18,1400,ledoit_wolf,select,pca_only,8,20,log_euclidean,0.01,41.21567762092627,20203.38636794321,728.6212014316598,761.2692049617451,380.63460248087256,-46.09896486970386,2.9449617431480945e-05,2.9447506694915793e-05,0.0006600983046674846,1.0005928149768324,0.011027743005491362,0.01041996040351245
2013-01-18,1400,persistence,select,pca_only,8,20,log_euclidean,0.01,1048.18176798803,3844.967562214905,1332.526925408517,487.07584278802835,243.53792139401193,-183.2053531501012,2.6377520748781453e-05,2.63754100122163e-05,6.540213665879078e-05,1.0208178089365034,0.02184805895571465,0.01251413976603523
2013-01-28,1405,D0_pca8,select,pca_only,8,20,log_euclidean,0.01,0.00012768896517667598,2007.4559644764945,5051.138163763843,43565.55423058871,21782.77711529436,20888.125143861438,4.694428615082926e-05,4.694280815354422e-05,6.151392396698017e-08,2.413690251082699,0.11327784948264294,0.10218887842998928
2013-01-28,1405,rolling,select,pca_only,8,20,log_euclidean,0.01,157.59890923645912,5088.667670423963,769.2229758764495,417.0628622276877,208.53143111386294,-223.6448733316919,4.9142178391898135e-05,4.9140700394613096e-05,4.327835953067725e-05,1.075868955900093,0.034379699637651,0.016882769086708816
2013-01-28,1405,ledoit_wolf,select,pca_only,8,20,log_euclidean,0.01,41.21319706509922,20217.201659419232,1392.686845394349,771.6193097910003,385.8096548955004,-46.12593243336029,6.974625166139109e-05,6.974477366410605e-05,0.0006516155816327666,1.0003726184087687,0.010884342324527506,0.010418204720972338
2013-01-28,1405,persistence,select,pca_only,8,20,log_euclidean,0.01,0.0002087916489894542,3372.8068753128355,841.2118312208547,6039.270298538727,3019.635149269361,2494.96102963928,4.8660254304421425e-05,4.8658776307136386e-05,4.097595108459827e-07,2.937049196778385,0.1270820638785524,0.12601033113734186
2013-02-04,1410,D0_pca8,select,pca_only,8,20,log_euclidean,0.01,0.00013859479021501172,2019.1845748410497,4551.535560193986,12816.436062358616,6408.218031179308,5916.530545288548,1.78131537205023e-05,1.781157796487004e-05,1.5241676620473568e-07,2.2624043550261277,0.09615072174806034,0.08896394130745963
2013-02-04,1410,rolling,select,pca_only,8,20,log_euclidean,0.01,157.59637673692367,5064.753794490138,963.8659712918907,427.7263396993252,213.8631698496975,-225.17715353777248,5.929120339293988e-05,5.928962763730762e-05,3.625727887592423e-05,1.049779049691135,0.028803657242069753,0.015235249125784694
2013-02-04,1410,ledoit_wolf,select,pca_only,8,20,log_euclidean,0.01,41.212608495812106,20242.085255533388,1655.2560702108412,785.7272305088063,392.8636152544031,-46.16264217715043,7.394422733510061e-05,7.394265157946835e-05,0.0006466132706656857,1.0003167265223734,0.010812391231192367,0.010417761951273693
