date,raw_anchor,method,split,embedder,pca_k,k_neighbors,aggregation,eta,raw_frob,raw_logeuc,raw_corr_frob,cond_stein,cond_kl,nll,gmvp_var,var_regret,pred_var,leverage_l1,max_abs_w,hhi
2013-01-04,1390,D0_pca8,select,pca_only,8,20,log_euclidean,0.01,0.00013554165027406467,1969.2139795078374,7036.902155114285,45905.060004579565,22952.53000228978,22172.839958695717,3.198660102018217e-05,3.198417283531975e-05,4.267341353213598e-08,2.247573374305497,0.10178903744006662,0.08993857273129098
2013-01-04,1390,rolling,select,pca_only,8,20,log_euclidean,0.01,0.0003245335148430688,4853.6062976243775,973.5826190586022,2030.1442717534987,1015.0721358767524,561.6456573310428,6.282379064745477e-05,6.282136246259234e-05,1.2152662934188866e-06,3.473506352914975,0.24394508982056543,0.22832763177826648
2013-01-04,1390,ledoit_wolf,select,pca_only,8,20,log_euclidean,0.01,0.00013838427335039752,9063.182666501556,631.4461779353496,339.85765561592757,169.9288278079638,-266.534305773021,2.8796577786644484e-05,2.8794149601782062e-05,1.834290874336943e-05,1.3481819214380037,0.05778753957937165,0.028473789381099006
2013-01-04,1390,persistence,select,pca_only,8,20,log_euclidean,0.01,0.0010564147902667603,3524.6684823877886,1453.2649604805106,3756.184427717163,1878.0922138585688,1428.5511938135267,5.533164084792245e-05,5.5329212663060025e-05,7.119741823222734e-07,2.746281064237266,0.12888482284973465,0.12702016959294435
2013-01-11,1395,D0_pca8,select,pca_only,8,20,log_euclidean,0.01,0.00014474033788298773,1940.2538740005575,6888.460566087976,47291.43522595661,23645.71761297832,23073.86503417092,4.087941009353578e-05,4.087710678242142e-05,4.5706289508492244e-08,2.340703190311523,0.10336255016777338,0.09307742479801685
2013-01-11,1395,rolling,select,pca_only,8,20,log_euclidean,0.01,0.00031896184795301844,4807.27157802759,916.9654652083702,2240.009297643325,1120.0046488216617,666.6128361471058,7.163717869089467e-05,7.163487537978031e-05,1.2951574767169168e-06,3.612596939580889,0.2777193823598334,0.25961953778371183
2013-01-11,1395,ledoit_wolf,select,pca_only,8,20,log_euclidean,0.01,0.0001451580576140017,9018.850176239652,646.4480484471289,338.9437807250673,169.47189036253326,-264.238299993788,2.749124514052872e-05,2.7488941829414356e-05,1.648165632558916e-05,1.2399969630815502,0.05226699121394171,0.024279606335046888
2013-01-11,1395,persistence,select,pca_only,8,20,log_euclidean,0.01,0.0010596661125764476,3512.139525830175,1402.9628864233903,3895.826265689278,1947.913132844631,1499.9231146825443,5.056977445167076e-05,5.05674711405564e-05,7.624529328235034e-07,2.8517193254162723,0.13832822595450267,0.13670994022132285
2013-01-18,1400,D0_pca8,select,pca_only,8,20,log_euclidean,0.01,0.0001976321715335752,1975.0756864574344,6893.395748711584,93426.11934801211,46713.05967400604,45346.77267868076,3.4501242209574114e-05,3.449913147300896e-05,2.746650580646669e-08,2.50911527972378,0.10990269349032938,0.10420589104165066
2013-01-18,1400,rolling,select,pca_only,8,20,log_euclidean,0.01,0.00034582167891243,4706.380450997887,912.6218244549971,3122.532348271623,1561.266174135808,1108.0521040622389,5.0807808057772994e-05,5.080569732120784e-05,1.2273500173573888e-06,3.61483108449924,0.3054735850782168,0.28344091776283037
