method,gmvp_var,var_regret,cond_stein,cond_kl,raw_frob,nll,leverage_l1
ledoit_wolf,7.056905738015666e-05,7.055397197694072e-05,426.3019368427362,213.15096842136808,0.004146712911477537,-210.7717345370061,1.7005794963335616
persistence,9.450809050623256e-05,9.449300510301662e-05,9767.72164954504,4883.860824772522,0.008039634155891326,4393.343408866841,2.322132017776925
D0_pca8,9.504587367008266e-05,9.503078826686671e-05,129172.96591291949,64586.482956459746,0.004172783982239933,63001.811894898696,2.8714107343030815
rolling,0.00017600225312429437,0.00017598716772107843,4851.8380427422635,2425.919021371131,0.005658090287702118,1963.0447255021247,4.080474699025141
