method,frob_median,frob_mean,logeig_mse_top,logeig_mse_bot,cond_number_hat,inv_frob_sq,lev
D0_pca8,0.0172740118391216,10.325620241417468,38.48254975980894,23.145488747455232,9693.435777180755,2247595274490482.5,3.3371593303269877
persistence,0.0242317575748133,18.281037827419226,2.2485686127873143,12.136041676314017,4638.235207654769,4835879193597.371,1.8721063507222653
ewma,0.1153077867430272,17.98088323532047,3.3498124602911643,16.888045362341913,5652.959754156245,5858381689824.343,2.7082181882204117
shrink,0.119666431315804,16.088293320743375,10.677513870548836,18.132188829673773,2887.179067428443,6716082877406.001,1.7720584225908484
ledoit_wolf,0.1309895777599378,14.305056846614761,8.293108839906607,40.29745300909152,126.8915319812494,6902459794520.99,1.685146783897065
oas,0.1374589249945218,17.622516869778885,4.69828365708974,25.387020234461662,912.8854773514832,6848045739156.854,1.9129391715589532
rolling,0.1579912132121805,18.157646600828976,3.6885922437030465,18.69760279321583,5502.752861034427,5961470830817.441,2.7411504972634915
