date,method,eta,raw_frob_sq,raw_frob,cond_stein,cond_kl,nll,gmvp_var_raw,R_raw,R_cond,leverage_l1,max_abs_w,hhi,gmvp_var_raw_Lmax,R_raw_Lmax,R_cond_Lmax,leverage_l1_Lmax,max_abs_w_Lmax
2017-01-09,D0_pca8,0.001,9.713136334511292e-05,0.009855524508878912,313782.345396489,156891.17269824457,154631.9865738106,6.449145019609776e-05,6.449113224739488e-05,6.456131970377194e-05,4.046979354808969,0.1774696685652566,0.30794880727871704,2.464136543292353e-05,2.464104748422065e-05,2.465061168853822e-05,1.9999999999999998,0.0884064110674595
2017-01-09,D0_pca8,0.01,9.713136334511292e-05,0.009855524508878912,71400.32715283065,35700.16357641532,34436.939304130385,4.120180317408008e-05,4.120109442751471e-05,4.152861469480572e-05,3.140127769813811,0.10248996507121402,0.16697955130845807,1.7872170153060367e-05,1.7871461406494994e-05,1.7947625003580062e-05,2.0,0.0661084169598791
2017-01-09,D0_pca8,0.05,9.713136334511292e-05,0.009855524508878912,20262.638155642857,10131.319077821428,9219.700385442211,4.44009598053887e-05,4.4391100131833064e-05,4.5395797686649354e-05,2.6369730920908983,0.09229343945466258,0.12665363704367105,2.292908292021494e-05,2.291922324665931e-05,2.3296387162144814e-05,2.0,0.06964721355820931
2017-01-09,rolling,0.001,127.16638465159738,11.27680737849137,554.324478419025,277.16223920919737,-256.2351627271419,3.689656117947041e-05,3.689624323076753e-05,3.689950055350324e-05,2.0299161362399523,0.06210597731688634,0.058627856488095056,3.634151111426968e-05,3.63411931655668e-05,3.634405048184915e-05,2.0,0.06114960325464542
2017-01-09,rolling,0.01,127.16638465159738,11.27680737849137,423.36948404726536,211.68474202364928,-227.6139437006346,2.1628317837812225e-05,2.1627609091246852e-05,2.1565280561872726e-05,1.1615482793027028,0.024510714959594688,0.017183897119791743,2.1628317837812225e-05,2.1627609091246852e-05,2.1565280561872726e-05,1.1615482793027028,0.024510714959594688
2017-01-09,rolling,0.05,127.16638465159738,11.27680737849137,427.49178280672766,213.74589140336366,-160.32002553272832,2.2964105782350865e-05,2.2954246108795233e-05,2.2557985792348475e-05,1.0034115280818718,0.01292495345914805,0.01045183315329489,2.2964105782350865e-05,2.2954246108795233e-05,2.2557985792348475e-05,1.0034115280818718,0.01292495345914805
2017-01-09,ewma,0.001,40.16573273031368,6.337644099372706,594.368707360408,297.18435368038917,-236.6981852403675,3.719227569965945e-05,3.719195775095657e-05,3.719993378235717e-05,2.148145486302831,0.07036370660025346,0.07425419608021534,3.4735475915538924e-05,3.473515796683604e-05,3.4740843993418966e-05,2.0,0.06571705798938242
2017-01-09,ewma,0.01,40.16573273031368,6.337644099372706,382.73666283804937,191.36833141912058,-248.10158005427002,1.9972353727689258e-05,1.9971644981123884e-05,1.9927268572052006e-05,1.2728575970269205,0.03243783370466182,0.022141791169584764,1.9972353727689248e-05,1.9971644981123874e-05,1.9927268572051996e-05,1.27285759702692,0.032437833704661814
2017-01-09,ewma,0.05,40.16573273031368,6.337644099372706,374.83827387688007,187.41913693843927,-186.7363510633349,2.1738262594337758e-05,2.1728402920782126e-05,2.1349301857871322e-05,1.0180528160809452,0.015155046637796947,0.011235878184619866,2.1738262594337765e-05,2.1728402920782133e-05,2.134930185787133e-05,1.0180528160809454,0.015155046637796949
2017-01-09,ledoit_wolf,0.001,33.30636517548164,5.771166708342571,961.8298482559105,480.91492412795526,-51.45456936103143,2.3622455777461635e-05,2.3622137828758757e-05,2.3614062042335355e-05,1.0030162781689058,0.010755320289380232,0.010406210614945424,2.3622455777461642e-05,2.3622137828758764e-05,2.361406204233536e-05,1.003016278168906,0.010755320289380234
2017-01-09,ledoit_wolf,0.01,33.30636517548164,5.771166708342571,775.3487363608459,387.6743681804232,-51.45456936103143,2.3622455777461635e-05,2.3621747030896262e-05,2.353919569756457e-05,1.0030162781689058,0.010755320289380232,0.010406210614945424,2.3622455777461642e-05,2.362174703089627e-05,2.3539195697564578e-05,1.003016278168906,0.010755320289380234
2017-01-09,ledoit_wolf,0.05,33.30636517548164,5.771166708342571,645.0042804595204,322.50214022975996,-51.45456936103143,2.3622455777461635e-05,2.3612596103906003e-05,2.3214063496006777e-05,1.0030162781689058,0.010755320289380232,0.010406210614945424,2.3622455777461642e-05,2.361259610390601e-05,2.3214063496006784e-05,1.003016278168906,0.010755320289380234
2017-01-09,oas,0.001,112.70800562589244,10.616402668790048,726.6005004883449,363.30025024408206,-169.0909805232305,2.225085488838664e-05,2.225053693968376e-05,2.2242929116285263e-05,1.0090343886749402,0.016720629800699868,0.011590239610897888,2.2250854888386646e-05,2.2250536939683767e-05,2.2242929116285273e-05,1.0090343886749404,0.01672062980069987
2017-01-09,oas,0.01,112.70800562589244,10.616402668790048,540.1622061520235,270.0811030760086,-169.0909805232305,2.225085488838664e-05,2.2250146141821266e-05,2.21724194648363e-05,1.0090343886749402,0.016720629800699868,0.011590239610897888,2.2250854888386646e-05,2.2250146141821272e-05,2.2172419464836303e-05,1.0090343886749404,0.01672062980069987
2017-01-09,oas,0.05,112.70800562589244,10.616402668790048,427.3359796774432,213.66798983871996,-160.39819995203328,2.2473611408559384e-05,2.2463751735003752e-05,2.2081392995567703e-05,1.0049192947545806,0.014505987420998389,0.011112484307557124,2.2473611408559387e-05,2.2463751735003756e-05,2.208139299556771e-05,1.0049192947545806,0.01450598742099839
2017-01-09,shrink,0.001,79.63761350819615,8.923990895792988,560.6673943020589,280.33369715103777,-252.77819914592033,2.262795553566999e-05,2.262763758696711e-05,2.2630038038821067e-05,1.7555553192533595,0.06312274475526523,0.05032611729145446,2.2627955535669976e-05,2.2627637586967098e-05,2.2630038038821057e-05,1.755555319253359,0.06312274475526522
2017-01-09,shrink,0.01,79.63761350819615,8.923990895792988,441.36736032211286,220.68368016105617,-218.59911931712676,2.2104787477173602e-05,2.210407873060823e-05,2.2034792042549568e-05,1.0807121182597839,0.020638756019226046,0.014533521530414178,2.2104787477173602e-05,2.210407873060823e-05,2.2034792042549568e-05,1.0807121182597839,0.020638756019226046
2017-01-09,shrink,0.05,79.63761350819615,8.923990895792988,441.757249322388,220.87862466119364,-153.1825592807762,2.384175953865371e-05,2.3831899865098078e-05,2.3432408681814202e-05,1.0001533308975965,0.010537348189471381,0.010418428596693946,2.3841759538653703e-05,2.383189986509807e-05,2.343240868181419e-05,1.0001533308975963,0.01053734818947138
2017-01-09,persistence,0.001,0.00013287861105296285,0.011527298514958432,82356.55443383339,41178.277216915754,40505.2678057303,3.7963908675223304e-05,3.796359072652042e-05,3.7971919969069565e-05,2.196922618047191,0.06714153816785436,0.07135063615559566,3.460540173070599e-05,3.460508378200311e-05,3.461016835693712e-05,2.0,0.05879518599179654
2017-01-09,persistence,0.01,0.00013287861105296285,0.011527298514958432,8219.711229002667,4109.855614501327,3613.896840661396,3.7724691268391426e-05,3.7723982521826056e-05,3.780894970402813e-05,2.187540472178496,0.06668228789215114,0.07071883087663629,3.453893079251329e-05,3.453822204594792e-05,3.459135225353648e-05,1.9999999999999998,0.058726154848176206
2017-01-09,persistence,0.05,0.00013287861105296285,0.011527298514958432,1627.3434727951126,813.6717363975553,391.5567951094762,3.670286813718837e-05,3.669300846363274e-05,3.7099707824897095e-05,2.1484859055450634,0.06468958690699762,0.06802361047216757,3.424573260302223e-05,3.423587292946659e-05,3.451762068169252e-05,2.0,0.058418487481269335
2017-01-17,D0_pca8,0.001,0.0001077847996861403,0.010381945852591426,185063.69614314433,92531.84807157297,90898.42866846225,2.5708767946278768e-05,2.5708442171957993e-05,2.5748546501647137e-05,3.228222565178917,0.20915723161761127,0.2171082654446705,1.7229540462440054e-05,1.722921468811928e-05,1.7238551946171727e-05,2.0,0.12917809705953334
2017-01-17,D0_pca8,0.01,0.0001077847996861403,0.010381945852591426,33682.70389873073,16841.351949365373,16072.159942297221,3.4755448865704597e-05,3.475480885371069e-05,3.495242958535945e-05,2.8799263690306067,0.1218174956659707,0.13497278987642256,1.7975349912651646e-05,1.797470990065774e-05,1.8022319511489133e-05,2.0,0.08527064707127985
2017-01-17,D0_pca8,0.05,0.0001077847996861403,0.010381945852591426,7859.703073206259,3929.8515366031306,3345.907858685104,3.672850293619619e-05,3.6720452612903646e-05,3.740917916988096e-05,2.5978556244356117,0.09648002839699808,0.11122740736636273,2.361841255775788e-05,2.3610362234465343e-05,2.3852876924767076e-05,2.0,0.07551440527769035
2017-01-17,rolling,0.001,127.16541165045965,11.27676423671523,545.7444172435905,272.87220861875585,-261.33177416300276,3.2598299154768186e-05,3.259797338044741e-05,3.2601814732570175e-05,2.026314564440322,0.06393115699242066,0.05995336796045911,3.22894581539931e-05,3.2289132379672323e-05,3.229258622378428e-05,2.0,0.0630441316700979
