date,raw_anchor,guardrail_trace_ratio,guardrail_trace_ratio_pre,guardrail_trace_ratio_post,guardrail_triggered,guardrail_trigger_reason,guardrail_mode,model_regime_conf_raw,model_regime_conf_adj,model_pers_blend_lambda,model_blend_to_pers_strength,model_blend_to_pers_conf_threshold,model_blend_to_pers_power,mix_lambda,shrink_gamma,floor_eps,apply_floor_to,regime_assigned,dominant_regime,realized_vol,avg_corr,market_ret,regime_prob_0,regime_raw_0,regime_prob_1,regime_raw_1,regime_prob_2,regime_raw_2,regime_prob_3,regime_raw_3,regime_prob_4,regime_raw_4,model_fro,model_kl,model_nll,model_stein,model_logeuc,model_corr_offdiag_fro,model_corr_spearman,model_eig_log_mse,model_cond_ratio,mix_fro,mix_kl,mix_nll,mix_stein,mix_logeuc,mix_corr_offdiag_fro,mix_corr_spearman,mix_eig_log_mse,mix_cond_ratio,roll_fro,roll_kl,roll_nll,roll_stein,roll_logeuc,roll_corr_offdiag_fro,roll_corr_spearman,roll_eig_log_mse,roll_cond_ratio,pers_fro,pers_kl,pers_nll,pers_stein,pers_logeuc,pers_corr_offdiag_fro,pers_corr_spearman,pers_eig_log_mse,pers_cond_ratio,shrink_fro,shrink_kl,shrink_nll,shrink_stein,shrink_logeuc,shrink_corr_offdiag_fro,shrink_corr_spearman,shrink_eig_log_mse,shrink_cond_ratio,model_gmvp_cumret,model_gmvp_mean,model_gmvp_vol,model_gmvp_var,model_gmvp_sharpe,mix_gmvp_cumret,mix_gmvp_mean,mix_gmvp_vol,mix_gmvp_var,mix_gmvp_sharpe,roll_gmvp_cumret,roll_gmvp_mean,roll_gmvp_vol,roll_gmvp_var,roll_gmvp_sharpe,pers_gmvp_cumret,pers_gmvp_mean,pers_gmvp_vol,pers_gmvp_var,pers_gmvp_sharpe,shrink_gmvp_cumret,shrink_gmvp_mean,shrink_gmvp_vol,shrink_gmvp_var,shrink_gmvp_sharpe,model_turnover_l1,mix_turnover_l1,roll_turnover_l1,pers_turnover_l1,shrink_turnover_l1,model_w_hhi,model_w_max_abs,model_w_l1,mix_w_hhi,mix_w_max_abs,mix_w_l1,roll_w_hhi,roll_w_max_abs,roll_w_l1,pers_w_hhi,pers_w_max_abs,pers_w_l1,shrink_w_hhi,shrink_w_max_abs,shrink_w_l1,regime_label
2008-10-10,322,2.4999999999999996,433.6609328156194,2.4999999999999996,False,,invalid_only,0.20000001489676317,1.8620953945447383e-08,0.6500000173795567,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,4,4,0.06586176384892559,0.6254220820011941,-0.027869941210507565,0.1999999962752787,0.19999999606142477,0.20000000480128166,0.20000000530845893,0.1999999783679075,0.19999997637679767,0.20000000565876896,0.20000000599760992,0.20000001489676317,0.2000000162557087,0.24097030204892514,494.0728032650692,,988.1456065320847,116.35122676602231,55.017557222815256,0.08882223418282453,133.251191081157,6.840702780336196e-07,0.21434358334923959,480.5186350210196,,961.037270042877,107.37579828754312,40.54192253009251,0.17306361212504498,109.91167788369324,4.6511365682578494e-06,0.21868319189791424,3270670.1391844926,,6541340.278349441,77.47616458673136,27.567475479529534,0.2591388414559822,32.823682956584776,0.3625019166948307,0.20026334556148204,6857059.41768272,,13714118.835784325,68.49287845247339,27.535900907246955,0.255732788081837,0.0131144469490467,0.6878626736425335,0.23802638049181662,493.8287347813578,,987.6574695629788,99.03107172907531,35.23935491065865,0.2591398378664077,91.86417953903006,0.26739800961540644,-0.02937735834877786,-0.0007157567304062514,0.04054229138081542,0.0016436773904069404,-0.2802576139628416,-0.032484842946488235,-0.001036801346670423,0.03610136228716232,0.0013033083589889455,-0.4559027718186042,-0.03254849969875262,-0.0011088721889328335,0.03402798865560043,0.0011579040119456716,-0.5173035780537741,-0.03907772866573611,-0.0014260592358566527,0.03466117728457617,0.001201397210752819,-0.6531223210055699,-0.026806440916340657,-0.0007736293982128012,0.03524355388024489,0.0012421080901097244,-0.34846048752572567,,,,,,0.026740426570575543,0.03805452890248438,1.3675933440094423,0.043144471272090174,0.060844485533348,1.664653126884257,0.05536961959655556,0.0786577108290163,1.8117406748376248,0.05364992609387298,0.06077325632637193,1.902626912107859,0.04683158533690019,0.08112241452659219,1.5782133057872672,Normal
2008-10-17,327,2.4999999999999996,345.79461076428214,2.4999999999999996,False,,invalid_only,0.20000000543920687,6.79900857836202e-09,0.6500000063457414,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,4,4,0.05939641897250966,0.6113664304836077,-0.1438830645171889,0.20000000032720822,0.20000000046569597,0.1999999885641155,0.19999998765936527,0.20000000302072474,0.20000000317333816,0.20000000264874462,0.2000000027258443,0.20000000543920687,0.20000000597575623,0.164489180290448,496.8927491432098,,993.7854982868978,118.23085186717303,51.14226204377904,0.19827468541931662,137.99503381818627,8.386388577044844e-07,0.12372451902152719,472.4975061504102,,944.9950123003109,109.20062270094917,33.2453839049736,0.2655841291695977,114.34785072554972,5.747856229358651e-06,0.1319430476905039,2843134.2581949136,,5686268.516326126,78.21354463985934,21.813701817945176,0.3278790175894328,33.21435982243598,0.621677205573608,0.12583806614328136,5729006.216205013,,11458012.43231147,67.57462105805946,23.29545969581168,0.30541607610692845,0.016931309330760057,1.0564810501996438,0.15575144526435566,465.7204975454919,,931.4409950908866,101.31014663129096,29.094280537590393,0.32788866222101737,96.80019472113183,0.44593796846592776,-0.11986880200730621,-0.005786329064084749,0.03502026170777995,0.0012264187300813985,-2.622913758017153,-0.08600291115949066,-0.004033229046353133,0.03104857723529418,0.000964014148336028,-2.0621082162963984,-0.05211839539619145,-0.0022570747515072934,0.02977313618647546,0.0008864396383784145,-1.2034322038569683,-0.09689950825533289,-0.004642073171434456,0.030624334371744145,0.00093784985571239,-2.4062768574610387,-0.06374122120664438,-0.0028668714351610756,0.029945854584916328,0.0008967542068209542,-1.5197486857092362,0.7427212150429692,0.9614329558866369,0.9130611039269735,1.216272683286817,0.7358614950690343,0.03613926955359341,0.05301123668434782,1.5392321345344369,0.06231100265513656,0.0829024656759969,1.9226632442175233,0.07520171834007239,0.09853704169792406,2.030804323246081,0.07591736610555237,0.08197283618406097,2.173595468908773,0.0650673553388391,0.10570071389097657,1.7609902043191719,Normal
2008-10-24,332,2.4999999999999996,326.9861247927888,2.4999999999999996,False,,invalid_only,0.2000000123542388,1.544279849829966e-08,0.6500000144132785,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,3,3,0.06328745712848662,0.6429707261257684,-0.16372052393254732,0.20000000054382672,0.20000000070115084,0.19999997988642015,0.1999999782270877,0.2000000107323715,0.2000000115555629,0.2000000123542388,0.20000001327529449,0.19999999648314293,0.1999999962409041,0.1980601813310317,499.4038991606519,,998.8077983204623,118.72123126726093,53.570272094989924,0.18533286416164643,139.20660064322652,7.128494244437295e-07,0.14613695258233922,474.9694658542087,,949.9389317100747,109.82610996782213,35.55813975829496,0.2477100354440408,115.69550577219692,4.87436207504956e-06,0.15904736888584584,2795210.9602813995,,5590421.920663474,78.80527719538418,22.549673314024336,0.3091824482511317,34.135293749884276,0.546906332623956,0.12374051436624221,6027877.542985042,,12055755.086342998,68.23941849372054,22.793149272960978,0.2922566195588804,0.0063955756355251,0.9502772816499376,0.1897274225891899,467.8505568802622,,935.7011137617826,102.18401566714458,31.517197020326105,0.3091840642149367,98.38138707244494,0.39166299487612416,-0.09110964686252998,-0.004179343224432269,0.03518614503137094,0.0012380648021686701,-1.8855437795628567,-0.018608329589465455,-0.0004638048150141027,0.03174786235127691,0.0010079267638756259,-0.23191083238023907,0.04792958276663373,0.0028195696927411523,0.031884364949001154,0.0010166127282010935,1.4038003058061759,-0.05438631370784941,-0.002385902431876618,0.0292897351894984,0.0008578885874709408,-1.2931160584731136,0.021989966747556267,0.0015723416407603798,0.032142683927575556,0.0010331521300680241,0.7765421767629437,0.28789345200805105,0.3880562904768738,0.5084590601144796,0.7328093357312142,0.35159173789545156,0.03614091968446737,0.05216487631393441,1.551245869146871,0.06177184660105721,0.08382859525936837,1.9226299852605429,0.07754909446329714,0.1005933269428286,2.036131442555468,0.07442223158671256,0.08009518258055456,2.1915138159149636,0.0666222932727307,0.10951001341937479,1.7665836788133993,Normal
2008-10-31,337,2.4999999999999996,281.80141387272516,2.4999999999999996,False,,invalid_only,0.20000001698425895,2.1230323679621854e-08,0.6500000198149686,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06578597118183306,0.6408399145367036,-0.23238378616475652,0.19999998753186898,0.1999999868220838,0.20000001698425895,0.2000000181037706,0.19999998722661483,0.1999999865089912,0.1999999991581457,0.19999999898936136,0.20000000909911153,0.20000000957579311,0.2243776605915001,504.75349446747634,,1009.5069889336608,120.02110324529409,52.73407814206456,0.32745297708761717,142.40290398802586,6.200638223170923e-07,0.1623575673143561,477.1374394570214,,954.2748789152881,111.15672771292938,33.105869382339876,0.3730480377581573,118.69888427556428,4.2857683606858884e-06,0.16865419356658032,2981079.7348134634,,5962159.469679057,80.53540869812366,20.331597287409565,0.3719009893891255,35.436176391736524,0.577817611121352,0.14001040818491173,6075877.38014325,,12151754.760576066,68.32598050220807,20.948259332167765,0.31588743212261605,0.015809229037776092,0.9585933813475327,0.2071983366246078,468.56755041366023,,937.1351008254485,103.80097119411224,29.7667918739063,0.37188347834903024,101.59107555616549,0.41286598774678096,-0.1813249780447349,-0.009395954062297351,0.03410388246290786,0.0011630747990438342,-4.3735825923047695,-0.1399845250714442,-0.007188055658777758,0.026027846257992853,0.0006774487808297126,-4.384029510696609,-0.1034910771711286,-0.005137358032984342,0.02556838548194683,0.0006537423361534294,-3.189604230640689,-0.15657852782589465,-0.008192812997675939,0.02442318819937743,0.000596492121822209,-5.325139097828307,-0.11883694728976901,-0.005979262737477918,0.026248429607792726,0.0006889800568752498,-3.6161345564648735,0.4736783769525766,0.7611013925810056,0.809975424376277,1.080902531252796,0.5460859949091691,0.03909712455245212,0.06120474147908746,1.5811092009239913,0.07373368145652304,0.10228660022923405,1.9832886154802847,0.09074056649715105,0.11850241425686259,2.1116150044712474,0.09529639088366357,0.1034565597231141,2.3694880635111053,0.07822507613012647,0.1290429874430358,1.777392596635019,High Stress
2008-11-07,342,2.5,265.22827349071775,2.5,False,,invalid_only,0.20000001592466443,1.9905830525579482e-08,0.650000018578775,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06682917886184231,0.6428484421698241,-0.05974576263543996,0.19999999909060545,0.1999999993859278,0.20000001592466443,0.2000000169520374,0.1999999989052414,0.19999999920315045,0.19999999604515029,0.19999999560567067,0.19999999003433855,0.19999998885321374,0.24182531141078242,507.3250822416885,,1014.6501644841037,120.51560811146538,53.42473853156031,0.35079167577349896,143.7138742044479,5.414903852653539e-07,0.17761717120109888,478.66259304567194,,957.3251860918583,111.68759867713192,33.23945203968642,0.3731300369638116,120.12250489021622,3.823773650747024e-06,0.1728681328084961,3169038.2117949803,,6338076.423610639,81.41820959078366,19.8669652935288,0.3562107330729445,37.08435279235035,0.5949732091778965,0.1497276781281032,6524652.122357902,,13049304.244238637,69.2698806404625,20.506436144425134,0.2845996193978813,0.0061484475939031676,0.8846022413678727,0.2134532585988764,467.1803221201179,,934.3606442409373,104.570190599611,29.545751642657095,0.3562139464001017,103.28031552795451,0.42464658889119933,-0.0035299765430218955,0.0004179957685457772,0.03522281480894643,0.0012406466830653358,0.1883857707483072,0.008813431593967191,0.0006834768932039379,0.02264703092855008,0.0005128880098787038,0.47908528722425264,0.01646846818590264,0.0010558237551572028,0.022497514274888008,0.0005061381485487896,0.7450015277787967,0.022152819263080215,0.0013210010193051753,0.021704644467032,0.0004710915914402628,0.9661637675453425,-0.0030560975944837754,0.00011031169905276715,0.023609775453483712,0.0005574214969639221,0.07417029178204951,0.39505608358048916,0.5480109872708637,0.5280244861144648,0.9846867021935,0.33740951830434635,0.03766985126299845,0.06080455211648631,1.5203510948131906,0.07501086191776332,0.10658982254472005,1.970275233179737,0.09630561335011491,0.12759962384424026,2.1390614729221857,0.0975030518172174,0.10640911215801288,2.4049711274518817,0.08273822761711747,0.1390653788019559,1.7777301129003085,High Stress
2008-11-14,347,2.4999999999999996,247.26367272387884,2.4999999999999996,False,,invalid_only,0.20000001047028645,1.3087858054261492e-08,0.6500000122153341,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06249204592273131,0.5870255656700201,-0.001965701041702017,0.1999999890909461,0.1999999885167328,0.20000001047028645,0.2000000110233657,0.19999999562379414,0.19999999563636,0.20000000692607287,0.2000000074327604,0.19999999788890058,0.19999999739078114,0.21658682032827345,509.74094656582633,,1019.4818931307177,121.05047377985777,51.29363392221822,0.2992100297915561,145.25000870731301,4.847655222686474e-07,0.15944842041400462,478.71564537949314,,957.4312907586191,112.17487643703019,32.09840336077119,0.32941164899139463,121.67005109510515,3.689731966136145e-06,0.135475303361636,3119428.6428080406,,6238857.285646605,81.82025857077056,19.728814096000107,0.2994903843246454,37.90610798555784,0.7773206673712418,0.15024281056302702,6191502.984441931,,12383005.969034094,68.57788296903573,22.59798476170105,0.24013833883934554,0.004808616786753304,0.8332033244243319,0.16426964349566772,464.72893547155803,,929.4578709390885,105.26781088929161,25.377963770979004,0.2994951481182685,104.89932325882398,0.5530486346448454,0.013194957401424068,0.0012439557496509326,0.03494584495040113,0.0012212120792974763,0.5650796356686747,0.013227593545507954,0.0008973029375171507,0.022398297883419887,0.0005016837480744117,0.6359520091058735,0.010414013892754648,0.0007160198258965155,0.02043874393992894,0.0004177422538419819,0.5561233308433469,0.031436877437009736,0.001805590072241461,0.023158639053023254,0.0005363225627882138,1.2376743615376158,0.00814150925467394,0.0006100544867699603,0.020778806877894296,0.00043175881526882735,0.46606693086846207,0.6578346062911866,0.5996017973644686,0.5389294304322462,1.1946139277124097,0.34362824237738127,0.03149311744771982,0.052953330212054076,1.4052893768778911,0.07060660416419433,0.10305924860062,1.9007370684435763,0.10200519329698021,0.1309841166424756,2.234737008443339,0.088391087800641,0.09600104489595684,2.2669519544654384,0.08883425560581823,0.14530507871264262,1.8275356400149427,High Stress
2008-11-21,352,2.5,228.59700750879708,2.5,False,,invalid_only,0.2000000076410557,9.55131959634592e-09,0.650000008914565,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.05558607896207818,0.5396045935877714,0.1404331358520332,0.2000000076410557,0.20000000808508198,0.19999999650668143,0.19999999620026934,0.20000000597451534,0.20000000607574994,0.19999999416929004,0.19999999371407798,0.19999999570845756,0.1999999959248207,0.15298095803777653,511.24091601958423,,1022.481832038573,121.73342994716447,47.041898619347734,0.35294876573177036,146.9610916738473,6.883337120013618e-07,0.1175894518792068,477.7415304053574,,955.4830608077636,112.84466420188102,28.366174863895424,0.3697766488918934,123.32914058270757,5.158081337127941e-06,0.12640222942632437,2740119.300446819,,5480238.600813191,82.22675977415378,22.371047313405406,0.2733874857071319,38.94337231252294,1.1125287123888872,0.15446780775473984,5272897.5597625375,,10545795.119461413,68.14843071433383,26.64278756546321,0.19359834202291698,0.00597537366164862,1.2885696841496457,0.11809428277145732,459.8880416026833,,919.7760832039339,106.19074951734056,24.393412377677887,0.2733878433700937,106.9901096544486,0.7900512972888701,0.09480829603742813,0.004903741904023763,0.027580118450344297,0.000760662933735022,2.822485681759833,0.03516911992957694,0.001890410229530532,0.018331666052857666,0.00033604998027349415,1.637021532642792,-0.004931356841419654,-7.79399238703878e-05,0.018812937830665028,0.0003539266298204674,-0.06576633302341672,0.0540369618284251,0.0027769997589440027,0.017236747606441564,0.000297105468048169,2.55753031385578,0.01317256223056451,0.0008009325175724318,0.01749478974706587,0.00030606766829404113,0.7267540641381406,0.3815715298211581,0.49299307894421257,0.5914329759146533,0.8819529796606349,0.3985828765976066,0.03390719503703779,0.056615594297634825,1.4457453167672023,0.07338985276161,0.10779222639306106,1.952340688106285,0.10551127687090822,0.13735037693104282,2.3059585641858367,0.09537473047438712,0.10587514865808174,2.3450493737289935,0.09249129538328037,0.1539975727663764,1.8620394431162617,Moderate Bull
2008-12-01,357,2.5000000000000004,225.1622792191526,2.5000000000000004,False,,invalid_only,0.20000003481282574,4.351603216656841e-08,0.6500000406149622,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,4,4,0.04301790267727525,0.42778127149355333,0.12164980121617153,0.1999999897127826,0.19999998859782864,0.1999999857589615,0.19999998451796508,0.20000000267766482,0.20000000249221675,0.1999999870377654,0.1999999859624208,0.20000003481282574,0.20000003842956887,0.08956583185525357,511.49419253376254,,1022.9883850672841,121.89219926949285,37.86039469943223,0.2614357929677938,147.3772612976498,1.6452327803198247e-06,0.14247829831682177,474.98099828829294,,949.961996575543,113.05292529946124,23.806761865274723,0.27492584021117533,123.98753317659171,1.2249185273071047e-05,0.18157529832784872,2072270.4616548591,,4144540.9233276774,82.23622200731721,28.83967405303693,0.2172648064108963,39.116188727628945,2.5985313186111005,0.2328478060275821,4094363.8654286503,,8188727.731004453,68.2567799545348,32.884889360784,0.21943019454563556,0.04288021097486221,3.1503664659537582,0.11343631341005264,451.4617855816677,,902.9235711631458,106.78954339135284,22.639744080208676,0.21726421891361636,108.6262360440782,1.836973150071636,0.09047228998025458,0.004466803300522654,0.016399065795831825,0.0002689293589760213,4.3239233874805025,0.06912960816577507,0.0034548368435193084,0.015004332321429838,0.00022512998841190413,3.6551999429889483,0.032069882662824956,0.0017132333153873317,0.01673757285765373,0.0002801463451652668,1.6248912534538749,0.07483421033596338,0.003738193541219262,0.016099735117480852,0.0002592014708530462,3.685898080897353,0.057355970161434344,0.0028995027174027496,0.01499860457031854,0.00022495813905678018,3.0688307353632456,0.5191364179114589,0.5424501016568706,0.5230006758213885,0.9456455515811405,0.3094195730509873,0.034525300636049035,0.054335838252823496,1.4383920423466205,0.07086618283627792,0.1016628919179418,1.935527592897816,0.10567727575825445,0.13678981564986312,2.2815871133530483,0.08794336480925384,0.0954616573296547,2.3252859751595274,0.09396014575932725,0.15584282441832753,1.8586220114489893,Normal
2008-12-08,362,2.5,219.14800378350986,2.5,False,,invalid_only,0.20000001891491345,2.3643641801351922e-08,0.6500000220673987,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.039292550244099334,0.40713107631064777,0.02135915723564441,0.20000000669034587,0.2000000070517018,0.19999999514820502,0.19999999472366453,0.20000001891491345,0.20000002014140006,0.19999999053445358,0.1999999897631688,0.19999998871208216,0.19999998832006485,0.09519788398964758,512.7665923851753,,1025.5331847703108,122.13735561110538,36.136333034082355,0.3250214555542669,148.0167188634139,2.069420946001978e-06,0.16532679130024056,474.39411672728704,,948.7882334537608,113.22248367801035,22.699895360914667,0.3288998761334754,124.5652397505487,1.55705964545384e-05,0.2144752414173684,1844339.9512355735,,3688679.9025415154,82.03814793713545,30.436677100789403,0.23804414037585106,39.202997300374506,3.4782606495161303,0.2593620021864881,3553168.237058852,,7106336.47410756,67.95476109620155,34.17361847367987,0.23896032170581302,0.07304161850187979,4.075030252669123,0.136956523092401,449.08317925441816,,898.1663585080512,107.00904485906436,22.498644542838193,0.23805410556843049,109.52551985514906,2.458058575077954,0.02696079007997021,0.001417658314838222,0.013544056360764176,0.00018344146270355655,1.6615870068498246,0.004995401486149964,0.0003232654915891974,0.012488191582727464,0.00015595492900690507,0.4109226347753268,-0.02663712862176648,-0.0012445833524856505,0.014801169788482163,0.00021907462710747712,-1.3348369419725215,0.0025487797829879533,0.00020055309666569088,0.012392578582915157,0.00015357600393372744,0.25690228140091237,-0.0018845301428962458,-8.972479940670859e-06,0.01339170014474154,0.00017933763276667058,-0.010635968685759205,0.29785816017494554,0.4284335613515629,0.5621452245670836,0.8209031041289059,0.29459511633655977,0.03440698783236141,0.05390047599558478,1.4352574716547084,0.07058798540375155,0.10065489088084432,1.8888711631217614,0.10472500770889703,0.1336770062445328,2.302053999139213,0.0880916521610085,0.09618367492659247,2.2130811834520907,0.09464469135768487,0.15700010492506547,1.8381472252358138,Calm Bull
2008-12-15,367,2.5000000000000004,230.27119000034057,2.5000000000000004,False,,invalid_only,0.20000001805400874,2.2567510915560973e-08,0.6500000210630099,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.038958732874179475,0.44721318725506704,-0.031208016639399982,0.19999999761312615,0.19999999767705928,0.20000001805400874,0.200000017831514,0.1999999793997394,0.19999997925734944,0.20000000014269875,0.20000000131772092,0.2000000047904269,0.2000000039163562,0.08332802187263864,510.8034153283871,,1021.6068306567377,121.69279730175532,39.995885083949084,0.419085456276657,146.93333240163983,1.7060728952254635e-06,0.131539993498309,472.3718924654554,,944.7437849306268,112.7984989767989,23.973823660788252,0.4228206699911043,123.60127055035535,1.3098888589099509e-05,0.19045130530934792,1734482.2297320117,,3468964.45951543,81.79018903716366,26.875793075505786,0.2679089388169975,38.99585976027077,2.9900459556627887,0.20565034305605814,3391794.8789976235,,6783589.757951517,67.96988346402765,27.98860247388942,0.31979237289101387,0.07025222795679226,3.17397592086894,0.11856354703506546,446.71481414283335,,893.4296282854892,106.64952766816548,21.657162192546146,0.26790492903428237,108.9026906761254,2.113042108191654,0.016852290815733362,0.0009305652888390748,0.014157480430231122,0.0002004342521323772,1.0434247866079167,0.026094186337520586,0.001357290021775192,0.012039595641862605,0.00014495186321955705,1.7896208283716601,0.0072335347877587886,0.0004430426233304089,0.013202317837723113,0.00017430119628826187,0.5327158227152459,0.03324608013705288,0.0017251682524409573,0.013693102689817726,0.00018750106127389345,1.9999993874712245,0.022915447049580928,0.0011952310785800903,0.011417443507537928,0.00013035801624781997,1.661817301297093,0.4167144836895065,0.47274819877391916,0.45035867762893306,1.1542801653365684,0.200080169026552,0.030311477547056483,0.04462111398000807,1.4216462039859963,0.06250732074629374,0.09437779148943913,1.8173818144926166,0.10690947748951915,0.13679106069007796,2.3284348790276495,0.0688443144432704,0.0755877911741586,2.095471797544024,0.0959984160351006,0.15869289238716908,1.8516853144515524,High Stress
