vs,delta,lo,hi,p,n
ewma,0.037075879431614674,-0.009596513225255154,0.10397964690286077,0.1644,247
persistence,0.03546442267537667,-0.002935740474169612,0.0932378527635096,0.1088,247
ledoit_wolf,0.03524034580626888,-0.0057553493032118114,0.09615298428041753,0.1376,247
oas,0.03496282669396721,-0.007487147740415227,0.0966406058742915,0.1524,247
rolling,0.03411284165262599,-0.012381339922200507,0.10020498890586918,0.1892,247
shrink,0.02370236581245554,-0.01760768082579446,0.07980705298468949,0.3036,247
