mode,axis,choice,run_tag,primary_metric,model_mean,mix_mean,model_stein_mean,mix_stein_mean,model_logeuc_mean,mix_logeuc_mean,model_gmvp_sharpe_mean,mix_gmvp_sharpe_mean,roll_gmvp_sharpe_mean,pers_gmvp_sharpe_mean,shrink_gmvp_sharpe_mean,model_gmvp_var_mean,mix_gmvp_var_mean,roll_gmvp_var_mean,pers_gmvp_var_mean,shrink_gmvp_var_mean,model_gmvp_vol_mean,mix_gmvp_vol_mean,roll_gmvp_vol_mean,pers_gmvp_vol_mean,shrink_gmvp_vol_mean,model_turnover_l1_mean,mix_turnover_l1_mean,roll_turnover_l1_mean,pers_turnover_l1_mean,shrink_turnover_l1_mean
one_at_a_time,embedder,pca,embedder=pca,fro,0.025782398267242938,0.022023326478277313,1742.3801081553293,860.1965047796903,74.512622395422,85.42822228657008,1.5061159002374593,1.6837731942849956,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00012758141832317987,9.339582702048355e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008634618915056834,0.007620684175211942,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.619142101204525,0.30436418821479405,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,embedder,corr_eig,embedder=corr_eig,fro,0.024706757690946622,0.02239886540366443,1951.1862304891179,862.9935743751066,71.43914222182069,84.53522822364319,1.1417188602150115,1.5821578001719439,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011270536563996523,9.284356173705916e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008015601333218764,0.007562406406233096,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.3153716968761517,0.1934645155735613,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,transition_estimator,hard,transition_estimator=hard,fro,0.02574362063064172,0.022020401099415565,1737.1013849016842,859.3426462980365,74.47622429080442,85.40322211497737,1.491667244942288,1.6696765738362562,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00012592921914281928,9.353153654301059e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008599919719636726,0.007620521404448911,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.6321719554016942,0.308667482477191,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,transition_estimator,soft,transition_estimator=soft,fro,0.02572158592971181,0.02207545336495776,1773.3981409652886,858.9248308331087,74.20010641975126,85.29692183963802,1.4747459924412532,1.6669634722645057,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00013001174666473715,9.51189634850747e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008637171754015713,0.007643894390904006,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.6194957337737121,0.303535614962629,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,knn_metric,l2,knn_metric=l2,fro,0.025855819634919227,0.022090165550969237,1731.7646910337442,860.008947770717,74.50225987196757,85.41178867889708,1.5164265306406366,1.6819055652940753,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001277326178545668,9.423130324215005e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.00865292200487701,0.00763690574723537,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.6163834985485948,0.30292995929680105,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,knn_metric,l1,knn_metric=l1,fro,0.027449281650570943,0.02219563509882757,1041.3825288881455,831.9660847882528,98.57542903151412,94.33690389888886,1.7001439528733515,1.790126895881269,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00016742427955982446,0.00010244839906506046,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.00994922842385805,0.007981926662777217,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.20011251146791495,0.17010742191389838,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,knn_metric,cosine,knn_metric=cosine,fro,0.026211822182226677,0.022808033695855923,1749.6693593595555,858.4541530651522,72.37853850861569,84.75041845014788,1.139480232135218,1.588964419986277,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00010496864298211859,9.148119019438826e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.007865070268795751,0.007531165048802156,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.6477738304172087,0.3044025437971557,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,knn_metric,angular,knn_metric=angular,fro,0.02598619645954084,0.022726955461507645,1783.1478479182144,860.2117105399152,72.30330042367929,84.74175419613725,1.119946779528847,1.5823758219559603,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001038325646911685,9.082887818610689e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.007859722802101779,0.007517808578455701,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.6668119951467907,0.31297661953704525,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,knn_metric,chebyshev,knn_metric=chebyshev,fro,0.025525486909837462,0.02236300796294071,1783.9719517026629,855.9941926888787,73.27375412904152,85.01972604641978,1.4068680660018102,1.627626960802598,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011714789156308604,9.302203400496332e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008275007209512181,0.007603217415645878,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.6015621664590571,0.2978317730990761,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,knn_metric,lp_p1,knn_metric=lp_p1,fro,0.027419297769035837,0.022183176552676254,983.7836900816847,822.0639795931352,98.9270225165994,94.45883677373178,1.7092799721588006,1.791364424360775,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00017022412416537274,0.00010304487732697512,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.009994435603960612,0.007991088357302495,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.17922090953503483,0.1633092561573987,0.2392887989721949,0.4456611046578845,0.18028667620418165
