,frob_med,stein,nll,R_cond
frob_med,1.0,-0.2857142857142857,-0.2857142857142857,-0.21428571428571427
stein,-0.2857142857142857,1.0,1.0,0.6071428571428571
nll,-0.2857142857142857,1.0,1.0,0.6071428571428571
R_cond,-0.21428571428571427,0.6071428571428571,0.6071428571428571,1.0
