panel,contrast,est,lo,hi,covers0,n
Full,"SIM - EWMA, R^{\mathrm{cond}}",2.8388226622605484e-05,7.504960774416863e-07,6.941518032488232e-05,False,247
Full,"SIM - Persistence, R^{\mathrm{cond}}",6.0860852822775374e-05,2.7640935455251875e-05,0.00012305636258329132,False,247
Full,"SIM - Ledoit--Wolf, Stein",189814.58772879816,137814.24905117968,289249.2657182288,False,247
Future $|r|\le0.5$,"SIM - EWMA, R^{\mathrm{cond}}",1.1706219496898089e-05,-2.3496519874336492e-06,2.0400224525135535e-05,True,217
Future $|r|\le0.5$,"SIM - Ledoit--Wolf, Stein",121923.57399639273,104581.0456057069,145277.54253072248,False,217
Lookback+future $|r|\le0.5$,"SIM - Persistence, R^{\mathrm{cond}}",2.9511176012237082e-05,2.1407972412229494e-05,3.5366308604512306e-05,False,152
