rep,model,accepted_query,reason,train_n,train_K,train_mean_entropy,train_mean_norm_entropy,train_median_norm_entropy,train_mean_max_p,train_median_max_p,train_mean_top_gap,train_frac_max_gt_0.5,train_frac_max_gt_0.7,train_frac_max_gt_0.9,query_n,query_K,query_mean_entropy,query_mean_norm_entropy,query_median_norm_entropy,query_mean_max_p,query_median_max_p,query_mean_top_gap,query_frac_max_gt_0.5,query_frac_max_gt_0.7,query_frac_max_gt_0.9
market_state,fcm_k3,True,ok,242,3,0.5999919827768909,0.5461362383851399,0.5384336454575338,0.7848208034599424,0.8204316443427588,0.6433052819020121,0.9628099173553719,0.7603305785123967,0.21487603305785125,202,3,0.5433634002703605,0.4945906812394215,0.47468413240249296,0.8232524831432101,0.8516919269962451,0.7089462120553521,0.9851485148514851,0.900990099009901,0.2079207920792079
market_state,fcm_k4,True,ok,242,4,0.8455321971436678,0.6099225538655594,0.6535764596648883,0.6704922507587716,0.6689325922908325,0.46765192756540835,0.7727272727272727,0.4628099173553719,0.09917355371900827,202,4,0.8712140014708213,0.628448059737492,0.6671966335313808,0.6397269230707896,0.6024227242722187,0.3859247929966193,0.7920792079207921,0.3613861386138614,0.04950495049504951
market_state,gmm_diag_k3,False,near_deterministic_without_review,242,3,0.021951349031909026,0.01998097896622065,4.288432416205497e-06,0.9930975103292426,0.9999997062894139,0.9861950271807458,1.0,0.9958677685950413,0.9793388429752066,202,3,0.00806327203241784,0.007339506498869825,6.3553265673752715e-06,0.9975911550729605,0.9999995530293921,0.9951823110871926,1.0,1.0,0.9900990099009901
market_state,gmm_diag_k4,False,near_deterministic_without_review,242,4,0.012993284090262926,0.0093726732609419,4.164225891711777e-09,0.9944654686191973,0.9999999997506952,0.9889309438732891,1.0,0.987603305785124,0.987603305785124,202,4,0.005470625227636442,0.0039462219432365745,1.2670997655426975e-10,0.997351824269976,0.9999999999936406,0.9947881708074536,1.0,0.995049504950495,0.995049504950495
market_state,kmeans_k4,True,hard_control,242,4,2.0723265836946418e-297,1.4948676426993133e-297,1.4948676426993131e-297,1.0,1.0,1.0,1.0,1.0,1.0,202,4,2.0723265836946414e-297,1.4948676426993131e-297,1.4948676426993131e-297,1.0,1.0,1.0,1.0,1.0,1.0
market_state,gmm_transition_k3,False,near_deterministic_without_review,242,3,0.021951349031909026,0.01998097896622065,4.288432416205497e-06,0.9930975103292426,0.9999997062894139,0.9861950271807458,1.0,0.9958677685950413,0.9793388429752066,202,3,0.00806327203241784,0.007339506498869825,6.3553265673752715e-06,0.9975911550729605,0.9999995530293921,0.9951823110871926,1.0,1.0,0.9900990099009901
market_state,hmm_diag_k3,False,near_deterministic_without_review,242,3,0.020291136943247544,0.018469788798600895,1.7238447064356487e-08,0.9919773190278064,0.9999999991340907,0.9839546380648738,1.0,0.987603305785124,0.9752066115702479,202,3,0.01797798354569402,0.01636426583894253,4.305309565670959e-06,0.9935708437790839,0.9999997050499199,0.9871416877385082,1.0,0.995049504950495,0.9801980198019802
pca_only_8,fcm_k3,False,near_uniform,242,3,1.098612288665103,0.9999999999972633,0.9999999999992112,0.333334044320834,0.3333338311029057,6.604352476665439e-07,0.0,0.0,0.0,202,3,1.098612288664126,0.9999999999963738,0.9999999999981577,0.3333342044196846,0.3333341467410048,7.975398496477839e-07,0.0,0.0,0.0
pca_only_8,fcm_k4,False,near_uniform,242,4,1.3862943611151444,0.9999999999965765,0.9999999999989957,0.2500006584715734,0.2500004702633729,2.516599424442517e-07,0.0,0.0,0.0,202,4,1.386294361113595,0.9999999999954585,0.9999999999976903,0.2500008035179111,0.2500007140576442,2.9042504262445905e-07,0.0,0.0,0.0
pca_only_8,gmm_diag_k3,True,ok,242,3,0.12340869672490004,0.11233143666589893,0.03478087603149278,0.9531929269870695,0.9940019156253652,0.9064746666194752,1.0,0.9380165289256198,0.8636363636363636,202,3,0.06121064032280341,0.055716325908762084,0.02019310412506342,0.9831216517432129,0.996694875242851,0.9662511383507141,1.0,1.0,0.9554455445544554
pca_only_8,gmm_diag_k4,False,near_deterministic_without_review,242,4,0.12589160403156782,0.09081159641294997,0.027731020192633855,0.9517699047513959,0.9938893180529864,0.9036384101401769,1.0,0.9380165289256198,0.859504132231405,202,4,0.06210427567946741,0.04479876527038435,0.01641964626773148,0.982845263935849,0.996593387395772,0.9656997630467399,1.0,1.0,0.9554455445544554
pca_only_8,kmeans_k4,True,hard_control,242,4,2.0723265836946418e-297,1.4948676426993133e-297,1.4948676426993131e-297,1.0,1.0,1.0,1.0,1.0,1.0,202,4,2.0723265836946414e-297,1.4948676426993131e-297,1.4948676426993131e-297,1.0,1.0,1.0,1.0,1.0,1.0
pca_only_8,gmm_transition_k3,True,ok,242,3,0.12340869672490004,0.11233143666589893,0.03478087603149278,0.9531929269870695,0.9940019156253652,0.9064746666194752,1.0,0.9380165289256198,0.8636363636363636,202,3,0.06121064032280341,0.055716325908762084,0.02019310412506342,0.9831216517432129,0.996694875242851,0.9662511383507141,1.0,1.0,0.9554455445544554
pca_only_8,hmm_diag_k3,True,ok,242,3,0.06595056565827029,0.06003079188038642,0.002681786069864307,0.9780257563266088,0.9996871873894553,0.9561038689569652,1.0,0.9917355371900827,0.9090909090909091,202,3,0.12163722201060569,0.11071897089197061,0.013578542819762503,0.9554264507390672,0.9979210414383755,0.910862122418425,1.0,0.9801980198019802,0.8514851485148515
