ticker
AAPL
MSFT
GOOGL
GOOG
AMZN
NVDA
FB
NFLX
JPM
BAC
WFC
JNJ
PFE
UNH
WMT
HD
V
MA
NKE
OXY
WDC
AMAT
AMD
M
DE
HBAN
WYNN
F
STX
DAL
BIIB
ROST
EXPE
SLB
ILMN
TTWO
TSCO
GD
FDX
KSS
HRL
HPQ
STZ
UA
INCY
APA
LEN
NTAP
JNPR
ADSK
ORLY
GS
CTXS
K
CTSH
NDAQ
NEM
KMB
EOG
PRU
VFC
BK
AEP
REGN
CAG
DGX
EXC
FFIV
JWN
AFL
KMX
SPG
SJM
PVH
CPB
MGM
ABMD
YUM
NOC
GIS
LRCX
DVN
EMR
AIG
AKAM
ALB
NWL
NUE
OKE
CF
MAR
IR
EQIX
APD
COF
SYY
JCI
GPS
HP
ETN
