rep,model,accepted_query,reason,train_n,train_K,train_mean_entropy,train_mean_norm_entropy,train_median_norm_entropy,train_mean_max_p,train_median_max_p,train_mean_top_gap,train_frac_max_gt_0.5,train_frac_max_gt_0.7,train_frac_max_gt_0.9,query_n,query_K,query_mean_entropy,query_mean_norm_entropy,query_median_norm_entropy,query_mean_max_p,query_median_max_p,query_mean_top_gap,query_frac_max_gt_0.5,query_frac_max_gt_0.7,query_frac_max_gt_0.9
market_state,fcm_k3,True,ok,242,3,0.8343091759824012,0.7594209391138947,0.7945363449537727,0.6394242684839059,0.6369834860935556,0.39351307650040895,0.8223140495867769,0.32644628099173556,0.008264462809917356,202,3,0.8626382371815994,0.7852071618709172,0.8454273469517728,0.596013268591632,0.5568337619990547,0.3121328428094434,0.6633663366336634,0.26732673267326734,0.024752475247524754
market_state,fcm_k4,True,ok,242,4,1.0203905119751588,0.7360561656983561,0.762168852239992,0.5919037704812701,0.568191597412719,0.3670320334632155,0.6735537190082644,0.256198347107438,0.004132231404958678,202,4,1.0988256193866834,0.7926351359454559,0.8342403116310311,0.5224368689034657,0.4840564636381397,0.2550476250494413,0.46534653465346537,0.15841584158415842,0.0
market_state,gmm_diag_k3,True,ok,242,3,0.06286606787535066,0.057223161003929456,0.0012760256813225915,0.9750472528403117,0.9998579485031631,0.9501009610387747,1.0,0.9710743801652892,0.9338842975206612,202,3,0.12494479878071849,0.113729657013207,0.01104652265722509,0.9467808438628217,0.9984003195449519,0.8936168418940926,1.0,0.9504950495049505,0.8366336633663366
market_state,gmm_diag_k4,True,ok,242,4,0.06297505896834235,0.045426902636658766,0.00038453910030653124,0.9747102453444195,0.9999512191438529,0.9494264903187305,1.0,0.9710743801652892,0.9132231404958677,202,4,0.18678986206264034,0.13474040384305236,0.041033217197545185,0.9224084678919373,0.9898075062813718,0.8467430954781625,0.995049504950495,0.9108910891089109,0.7673267326732673
market_state,kmeans_k4,True,hard_control,242,4,2.0723265836946418e-297,1.4948676426993133e-297,1.4948676426993131e-297,1.0,1.0,1.0,1.0,1.0,1.0,202,4,2.0723265836946414e-297,1.4948676426993131e-297,1.4948676426993131e-297,1.0,1.0,1.0,1.0,1.0,1.0
market_state,gmm_transition_k3,True,ok,242,3,0.06286606787535066,0.057223161003929456,0.0012760256813225915,0.9750472528403117,0.9998579485031631,0.9501009610387747,1.0,0.9710743801652892,0.9338842975206612,202,3,0.12494479878071849,0.113729657013207,0.01104652265722509,0.9467808438628217,0.9984003195449519,0.8936168418940926,1.0,0.9504950495049505,0.8366336633663366
market_state,hmm_diag_k3,True,ok,242,3,0.020154497513986895,0.018345414230183953,0.00015272582125708085,0.9947461682127575,0.9999866844702259,0.9897006652991011,1.0,1.0,0.9917355371900827,202,3,0.08966341618254701,0.08161515860272184,5.973689528463692e-08,0.9587344495568758,0.9999999968540554,0.9199501627639686,1.0,0.9554455445544554,0.8663366336633663
pca_only_8,fcm_k3,False,near_uniform,242,3,1.098612288667204,0.9999999999991753,0.9999999999996959,0.3333337566419185,0.33333366560674416,4.7885445688499e-07,0.0,0.0,0.0,202,3,1.0986122886671734,0.9999999999991477,0.999999999999542,0.3333337887322212,0.3333337164563116,4.681948158863633e-07,0.0,0.0,0.0
pca_only_8,fcm_k4,False,near_uniform,242,4,1.386294361118263,0.999999999998826,0.9999999999996383,0.2500004731875781,0.2500003482091673,4.142004025981018e-07,0.0,0.0,0.0,202,4,1.386294361118225,0.9999999999987985,0.9999999999993968,0.2500005146127334,0.2500004459861772,4.278291528744238e-07,0.0,0.0,0.0
pca_only_8,gmm_diag_k3,True,ok,242,3,0.13920512862095777,0.12670996861843,0.0442487559694371,0.9477051026979635,0.9918739320414713,0.895612473927099,1.0,0.9462809917355371,0.8471074380165289,202,3,0.09385632502994248,0.08543170870929191,0.03613132901418116,0.9732962072988163,0.9934086423091304,0.9466420662071198,1.0,0.9851485148514851,0.9356435643564357
pca_only_8,gmm_diag_k4,True,ok,242,4,0.15028516072584178,0.10840782804918635,0.04375370768204524,0.9450614088181143,0.988985293549149,0.8904092684070738,1.0,0.9462809917355371,0.8429752066115702,202,4,0.1105664554662123,0.07975683849488746,0.037260616001327115,0.9672638659971489,0.9909453723549757,0.9346098243049393,1.0,0.9851485148514851,0.900990099009901
pca_only_8,kmeans_k4,True,hard_control,242,4,2.0723265836946418e-297,1.4948676426993133e-297,1.4948676426993131e-297,1.0,1.0,1.0,1.0,1.0,1.0,202,4,2.0723265836946414e-297,1.4948676426993131e-297,1.4948676426993131e-297,1.0,1.0,1.0,1.0,1.0,1.0
pca_only_8,gmm_transition_k3,True,ok,242,3,0.13920512862095777,0.12670996861843,0.0442487559694371,0.9477051026979635,0.9918739320414713,0.895612473927099,1.0,0.9462809917355371,0.8471074380165289,202,3,0.09385632502994248,0.08543170870929191,0.03613132901418116,0.9732962072988163,0.9934086423091304,0.9466420662071198,1.0,0.9851485148514851,0.9356435643564357
pca_only_8,hmm_diag_k3,False,near_deterministic_without_review,242,3,0.03696614822702522,0.03364803817354048,1.919467788576619e-05,0.9855525273477505,0.9999985909313651,0.9718281930147313,1.0,0.9834710743801653,0.9669421487603306,202,3,0.0001760087619769413,0.00016021007938143818,4.771520144972633e-06,0.9999781991994618,0.9999996827320222,0.9999617554605831,1.0,1.0,1.0
