block,delta,ci_lo,ci_hi,p
4,4.842982814074842e-07,-8.38400831720801e-08,1.4569368668281364e-06,0.212
8,4.842982814074842e-07,-1.0534019629848709e-07,1.5633353920414112e-06,0.362
12,4.842982814074842e-07,-9.140583433952642e-08,1.60696580219442e-06,0.4276
20,4.842982814074842e-07,-5.976383478646223e-08,1.5855654964671898e-06,0.3876
