method,raw_frob,raw_frob_sq,cond_stein,cond_kl,nll,gmvp_var_raw,R_raw,R_cond,leverage_l1,max_abs_w,gmvp_var_raw_Lmax,R_cond_Lmax,leverage_l1_Lmax
shrink,0.037001566225729914,0.005147597521019221,475.5008343092269,237.75041715461342,-187.80351843591149,9.25610401749536e-05,9.254197626317723e-05,9.232420526290912e-05,2.1217132269718415,0.13310423348896516,9.313438959276951e-05,6.560467166757437e-05,1.8783202239353802
persistence,0.04372714103148843,0.006744357241106279,7195.373123678941,3597.6865618394695,3111.6619782323614,9.734195631554585e-05,9.73228924037695e-05,9.697727958044413e-05,2.006882627991443,0.06855591733640068,9.961049463026244e-05,7.191960378462188e-05,1.7948906292740876
ledoit_wolf,0.03670446846098412,0.005398579102989486,384.3556331590668,192.1778165795334,-231.30452803717148,9.735629851677587e-05,9.733723460499951e-05,9.688413284512027e-05,1.9191593953801205,0.06555057856717057,9.608844006809096e-05,6.837329771881044e-05,1.6878686979962814
oas,0.03912955604901203,0.0055769461930515124,455.9098723899124,227.95493619495622,-196.40999778105916,9.915729128564017e-05,9.91382273738638e-05,9.891336737582705e-05,2.339493446199932,0.08127644239556653,0.00010102417333271099,7.336587297694644e-05,1.8670415409628174
ewma,0.04128097493270746,0.0059268847560490015,4000.965098875679,2000.48254943784,1531.7575799074475,0.00012907361746804176,0.0001290545535562654,0.00012944990578061687,3.4165014972322325,0.11873621049568754,0.00011910064378627401,9.14745130206931e-05,1.9721243757289235
rolling,0.04125714452319828,0.00592106733096415,3749.81394689682,1874.90697344841,1406.9890916556774,0.0001394065424679407,0.00013938747855616433,0.00013989680711384115,3.543994076369893,0.12237952126168902,0.00012585459676773511,9.822897805774475e-05,1.9729814889753303
D0_pca8,0.03471331985904866,0.005214547326069462,190198.94336195718,95099.47168097859,92708.50504083409,0.00015764530958814336,0.00015762624567636698,0.00015783813240322382,3.510429707012771,0.1429761074630013,0.00012103381859182753,9.342636815066884e-05,2.0
