date,raw_anchor,mix_lambda,shrink_gamma,regime_assigned,regime_prob_0,regime_raw_0,regime_prob_1,regime_raw_1,regime_prob_2,regime_raw_2,regime_prob_3,regime_raw_3,model_vol_mse,model_vol_mae,model_vol_rmse,model_vol_qlike,model_vol_r2,mix_vol_mse,mix_vol_mae,mix_vol_rmse,mix_vol_qlike,mix_vol_r2,roll_vol_mse,roll_vol_mae,roll_vol_rmse,roll_vol_qlike,roll_vol_r2,pers_vol_mse,pers_vol_mae,pers_vol_rmse,pers_vol_qlike,pers_vol_r2,shrink_vol_mse,shrink_vol_mae,shrink_vol_rmse,shrink_vol_qlike,shrink_vol_r2
2008-10-10,322,0.2,0.3,2,9.086662170608674e-13,9.999999999980025e-13,9.086662166269191e-13,9.999999999980025e-13,0.9993726854286262,0.9996896447926388,0.0006273145695563218,0.0003103552053612638,0.4603026315110565,0.6305811236750524,0.6784560645399645,-3.078861564878971,0.49665045737221447,0.3800282109052662,0.5658796076171636,0.616464281937945,-3.6221633720565687,0.5844320387287931,0.30417317273658906,0.4992863354626254,0.5515189686099555,-3.7902637961646377,0.6673809426767814,0.16275445331462152,0.35104959928293844,0.40342837445403057,-4.348602362042177,0.8220249591717091,0.37414979656118225,0.5507534960402407,0.6116778535807735,-3.714852279088506,0.5908601948350443
2008-10-17,327,0.2,0.3,2,9.089544081118986e-13,9.99999999997e-13,9.089544076778128e-13,9.99999999997e-13,0.9999999999961601,0.9999999999970001,2.0219204213434834e-12,9.99999999997e-13,0.24787191858418223,0.4533990224166512,0.49786737047549345,-4.219768259794758,0.721801400120228,0.17465126859646468,0.3465431886215222,0.4179129916579104,-4.592878958167716,0.8039804643128177,0.11188012128742772,0.28272915097941254,0.33448485957876734,-4.698922567242468,0.8744315480578699,0.06710641480900305,0.19694346328473236,0.2590490586915981,-4.872421843616859,0.9246832366108648,0.1751829335972285,0.32198726454896354,0.4185486036259451,-4.642033000062433,0.8033837510600119
2008-10-24,332,0.2,0.3,2,9.089544081118986e-13,9.99999999997e-13,9.089544076778128e-13,9.99999999997e-13,0.9999999999961601,0.9999999999970001,2.0219204213434834e-12,9.99999999997e-13,0.2791998201472305,0.48203034508515485,0.5283936223566958,-3.966442682865527,0.6899692445966522,0.1926600400331877,0.36874762734189964,0.43893056402258857,-4.406319752700692,0.786065271403002,0.12505389220519494,0.30237036253107347,0.35362959746773875,-4.53252654792154,0.8611368995651196,0.05224960016900665,0.18093022321371055,0.22858171442398154,-4.7599218947373885,0.9419806825041012,0.19106180942496123,0.34181902482358767,0.4371061763747582,-4.465307960423413,0.787839988315484
2008-10-31,337,0.2,0.3,3,3.7186913770934563e-13,9.999999999969998e-13,3.718691377078312e-13,9.999999999969998e-13,4.093082339664766e-13,9.999999999969998e-13,0.999999999998847,0.999999999997,0.20591227734451903,0.41408805458907844,0.4537755803748358,-4.200702626155554,0.7782991432259311,0.16874361768398582,0.3316557909884712,0.4107841497477548,-4.434636487982024,0.8183177559971201,0.10632876685077516,0.26082832998794747,0.3260809207095306,-4.54715339666188,0.885518342982988,0.06088940540630089,0.1916454979946447,0.24675778692130648,-4.696530972912363,0.9344418238624281,0.17586271110200538,0.31683893839748034,0.4193598825615123,-4.466376037833623,0.8106527972555447
2008-11-07,342,0.2,0.3,3,3.7186913770934563e-13,9.999999999969998e-13,3.718691377078312e-13,9.999999999969998e-13,4.093082339664766e-13,9.999999999969998e-13,0.999999999998847,0.999999999997,0.1772077805796643,0.37567384446985824,0.4209605451579332,-4.27710725881006,0.8112363881066941,0.15807557151171442,0.30958401761334675,0.3975871873082864,-4.443630955051547,0.8316162206137693,0.09711512362250894,0.24135092152816187,0.3116329950799641,-4.553613395503944,0.8965519378185057,0.06434959695345255,0.19175041549286512,0.2536722234566736,-4.6433289363570776,0.9314541251796136,0.16876707352519393,0.2997504371994102,0.4108126988363358,-4.464235431003188,0.8202275190001758
2008-11-14,347,0.2,0.3,3,3.7186913770934563e-13,9.999999999969998e-13,3.718691377078312e-13,9.999999999969998e-13,4.093082339664766e-13,9.999999999969998e-13,0.999999999998847,0.999999999997,0.10368992534459935,0.2590608366299981,0.3220092007142022,-4.665025826120887,0.8888829782645049,0.1247486796089866,0.24437597093784105,0.35319779105904187,-4.7010077929600955,0.8663158286832727,0.07775378120673945,0.20443651238323837,0.27884365011012796,-4.771245192080257,0.9166768751385141,0.07898652236338481,0.20899783761155624,0.2810454097888539,-4.710698257546991,0.9153558352646597,0.14380030041626954,0.2465727157051111,0.37921010062532556,-4.698256777418206,0.8458995794063652
2008-11-21,352,0.2,0.3,0,0.9999999999982353,0.9999999999970001,5.882057694345635e-13,9.99999999997e-13,5.882057473509751e-13,9.99999999997e-13,5.882057473509497e-13,9.99999999997e-13,0.11096865451677623,0.2751163907719219,0.3331195799060395,-5.001345212170178,0.8804697097287291,0.14530306450065625,0.2815602530514209,0.3811863907600273,-4.972496358613327,0.843486274996306,0.10709693619587489,0.25614975388252104,0.3272566824311994,-5.011734613260702,0.88464014521577,0.11503520346190746,0.2756331010460139,0.3391683998575154,-4.979077051083822,0.8760894117253827,0.165912916510303,0.2855575620245075,0.40732409272016185,-4.959661206069958,0.821286297859622
2008-12-01,357,0.2,0.3,0,0.9999999999982353,0.9999999999970001,5.882057694345635e-13,9.99999999997e-13,5.882057473509751e-13,9.99999999997e-13,5.882057473509497e-13,9.99999999997e-13,0.24491601907425423,0.4338397448826389,0.49488990601370547,-5.345061355389001,0.7161481775383137,0.2724467489181112,0.4358893888182708,0.5219643176675118,-5.330282050286784,0.6842407185267827,0.24679111202788476,0.43534841235918603,0.49678074844732534,-5.34376390132449,0.7139749895443845,0.25142720898387094,0.4492280162270418,0.5014251778519612,-5.336797858309073,0.7086018637887076,0.29111478180282907,0.4369368668322163,0.5395505368386071,-5.3229068766880605,0.6626049138287841
2008-12-08,362,0.2,0.3,0,0.9999999999982353,0.9999999999970001,5.882057694345635e-13,9.99999999997e-13,5.882057473509751e-13,9.99999999997e-13,5.882057473509497e-13,9.99999999997e-13,0.3408801096546856,0.5304821382785154,0.583849389530113,-5.4172811281272,0.5977518179935727,0.37387230065666854,0.5414363911709433,0.6114509797658914,-5.395279746402805,0.5588200983798934,0.3552407088004585,0.5435349233954363,0.596020728498983,-5.400330154428487,0.5808059043561891,0.35725554023102335,0.5500526937307257,0.597708574667474,-5.395700393640536,0.578428346214662,0.39379897883258974,0.5441749543940505,0.6275340459549503,-5.386502665123374,0.5353060538737144
2008-12-15,367,0.2,0.3,1,4.757337859287186e-13,9.99999999997e-13,0.9999999999985727,0.9999999999970001,4.75733619715255e-13,9.99999999997e-13,4.757336197171255e-13,9.99999999997e-13,0.3412942745783612,0.533335025867865,0.5842039665890341,-5.450253656895257,0.602360242764922,0.37470422225320477,0.538576406845792,0.6121308865375156,-5.429523322227885,0.5634345282943992,0.34963678825572003,0.5384253423630204,0.5913009286782155,-5.440910360560614,0.5926404339064418,0.30469477273675777,0.49744764783807793,0.551991641908424,-5.49237889708615,0.6450020862157078,0.39470298501660617,0.5398867520902739,0.6282539176293341,-5.420957152205279,0.5401340988334444
