,To_Calm Bull,To_Moderate Bull,To_Normal,To_High Stress
From_Calm Bull,0.7647058823529411,0.0784313725490196,0.07352941176470588,0.08333333333333333
From_Moderate Bull,0.11764705882352941,0.7058823529411765,0.09558823529411764,0.08088235294117647
From_Normal,0.10119047619047619,0.08928571428571429,0.7202380952380952,0.08928571428571429
From_High Stress,0.09803921568627451,0.058823529411764705,0.12418300653594772,0.7189542483660131
