metric,baseline,n,mean_adv,median_adv,wilcoxon_p,block_boot_p,ci95_lo,ci95_hi
gmvp_sharpe,roll,369,0.5375,0.1571,0.00024974317728342717,0.0034,0.0864,0.5253
gmvp_sharpe,shrink,369,0.4487,0.1226,0.000479738510912729,0.0038,0.0709,0.4376
gmvp_sharpe,pers,369,0.5756,0.0617,0.052332478543233904,0.1668,-0.0436,0.5664
fro,roll,662,0.0016,0.0002,0.018634899744552604,0.0466,0.0,0.0042
fro,shrink,662,-0.0012,-0.0004,1.2003275438458474e-05,0.0229,-0.0022,-0.0001
fro,pers,662,0.0034,0.0012,7.057279220395759e-18,0.0,0.002,0.0059
