date,raw_anchor,method,split,embedder,pca_k,k_neighbors,aggregation,eta,raw_frob,raw_logeuc,raw_corr_frob,cond_stein,cond_kl,nll,gmvp_var,var_regret,pred_var,leverage_l1,max_abs_w,hhi
2013-01-04,1390,D2_market_fcm3,select,market_state,6,20,log_euclidean,0.01,0.0001309840559017318,2141.921066619182,5210.72635582685,43424.943408196275,21712.47170409813,20924.08968008354,4.945225461252269e-05,4.944982642766027e-05,3.852705077757344e-08,2.489453318864305,0.10071765493157395,0.09586153575232062
2013-01-04,1390,rolling,select,market_state,6,20,log_euclidean,0.01,0.0003245335148430688,4853.6062976243775,973.5826190586022,2030.1442717534987,1015.0721358767524,561.6456573310428,6.282379064745477e-05,6.282136246259234e-05,1.2152662934188866e-06,3.473506352914975,0.24394508982056543,0.22832763177826648
2013-01-04,1390,ledoit_wolf,select,market_state,6,20,log_euclidean,0.01,0.00013838427335039752,9063.182666501556,631.4461779353496,339.85765561592757,169.9288278079638,-266.534305773021,2.8796577786644484e-05,2.8794149601782062e-05,1.834290874336943e-05,1.3481819214380037,0.05778753957937165,0.028473789381099006
2013-01-04,1390,persistence,select,market_state,6,20,log_euclidean,0.01,0.0010564147902667603,3524.6684823877886,1453.2649604805106,3756.184427717163,1878.0922138585688,1428.5511938135267,5.533164084792245e-05,5.5329212663060025e-05,7.119741823222734e-07,2.746281064237266,0.12888482284973465,0.12702016959294435
2013-01-11,1395,D2_market_fcm3,select,market_state,6,20,log_euclidean,0.01,0.000141624527396271,2126.049088013642,5439.203322032926,51923.09791165547,25961.548955827737,25194.95165958908,4.977659932775547e-05,4.977429601664111e-05,3.50083245295244e-08,2.45678300161149,0.10178930623403898,0.09739087438495482
2013-01-11,1395,rolling,select,market_state,6,20,log_euclidean,0.01,0.00031896184795301844,4807.27157802759,916.9654652083702,2240.009297643325,1120.0046488216617,666.6128361471058,7.163717869089467e-05,7.163487537978031e-05,1.2951574767169168e-06,3.612596939580889,0.2777193823598334,0.25961953778371183
2013-01-11,1395,ledoit_wolf,select,market_state,6,20,log_euclidean,0.01,0.0001451580576140017,9018.850176239652,646.4480484471289,338.9437807250673,169.47189036253326,-264.238299993788,2.749124514052872e-05,2.7488941829414356e-05,1.648165632558916e-05,1.2399969630815502,0.05226699121394171,0.024279606335046888
2013-01-11,1395,persistence,select,market_state,6,20,log_euclidean,0.01,0.0010596661125764476,3512.139525830175,1402.9628864233903,3895.826265689278,1947.913132844631,1499.9231146825443,5.056977445167076e-05,5.05674711405564e-05,7.624529328235034e-07,2.8517193254162723,0.13832822595450267,0.13670994022132285
2013-01-18,1400,D2_market_fcm3,select,market_state,6,20,log_euclidean,0.01,0.00019370502396402577,2258.808718627843,5598.237970119462,55769.918622776706,27884.95931138836,26685.742731455724,3.082650793608202e-05,3.082439719951687e-05,3.9197175521190506e-08,2.407705766152066,0.10292798965255011,0.09523381926265638
2013-01-18,1400,rolling,select,market_state,6,20,log_euclidean,0.01,0.00034582167891243,4706.380450997887,912.6218244549971,3122.532348271623,1561.266174135808,1108.0521040622389,5.0807808057772994e-05,5.080569732120784e-05,1.2273500173573888e-06,3.61483108449924,0.3054735850782168,0.28344091776283037
