date,raw_anchor,guardrail_trace_ratio,guardrail_trace_ratio_pre,guardrail_trace_ratio_post,guardrail_triggered,guardrail_trigger_reason,guardrail_mode,model_regime_conf_raw,model_regime_conf_adj,model_pers_blend_lambda,model_blend_to_pers_strength,model_blend_to_pers_conf_threshold,model_blend_to_pers_power,mix_lambda,shrink_gamma,floor_eps,apply_floor_to,regime_assigned,dominant_regime,realized_vol,avg_corr,market_ret,regime_prob_0,regime_raw_0,regime_prob_1,regime_raw_1,model_fro,model_kl,model_nll,model_stein,model_logeuc,model_corr_offdiag_fro,model_corr_spearman,model_eig_log_mse,model_cond_ratio,mix_fro,mix_kl,mix_nll,mix_stein,mix_logeuc,mix_corr_offdiag_fro,mix_corr_spearman,mix_eig_log_mse,mix_cond_ratio,roll_fro,roll_kl,roll_nll,roll_stein,roll_logeuc,roll_corr_offdiag_fro,roll_corr_spearman,roll_eig_log_mse,roll_cond_ratio,pers_fro,pers_kl,pers_nll,pers_stein,pers_logeuc,pers_corr_offdiag_fro,pers_corr_spearman,pers_eig_log_mse,pers_cond_ratio,shrink_fro,shrink_kl,shrink_nll,shrink_stein,shrink_logeuc,shrink_corr_offdiag_fro,shrink_corr_spearman,shrink_eig_log_mse,shrink_cond_ratio,model_gmvp_cumret,model_gmvp_mean,model_gmvp_vol,model_gmvp_var,model_gmvp_sharpe,mix_gmvp_cumret,mix_gmvp_mean,mix_gmvp_vol,mix_gmvp_var,mix_gmvp_sharpe,roll_gmvp_cumret,roll_gmvp_mean,roll_gmvp_vol,roll_gmvp_var,roll_gmvp_sharpe,pers_gmvp_cumret,pers_gmvp_mean,pers_gmvp_vol,pers_gmvp_var,pers_gmvp_sharpe,shrink_gmvp_cumret,shrink_gmvp_mean,shrink_gmvp_vol,shrink_gmvp_var,shrink_gmvp_sharpe,model_turnover_l1,mix_turnover_l1,roll_turnover_l1,pers_turnover_l1,shrink_turnover_l1,model_w_hhi,model_w_max_abs,model_w_l1,mix_w_hhi,mix_w_max_abs,mix_w_l1,roll_w_hhi,roll_w_max_abs,roll_w_l1,pers_w_hhi,pers_w_max_abs,pers_w_l1,shrink_w_hhi,shrink_w_max_abs,shrink_w_l1,regime_label
2008-10-10,322,2.5,433.6609328156193,2.5,False,,invalid_only,0.5000000292659381,5.853187623472422e-08,0.6500000546297491,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06586176384892559,0.6254220820011941,-0.027869941210507565,0.49999997073406194,0.49999996733292235,0.5000000292659381,0.5000000326670776,0.24097030644468864,494.0728046442623,,988.1456092881906,116.35122718221805,55.0175581921753,0.08881453369431022,133.25119227822853,6.840701717823033e-07,0.21434358404490492,480.51863456634425,,961.0372691332518,107.37579862912624,40.54192308292744,0.1730713360620024,109.91167876750421,4.651136234698187e-06,0.21868319189791424,3270670.1391844926,,6541340.278349441,77.47616458673136,27.567475479529534,0.2591388414559822,32.823682956584776,0.3625019166948307,0.20026334556148204,6857059.41768272,,13714118.835784325,68.49287845247339,27.535900907246955,0.255732788081837,0.0131144469490467,0.6878626736425335,0.23802638049181662,493.8287347813578,,987.6574695629788,99.03107172907531,35.23935491065865,0.2591398378664077,91.86417953903006,0.26739800961540644,-0.029377357575751994,-0.0007157566701950508,0.0405422919123039,0.001643677433502462,-0.280257586712856,-0.03248484277146635,-0.0010368013341054752,0.0361013623910895,0.0013033083664927714,-0.4559027649811046,-0.03254849969875262,-0.0011088721889328335,0.03402798865560043,0.0011579040119456716,-0.5173035780537741,-0.03907772866573611,-0.0014260592358566527,0.03466117728457617,0.001201397210752819,-0.6531223210055699,-0.026806440916340657,-0.0007736293982128012,0.03524355388024489,0.0012421080901097244,-0.34846048752572567,,,,,,0.026740424926054815,0.03805452723530159,1.367593306971069,0.04314447080586678,0.06084448498790504,1.664653118667928,0.05536961959655556,0.0786577108290163,1.8117406748376248,0.05364992609387298,0.06077325632637193,1.902626912107859,0.04683158533690019,0.08112241452659219,1.5782133057872672,High Stress
2008-10-17,327,2.5,345.79461076428225,2.5,False,,invalid_only,0.5000000050315292,1.006305838657795e-08,0.6500000093921878,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.05939641897250966,0.6113664304836077,-0.1438830645171889,0.5000000050315292,0.500000004612778,0.4999999949684709,0.49999999538722195,0.16448918082235203,496.8927492787218,,993.7854985571146,118.23085190215818,51.14226214983895,0.19827867491962323,137.99503391770983,8.386388470623831e-07,0.12372451909073362,472.4975061732345,,944.9950123440792,109.20062272911281,33.24538395666217,0.26558493908080244,114.34785079859968,5.747856195726187e-06,0.1319430476905039,2843134.2581949136,,5686268.516326126,78.21354463985934,21.813701817945176,0.3278790175894328,33.21435982243598,0.621677205573608,0.12583806614328136,5729006.216205013,,11458012.43231147,67.57462105805946,23.29545969581168,0.30541607610692845,0.016931309330760057,1.0564810501996438,0.15575144526435566,465.7204975454919,,931.4409950908866,101.31014663129096,29.094280537590393,0.32788866222101737,96.80019472113183,0.44593796846592776,-0.11986880213002615,-0.005786329069575118,0.03502026175127105,0.0012264187331275382,-2.6229137572485555,-0.08600291120107673,-0.0040332290484571655,0.03104857724079143,0.0009640141486773916,-2.0621082170070446,-0.05211839539619145,-0.0022570747515072934,0.02977313618647546,0.0008864396383784145,-1.2034322038569683,-0.09689950825533289,-0.004642073171434456,0.030624334371744145,0.00093784985571239,-2.4062768574610387,-0.06374122120664438,-0.0028668714351610756,0.029945854584916328,0.0008967542068209542,-1.5197486857092362,0.7427212206001298,0.9614329565547712,0.9130611039269735,1.216272683286817,0.7358614950690343,0.0361392693214375,0.053011236477549545,1.539232130092856,0.06231100259866015,0.08290246561807772,1.9226632435173545,0.07520171834007239,0.09853704169792406,2.030804323246081,0.07591736610555237,0.08197283618406097,2.173595468908773,0.0650673553388391,0.10570071389097657,1.7609902043191719,Calm Bull
2008-10-24,332,2.4999999999999996,326.986124792789,2.4999999999999996,False,,invalid_only,0.5000000153187403,3.063748055254223e-08,0.6500000285949813,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.06328745712848662,0.6429707261257684,-0.16372052393254732,0.5000000153187403,0.5000000157945292,0.49999998468125983,0.4999999842054708,0.19806018427517205,499.40389980476687,,998.8077996089389,118.72123143052268,53.57027259762595,0.18533019964678504,139.2066011090535,7.128493823068825e-07,0.14613695310510957,474.96946596646416,,949.9389319334246,109.82611009713487,35.55814000450765,0.2477209370902671,115.69550611036173,4.874361942173654e-06,0.15904736888584584,2795210.9602813995,,5590421.920663474,78.80527719538418,22.549673314024336,0.3091824482511317,34.135293749884276,0.546906332623956,0.12374051436624221,6027877.542985042,,12055755.086342998,68.23941849372054,22.793149272960978,0.2922566195588804,0.0063955756355251,0.9502772816499376,0.1897274225891899,467.8505568802622,,935.7011137617826,102.18401566714458,31.517197020326105,0.3091840642149367,98.38138707244494,0.39166299487612416,-0.09110964841742009,-0.004179343300323038,0.03518614530924059,0.0012380648217229931,-1.8855437989111892,-0.018608330000571827,-0.0004638048352700919,0.031747862373466135,0.0010079267652845468,-0.23191084234651443,0.04792958276663373,0.0028195696927411523,0.031884364949001154,0.0010166127282010935,1.4038003058061759,-0.05438631370784941,-0.002385902431876618,0.0292897351894984,0.0008578885874709408,-1.2931160584731136,0.021989966747556267,0.0015723416407603798,0.032142683927575556,0.0010331521300680241,0.7765421767629437,0.28789344988034477,0.38805628902141365,0.5084590601144796,0.7328093357312142,0.35159173789545156,0.03614091864471117,0.05216487539610555,1.5512458488982352,0.06177184633280133,0.08382859496756785,1.922629981539659,0.07754909446329714,0.1005933269428286,2.036131442555468,0.07442223158671256,0.08009518258055456,2.1915138159149636,0.0666222932727307,0.10951001341937479,1.7665836788133993,Calm Bull
2008-10-31,337,2.4999999999999996,281.8014138727252,2.4999999999999996,False,,invalid_only,0.5000000151426787,3.0285357333070806e-08,0.650000028266333,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06578597118183306,0.6408399145367036,-0.23238378616475652,0.49999998485732144,0.4999999853131856,0.5000000151426787,0.5000000146868143,0.22437766260687217,504.7534948751861,,1009.5069897495157,120.02110334360388,52.734078467117634,0.32745803532245027,142.40290426881373,6.200638004868523e-07,0.16235756766819434,477.1374395697973,,954.2748791400945,111.1567277898595,33.10586953903067,0.37303889830695525,118.69888447868169,4.285768291222215e-06,0.16865419356658032,2981079.7348134634,,5962159.469679057,80.53540869812366,20.331597287409565,0.3719009893891255,35.436176391736524,0.577817611121352,0.14001040818491173,6075877.38014325,,12151754.760576066,68.32598050220807,20.948259332167765,0.31588743212261605,0.015809229037776092,0.9585933813475327,0.2071983366246078,468.56755041366023,,937.1351008254485,103.80097119411224,29.7667918739063,0.37188347834903024,101.59107555616549,0.41286598774678096,-0.18132497873737474,-0.009395954095842252,0.034103882717696314,0.0011630748164223855,-4.373582575244262,-0.13998452519786886,-0.007188055665419119,0.026027846284114677,0.0006774487821895022,-4.384029510347349,-0.1034910771711286,-0.005137358032984342,0.02556838548194683,0.0006537423361534294,-3.189604230640689,-0.15657852782589465,-0.008192812997675939,0.02442318819937743,0.000596492121822209,-5.325139097828307,-0.11883694728976901,-0.005979262737477918,0.026248429607792726,0.0006889800568752498,-3.6161345564648735,0.47367836856210316,0.761101390128076,0.809975424376277,1.080902531252796,0.5460859949091691,0.03909712375891701,0.06120474071715219,1.5811091861531494,0.07373368122054146,0.1022865999794348,1.983288613455403,0.09074056649715105,0.11850241425686259,2.1116150044712474,0.09529639088366357,0.1034565597231141,2.3694880635111053,0.07822507613012647,0.1290429874430358,1.777392596635019,High Stress
2008-11-07,342,2.5,265.2282734907178,2.5,False,,invalid_only,0.5000000129352263,2.587045266899679e-08,0.6500000241457554,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06682917886184231,0.6428484421698241,-0.05974576263543996,0.4999999870647737,0.4999999877125903,0.5000000129352263,0.5000000122874098,0.24182531268995855,507.32508251441607,,1014.6501650263936,120.51560817697694,53.42473874105328,0.3507960838829318,143.7138743903887,5.414903727759534e-07,0.17761717143265876,478.66259312972375,,957.3251862587254,111.68759872760201,33.239452148076055,0.37313499962397767,120.12250502329965,3.823773610165773e-06,0.1728681328084961,3169038.2117949803,,6338076.423610639,81.41820959078366,19.8669652935288,0.3562107330729445,37.08435279235035,0.5949732091778965,0.1497276781281032,6524652.122357902,,13049304.244238637,69.2698806404625,20.506436144425134,0.2845996193978813,0.0061484475939031676,0.8846022413678727,0.2134532585988764,467.1803221201179,,934.3606442409373,104.570190599611,29.545751642657095,0.3562139464001017,103.28031552795451,0.42464658889119933,-0.0035299770495664795,0.00041799574973336583,0.03522281500379745,0.0012406466967917389,0.18838576122763337,0.008813431556708773,0.0006834768919754541,0.022647030956913113,0.0005128880111633808,0.4790852857631389,0.01646846818590264,0.0010558237551572028,0.022497514274888008,0.0005061381485487896,0.7450015277787967,0.022152819263080215,0.0013210010193051753,0.021704644467032,0.0004710915914402628,0.9661637675453425,-0.0030560975944837754,0.00011031169905276715,0.023609775453483712,0.0005574214969639221,0.07417029178204951,0.39505607815970734,0.5480109857725225,0.5280244861144648,0.9846867021935,0.33740951830434635,0.0376698507273997,0.06080455158934403,1.520351085301832,0.07501086174908404,0.10658982236003575,1.9702752315830776,0.09630561335011491,0.12759962384424026,2.1390614729221857,0.0975030518172174,0.10640911215801288,2.4049711274518817,0.08273822761711747,0.1390653788019559,1.7777301129003085,High Stress
2008-11-14,347,2.5,247.2636727238789,2.5,False,,invalid_only,0.5000000282454556,5.6490911282125467e-08,0.6500000527248486,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06249204592273131,0.5870255656700201,-0.001965701041702017,0.49999997175454436,0.4999999710710367,0.5000000282454556,0.5000000289289633,0.2165868273270015,509.7409486690345,,1019.4818973370436,121.0504742692639,51.293635157502386,0.29922187521288407,145.25001006839457,4.847654424650503e-07,0.1594484214579189,478.71564615430714,,957.431292308137,112.17487680684468,32.09840408840293,0.3294200895404772,121.67005206212627,3.6897316868028004e-06,0.135475303361636,3119428.6428080406,,6238857.285646605,81.82025857077056,19.728814096000107,0.2994903843246454,37.90610798555784,0.7773206673712418,0.15024281056302702,6191502.984441931,,12383005.969034094,68.57788296903573,22.59798476170105,0.24013833883934554,0.004808616786753304,0.8332033244243319,0.16426964349566772,464.72893547155803,,929.4578709390885,105.26781088929161,25.377963770979004,0.2994951481182685,104.89932325882398,0.5530486346448454,0.013194956228261168,0.0012439557312384324,0.03494584611832683,0.0012212121609257783,0.5650796084190723,0.013227593649594471,0.0008973029459469291,0.022398298035662387,0.0005016837548943575,0.6359520107577694,0.010414013892754648,0.0007160198258965155,0.02043874393992894,0.0004177422538419819,0.5561233308433469,0.031436877437009736,0.001805590072241461,0.023158639053023254,0.0005363225627882138,1.2376743615376158,0.00814150925467394,0.0006100544867699603,0.020778806877894296,0.00043175881526882735,0.46606693086846207,0.6578346044372254,0.5996018001302889,0.5389294304322462,1.1946139277124097,0.34362824237738127,0.03149311402393169,0.052953326639306915,1.4052893072981962,0.07060660296075749,0.1030592472419124,1.900737055582446,0.10200519329698021,0.1309841166424756,2.234737008443339,0.088391087800641,0.09600104489595684,2.2669519544654384,0.08883425560581823,0.14530507871264262,1.8275356400149427,High Stress
2008-11-21,352,2.499999999999999,228.59700750879688,2.499999999999999,False,,invalid_only,0.5000000140610944,2.812218879988393e-08,0.6500000262473757,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.05558607896207818,0.5396045935877714,0.1404331358520332,0.5000000140610944,0.5000000153992007,0.49999998593890566,0.4999999846007993,0.1529809609384432,511.2409169609752,,1022.4818339215624,121.7334301583305,47.04189918062585,0.3529492877317113,146.96109225952975,6.883336631809299e-07,0.11758945179177904,477.74153083210285,,955.4830616615434,112.84466436048096,28.366175141337244,0.3697794285712603,123.32914099701024,5.158081169197671e-06,0.12640222942632437,2740119.300446819,,5480238.600813191,82.22675977415378,22.371047313405406,0.2733874857071319,38.94337231252294,1.1125287123888872,0.15446780775473984,5272897.5597625375,,10545795.119461413,68.14843071433383,26.64278756546321,0.19359834202291698,0.00597537366164862,1.2885696841496457,0.11809428277145732,459.8880416026833,,919.7760832039339,106.19074951734056,24.393412377677887,0.2733878433700937,106.9901096544486,0.7900512972888701,0.09480829774451749,0.004903741995329279,0.027580118939076748,0.0007606629606936199,2.822485684297523,0.035169120440857515,0.0018904102552158666,0.01833166610700037,0.00033604998225854614,1.6370215500503351,-0.004931356841419654,-7.79399238703878e-05,0.018812937830665028,0.0003539266298204674,-0.06576633302341672,0.0540369618284251,0.0027769997589440027,0.017236747606441564,0.000297105468048169,2.55753031385578,0.01317256223056451,0.0008009325175724318,0.01749478974706587,0.00030606766829404113,0.7267540641381406,0.3815715160403881,0.49299307452617785,0.5914329759146533,0.8819529796606349,0.3985828765976066,0.03390719346265982,0.056615592673036425,1.4457452849305858,0.07338985223083141,0.1077922257501072,1.9523406833710333,0.10551127687090822,0.13735037693104282,2.3059585641858367,0.09537473047438712,0.10587514865808174,2.3450493737289935,0.09249129538328037,0.1539975727663764,1.8620394431162617,Calm Bull
2008-12-01,357,2.5000000000000004,225.16227921915257,2.5000000000000004,False,,invalid_only,0.5000000255638558,5.112771161996932e-08,0.650000047719196,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.04301790267727525,0.42778127149355333,0.12164980121617153,0.5000000255638558,0.5000000279022022,0.4999999744361443,0.4999999720977978,0.08956583165093747,511.49419293245256,,1022.9883858638823,121.89219935621867,37.86039491233955,0.26145151341749284,147.37726153810289,1.6452327321330317e-06,0.14247829785346386,474.98099850551665,,949.9619970100207,113.05292536382794,23.806761916093382,0.2749255682290227,123.9875333445451,1.224918510903972e-05,0.18157529832784872,2072270.4616548591,,4144540.9233276774,82.23622200731721,28.83967405303693,0.2172648064108963,39.116188727628945,2.5985313186111005,0.2328478060275821,4094363.8654286503,,8188727.731004453,68.2567799545348,32.884889360784,0.21943019454563556,0.04288021097486221,3.1503664659537582,0.11343631341005264,451.4617855816677,,902.9235711631458,106.78954339135284,22.639744080208676,0.21726421891361636,108.6262360440782,1.836973150071636,0.09047229031224724,0.004466803317367708,0.016399065897037317,0.00026892936229537236,4.323923377101994,0.06912960823999992,0.0034548368469183915,0.01500433231580763,0.00022512998824318915,3.6551999479547845,0.032069882662824956,0.0017132333153873317,0.01673757285765373,0.0002801463451652668,1.6248912534538749,0.07483421033596338,0.003738193541219262,0.016099735117480852,0.0002592014708530462,3.685898080897353,0.057355970161434344,0.0028995027174027496,0.01499860457031854,0.00022495813905678018,3.0688307353632456,0.5191364080665916,0.5424500984894193,0.5230006758213885,0.9456455515811405,0.3094195730509873,0.03452530005304513,0.05433583767145082,1.4383920302322308,0.07086618265166789,0.10166289168994981,1.9355275908885456,0.10567727575825445,0.13678981564986312,2.2815871133530483,0.08794336480925384,0.0954616573296547,2.3252859751595274,0.09396014575932725,0.15584282441832753,1.8586220114489893,Calm Bull
2008-12-08,362,2.499999999999999,219.1480037835098,2.499999999999999,False,,invalid_only,0.5000000113985258,2.279705157981482e-08,0.6500000212772479,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.039292550244099334,0.40713107631064777,0.02135915723564441,0.5000000113985258,0.5000000125051045,0.49999998860147415,0.49999998749489555,0.09519788406439131,512.766592339755,,1025.5331846795007,122.13735560141726,36.13633301038281,0.32501431476129194,148.01671883661194,2.069420952749313e-06,0.165326791356674,474.3941167007468,,948.788233401285,113.22248367080806,22.69989535672808,0.32889917178973405,124.56523973181466,1.557059647768981e-05,0.2144752414173684,1844339.9512355735,,3688679.9025415154,82.03814793713545,30.436677100789403,0.23804414037585106,39.202997300374506,3.4782606495161303,0.2593620021864881,3553168.237058852,,7106336.47410756,67.95476109620155,34.17361847367987,0.23896032170581302,0.07304161850187979,4.075030252669123,0.136956523092401,449.08317925441816,,898.1663585080512,107.00904485906436,22.498644542838193,0.23805410556843049,109.52551985514906,2.458058575077954,0.02696079006688845,0.001417658314065783,0.013544056350205242,0.00018344146241753496,1.6615870072398482,0.0049954014755591025,0.0003232654910648192,0.012488191582929084,0.0001559549290119408,0.41092263410212315,-0.02663712862176648,-0.0012445833524856505,0.014801169788482163,0.00021907462710747712,-1.3348369419725215,0.0025487797829879533,0.00020055309666569088,0.012392578582915157,0.00015357600393372744,0.25690228140091237,-0.0018845301428962458,-8.972479940670859e-06,0.01339170014474154,0.00017933763276667058,-0.010635968685759205,0.2978581545284157,0.42843356001205757,0.5621452245670836,0.8209031041289059,0.29459511633655977,0.034406987895515544,0.05390047605930236,1.435257472802723,0.07058798542371238,0.10065489090579498,1.8888711633238056,0.10472500770889703,0.1336770062445328,2.302053999139213,0.0880916521610085,0.09618367492659247,2.2130811834520907,0.09464469135768487,0.15700010492506547,1.8381472252358138,Calm Bull
2008-12-15,367,2.5000000000000004,230.27119000034057,2.5000000000000004,False,,invalid_only,0.5000000042233168,8.446633614767052e-09,0.6500000078835246,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.038958732874179475,0.44721318725506704,-0.031208016639399982,0.4999999957766833,0.49999999608166923,0.5000000042233168,0.5000000039183308,0.08332802200615227,510.8034145688523,,1021.6068291369579,121.69279714023106,39.99588470815692,0.41909184236615404,146.93333195609588,1.706072987333145e-06,0.13153999425930088,472.3718920206376,,944.7437840400614,112.79849885695121,23.973823522300126,0.42282093484967925,123.60127023975396,1.3098888911976782e-05,0.19045130530934792,1734482.2297320117,,3468964.45951543,81.79018903716366,26.875793075505786,0.2679089388169975,38.99585976027077,2.9900459556627887,0.20565034305605814,3391794.8789976235,,6783589.757951517,67.96988346402765,27.98860247388942,0.31979237289101387,0.07025222795679226,3.17397592086894,0.11856354703506546,446.71481414283335,,893.4296282854892,106.64952766816548,21.657162192546146,0.26790492903428237,108.9026906761254,2.113042108191654,0.016852291655023777,0.0009305653280821627,0.014157480276146574,0.00020043424776947926,1.0434248419666619,0.0260941863700328,0.0013572900233747203,0.012039595642993242,0.00014495186324678185,1.789620830312615,0.0072335347877587886,0.0004430426233304089,0.013202317837723113,0.00017430119628826187,0.5327158227152459,0.03324608013705288,0.0017251682524409573,0.013693102689817726,0.00018750106127389345,1.9999993874712245,0.022915447049580928,0.0011952310785800903,0.011417443507537928,0.00013035801624781997,1.661817301297093,0.416714478184407,0.47274819807185875,0.45035867762893306,1.1542801653365684,0.200080169026552,0.030311478357858208,0.04462111475812915,1.4216462230273232,0.06250732103126777,0.09437779189470759,1.8173818168899902,0.10690947748951915,0.13679106069007796,2.3284348790276495,0.0688443144432704,0.0755877911741586,2.095471797544024,0.0959984160351006,0.15869289238716908,1.8516853144515524,High Stress
