method,logeig_mse_top,logeig_mse_mid,logeig_mse_bot,inv_frob_sq,cond_number_hat,leverage_l1
D0_pca8,35.8896525888312,,11.737969871933496,4135750973717609.5,9525.365548121188,3.510429707012771
ewma,0.3670942118770667,,0.4684064827371306,4697360748211.182,3668.452944639002,3.4165014972322325
ledoit_wolf,0.6065489077873774,,12.541522422090823,7401397834330.738,119.36581333598126,1.9191593953801205
oas,0.49701849086037186,,8.327309516776184,7238437372444.075,265.3361781191582,2.339493446199932
persistence,0.3597550783261568,,0.4884161144426293,4028644347493.4185,3888.8413531694687,2.006882627991443
rolling,0.4002492990287886,,0.4745404718512741,4813137494841.698,3587.447700708021,3.543994076369893
shrink,0.4605628637238321,,4.827798921594713,7072513342964.461,694.8531799541995,2.1217132269718415
