date,method,cond_number_hat,cond_number_real,min_eig_hat,min_eig_real,logeig_mse_top,logeig_mse_mid,logeig_mse_bot,inv_frob_sq,leverage_l1
2017-01-09,D0_pca8,9523.375905927414,2285.5209214407605,1.927125934835041e-07,3.0040753989331246e-06,32.07634725571555,,7.543373922117619,1871663338839362.2,3.1566739796153485
2017-01-09,rolling,1746.4572882113384,2285.5209214407605,4.561063108379206e-06,3.0040753989331246e-06,0.09660055950950949,,0.17437788985806146,4807508517790.059,3.4608577412688306
2017-01-09,ewma,2410.2007141951412,2285.5209214407605,3.332116426542113e-06,3.0040753989331246e-06,0.022346985158714795,,0.010740793539721974,4566855590015.398,3.578839029117718
2017-01-09,ledoit_wolf,16.470253697602146,2285.5209214407605,0.00023704888368589574,3.0040753989331246e-06,0.11222051891489741,,19.082011851537285,8790074408488.111,1.3733226439717747
2017-01-09,oas,39.90835203968888,2285.5209214407605,0.00013849671202457908,3.0040753989331246e-06,0.015594370827659663,,14.675614196577147,8687535326482.4,1.7651299110903018
2017-01-09,shrink,231.11182725344744,2285.5209214407605,2.6280595383569617e-05,3.0040753989331246e-06,0.03366767146044896,,6.476239970097042,8434537027544.767,1.960066374997136
2017-01-09,persistence,3165.1211889478614,2285.5209214407605,2.251574356074103e-06,3.0040753989331246e-06,0.13907048144515227,,0.0831399766514201,4785319253465.621,2.187540472178499
2017-01-17,D0_pca8,9608.299659304019,2315.4955169734017,1.5888003137296818e-07,2.9537409808745105e-06,32.93761649981487,,8.542014085167237,2720379607754508.5,3.4710029654993657
2017-01-17,rolling,1919.5526362014623,2315.4955169734017,4.153293469963914e-06,2.9537409808745105e-06,0.08117109882825317,,0.11616442965171295,4852256760234.03,3.477070666786312
2017-01-17,ewma,2075.6548224851513,2315.4955169734017,2.8780672667599843e-06,2.9537409808745105e-06,0.04320281628963517,,0.0006735844854585077,4835709920773.076,3.4830290234519836
2017-01-17,ledoit_wolf,20.354664616260177,2315.4955169734017,0.00020269739631623306,2.9537409808745105e-06,0.1171270461729242,,17.881407909472376,9064820987663.162,1.414782811520453
2017-01-17,oas,49.82273775589297,2315.4955169734017,0.0001148859968645209,2.9537409808745105e-06,0.02539449097410761,,13.401950699834495,8934126863511.246,1.8674470397779601
2017-01-17,shrink,232.0837717109358,2315.4955169734017,2.617953738356259e-05,2.9537409808745105e-06,0.034417065098556895,,5.985130553928632,8671323700118.616,2.018851158190579
2017-01-17,persistence,3056.8231927297056,2315.4955169734017,2.262816576754714e-06,2.9537409808745105e-06,0.10120599243688999,,0.07100204138926716,4787113312788.265,1.8443528238871472
2017-01-24,D0_pca8,9505.359130390114,2174.9572679614425,2.339507134241973e-07,3.0713027425090318e-06,29.900906480471747,,6.629299873795422,1261713023519624.0,3.498618727437173
2017-01-24,rolling,2028.8730757133492,2174.9572679614425,3.925064776543944e-06,3.0713027425090318e-06,0.04303178427997407,,0.06016275236551385,4395774399702.0303,2.9738505468569585
