,model,roll,pers,shrink
model,1.0,0.9795591235530378,0.6478401529564649,0.9874506235442159
roll,0.9795591235530378,1.0,0.7237562691374131,0.9883427892894626
pers,0.6478401529564649,0.7237562691374131,1.0,0.6783110602378299
shrink,0.9874506235442159,0.9883427892894626,0.6783110602378299,1.0
