date,method,gmvp_var,fro,stein,kl,logeuc
2008-10-10,lw,0.001257131145415726,0.22854705432875935,1053.9257084963674,526.9628542477111,99.79804095814306
2008-10-10,oas,0.00122908417010827,0.22592757249287065,1125.7693989504492,562.8846994720406,97.94063104922226
2008-10-10,ewma94,0.0011373640809816418,0.19002892435462582,6541678.713536346,3270839.356793454,75.89348725077548
2008-10-17,lw,0.0009405595654380375,0.14246347580035398,990.8282218416111,495.4141109209727,101.09009075199987
2008-10-17,oas,0.0009230755733448875,0.13902874749810176,1050.01808503166,525.0090425139957,98.83080116542986
2008-10-17,ewma94,0.0008674568549823349,0.11654172360686466,5686608.487508873,2843304.2437566356,76.62743633128652
2008-10-24,lw,0.0010512919206313222,0.17290061337925847,1000.5214366720918,500.2607183353209,101.52467015950944
2008-10-24,oas,0.0010415474559239833,0.16932690192891284,1047.1088782123545,523.5544391051181,99.74189358859597
2008-10-24,ewma94,0.000938805440834455,0.12744906693166988,5590967.410960742,2795483.7054469353,77.34175705187535
2008-10-31,lw,0.0006752313526259013,0.18376717982170174,1004.8769878507951,502.43849392628914,102.13494563997277
2008-10-31,oas,0.0006703800730501992,0.18111398264711367,1035.1209901357042,517.5604950684021,100.986357232242
2008-10-31,ewma94,0.0005915461919120301,0.1427439199820849,5962747.1875869585,2981373.593840602,78.92826932852331
2008-11-07,lw,0.00052302927284429,0.1871306382523586,1013.5774600636594,506.7887300311671,102.29756141024697
2008-11-07,oas,0.0005205933009248392,0.1857379819470022,1029.772806755445,514.8864033769129,101.6994435549618
2008-11-07,ewma94,0.00039860137448345927,0.15597397323889994,6338303.413146632,3169151.7064942555,79.62722040444505
2008-11-14,lw,0.0004219626648944138,0.14176278677633852,1017.1645648462895,508.582282424772,102.10137649004992
2008-11-14,oas,0.00042189974980067353,0.14170541462257258,1018.3710726252757,509.1855363129314,102.0569029811189
2008-11-14,ewma94,0.000401561858989135,0.13660069399828195,6238997.947319403,3119498.9736748864,79.9882415124263
2008-11-21,lw,0.00034626178497796956,0.11749953137770112,992.5018611659625,496.2509305823173,102.47928494789944
2008-11-21,oas,0.0003460965494799853,0.11722585070309965,987.1485691646549,493.57428458037145,102.72878661979055
2008-11-21,ewma94,0.00033631422406211445,0.1403457445298269,5480291.00257864,2740145.501367089,80.30835975064474
2008-12-01,lw,0.0002661184933456063,0.15962691554396496,961.1468655132121,480.5734327565272,102.03082742205729
2008-12-01,oas,0.00026512134351946255,0.1581389056157453,954.2572218312594,477.12861091614025,102.44478908101091
2008-12-01,ewma94,0.00030703998814098863,0.23778540769069512,4144590.2026339574,2072295.1012453807,80.29241913555269
2008-12-08,lw,0.0002114487280536237,0.19332058806588256,951.1552456386498,475.57762281933236,101.10449409795777
2008-12-08,oas,0.00021015611505603523,0.1898213367593082,935.853360773586,467.9266803889268,102.08616719743154
2008-12-08,ewma94,0.00017336377612982716,0.22930954765604594,3688706.6225977377,1844353.3112866087,80.07222646300859
2008-12-15,lw,0.00016508233811463762,0.1694285261578689,937.3749990398142,468.6874995204024,101.13657456988715
2008-12-15,oas,0.00016406776360767446,0.16713071131281237,928.3938509590098,464.19692547972323,101.79760678253962
2008-12-15,ewma94,0.00015742559147820717,0.15790302066477996,3468982.7029662547,1734491.3515137264,79.82785676926903
2008-12-22,lw,0.0001853822807930517,0.1454560655007137,966.3217228223339,483.16086141262394,100.87075062563426
2008-12-22,oas,0.00018464299929530622,0.14397405574719568,956.929151649887,478.4645758259219,101.35873233472456
2008-12-22,ewma94,0.00018210700006676532,0.1104068860299607,4131895.6237573037,2065947.8119069987,79.24015412890215
2008-12-30,lw,0.00025028130483553055,0.10564060797890615,1003.9062910406633,501.95314552051605,100.2761098488685
2008-12-30,oas,0.00024951948067192763,0.10514944175389847,996.0917999928956,498.045899992585,100.555661632235
2008-12-30,ewma94,0.00024406538657777965,0.08476663129159466,4851277.419424145,2425638.709700017,79.02097907706033
2009-01-07,lw,0.00033842027662903525,0.111810457563415,1063.8233956908737,531.911697843796,100.18800993961901
2009-01-07,oas,0.0003382539972245842,0.11173192327120264,1062.1583910921186,531.079195546607,100.22825655181003
2009-01-07,ewma94,0.00028672241533876376,0.08780093090707804,6133284.949828119,3066642.4748885683,79.91414906642326
2009-01-14,lw,0.0002094213774133358,0.1121033472319234,1112.5805710938862,556.2902855399649,99.27975782500212
2009-01-14,oas,0.00020934636666533333,0.1120317952506701,1109.1845574829645,554.59227873789,99.34390947982138
2009-01-14,ewma94,0.00015752418659677815,0.10324723213112,6516613.08255198,3258306.5411404013,79.6306584344848
2009-01-22,lw,0.0001163565500896001,0.10564225443547086,993.2099958986801,496.60499794817633,99.60250656029008
2009-01-22,oas,0.00011633824782258488,0.10573857110191781,994.4786121790721,497.23930608972967,99.55685892676097
2009-01-22,ewma94,0.00011398781289834482,0.08953951962367446,4388895.418126627,2194447.7090377333,77.89875264569305
2009-01-29,lw,0.0002445054101796437,0.10378637465378156,1001.5129792466591,500.7564896236335,99.81626101397133
2009-01-29,oas,0.00024431151743764144,0.10450036728261218,1013.2157375734364,506.60786878791254,99.42091277459724
2009-01-29,ewma94,0.00022009046993304483,0.0937888313691206,4801335.426480245,2400667.713275633,77.66119558822959
2009-02-05,lw,0.00018492850446311134,0.07268213239986279,948.8184054745652,474.4092027382336,99.76976080530723
2009-02-05,oas,0.00018309081617530593,0.07308431673362834,963.9199343154071,481.95996715969227,99.00228102198622
2009-02-05,ewma94,0.00020643284201935487,0.06746846076677931,3741235.67662209,1870617.8383084277,76.73860257376838
2009-02-12,lw,0.0002829915035318212,0.09958567135925585,999.1096604320066,499.5548302163925,98.29109942135912
2009-02-12,oas,0.0002831192514328311,0.09972025507167621,996.3442191894878,498.17210959359255,98.38523039281614
2009-02-12,ewma94,0.0002686373883082925,0.08820301753932368,4173749.9858322595,2086874.9929067309,76.56714632026521
2009-02-20,lw,0.00034235433406248835,0.1078348547338098,1010.4975323888111,505.24876619513117,98.28131025989944
2009-02-20,oas,0.0003421897299126176,0.10764480963252408,1014.3665406841797,507.18327034212473,98.1535409490207
2009-02-20,ewma94,0.00031481808693291027,0.09742990466007803,4346094.586247949,2173047.2931159404,75.8102291893297
2009-02-27,lw,0.000266538225357207,0.11079870423328456,975.1579056720857,487.57895283700475,98.41350343892896
2009-02-27,oas,0.0002665605623788073,0.1108110162371939,974.9701064913293,487.48505324710095,98.42148672063269
2009-02-27,ewma94,0.00029419371691939857,0.10662381716799892,3897549.1663417146,1948774.5831620537,75.71051278160941
2009-03-06,lw,0.00018537613209129207,0.08641119139730494,970.0164720814837,485.00823604038624,97.96340371215327
2009-03-06,oas,0.00018552749470133868,0.08658523543742055,966.8300484205856,483.4150242100272,98.1029274926073
2009-03-06,ewma94,0.00018342515489078198,0.08060563493504046,3684681.012819816,1842340.5063745317,74.94080640374366
2009-03-13,lw,0.00014039510769006894,0.07168271748662099,953.411934009589,476.70596700560714,98.20866803474703
2009-03-13,oas,0.00014049904052999864,0.07175036250434395,951.1572917967362,475.5786459006091,98.32275364278607
2009-03-13,ewma94,0.0001558475309424236,0.0751348208127807,3394692.8376234123,1697346.418801346,75.65788113930311
2009-03-20,lw,0.00011333459635691973,0.07342257549389644,919.4866541696164,459.7433270849792,98.73232950275019
2009-03-20,oas,0.00011353404692268452,0.07359830393854944,917.4313643669176,458.7156821840167,98.89285964991521
2009-03-20,ewma94,0.00011928569595507912,0.07004376200177315,2974522.348545234,1487261.1743164158,74.94446638208763
2009-03-27,lw,5.895192014654105e-05,0.06833708158190041,922.0293234739594,461.01466173448046,98.75646700676587
2009-03-27,oas,5.8939387017619943e-05,0.06818467146873065,918.8612886065329,459.430644302926,99.00004073869486
2009-03-27,ewma94,6.0954581103442505e-05,0.07853490772080937,2975720.8440410933,1487860.4220219718,74.93904380424988
2009-04-03,lw,5.133771971511825e-05,0.05611277602403043,930.1858623348799,465.09293116755094,98.20951335886646
2009-04-03,oas,5.1287258206251335e-05,0.055606805242186544,922.3858032399651,461.192901621005,98.71391475070727
2009-04-03,ewma94,5.286796165865688e-05,0.07064215669625935,3016428.82334638,1508214.4116307728,75.1454696007655
2009-04-13,lw,6.687241041794584e-05,0.07159988794289329,931.0316622199466,465.51583111110386,98.10796873331817
