tag,dim,train,query,cent
pca_svd_legacy_48,240,0.333333387392716,0.3333333920931898,1.782026269170446e-07
pca_only_48,48,0.3333333433426984,0.3333333442839182,3.300404220631198e-08
pca_svd_standardized_48,240,0.550283494798275,0.547739074915913,1.3047983361868112
pca_only_15,15,0.333333469209919,0.3333335043262286,5.454970551037881e-07
pca_only_10,10,0.3333336327317094,0.3333336601602722,1.061285476449804e-06
pca_only_5,5,0.3717792806267462,0.3802631009574342,0.1681110980749408
market_state_6,6,0.6394242684839059,0.596013268591632,1.755035503175657
