,model,roll,pers,shrink
model,1.0,0.9511946366050706,0.8757198048575405,0.9840029052698445
roll,0.9511946366050706,1.0,0.8920861179506083,0.9670300273229829
pers,0.8757198048575405,0.8920861179506083,1.0,0.866275766233139
shrink,0.9840029052698445,0.9670300273229829,0.866275766233139,1.0
