increment,delta_var_regret,ci_lo,ci_hi,p,supports_first_better,n
D5 − D0 (pca8 HMM),-2.357063958734335e-05,-4.735664078990177e-05,5.370723764425311e-06,0.3416,False,202
D2 − D0 (pca8 HMM),0.0012147066811762223,-3.397946972830228e-05,0.0035178222740790323,0.2628,False,202
D2 − D0 (market FCM),2.257051012050524e-05,-8.277332037579058e-05,8.249487451131484e-05,0.9228,False,202
D0_pca8 − LW,-0.00033920618886437313,-0.0017443488796210957,0.00032666374529557876,0.586,False,202
D5 − LW,-0.0003627768284517168,-0.0017581785471659076,0.0002966722464601583,0.5824,False,202
