date,raw_anchor,method,split,embedder,pca_k,k_neighbors,aggregation,eta,raw_frob,raw_logeuc,raw_corr_frob,cond_stein,cond_kl,nll,gmvp_var,var_regret,pred_var,leverage_l1,max_abs_w,hhi
2013-01-04,1390,similarity,select,hybrid,5,20,log_euclidean,0.01,0.00013184608669146916,2140.4174502506676,5570.203947054193,53422.54562081651,26711.272810408245,25922.703978347858,3.8238215712518115e-05,3.823578752765569e-05,2.8660415899761334e-08,2.320169401442375,0.08950511764519112,0.08376041213457433
2013-01-04,1390,rolling,select,hybrid,5,20,log_euclidean,0.01,157.60244604751983,5141.846753289603,1017.0580494276583,424.94969457723914,212.47484728862995,-223.65577949410832,3.093981002637384e-05,3.093738184151142e-05,5.463334462268999e-05,1.2580308614710567,0.04337219450684788,0.02373513798693967
2013-01-04,1390,ewma,select,hybrid,5,20,log_euclidean,0.01,757.5690541562236,4957.244616666765,1345.7847689625976,489.44308475024957,244.72154237512115,-191.31354721546745,2.9770519887625508e-05,2.9768091702763086e-05,8.164345449324419e-05,1.0493084151962866,0.0303357221497004,0.016037404603348956
2013-01-04,1390,ledoit_wolf,select,hybrid,5,20,log_euclidean,0.01,41.21827647607785,20228.095893001497,784.2306215019028,779.8513085165956,389.9256542582976,-46.08270867197727,2.680553932123459e-05,2.6803111136372167e-05,0.0006675368815607304,1.0005829277280731,0.011419811548814142,0.010423155178882901
2013-01-04,1390,oas,select,hybrid,5,20,log_euclidean,0.01,139.68615513740002,14331.018314550627,752.9745369224304,543.7015306947906,271.8507653473927,-164.18097289638916,2.684210646778842e-05,2.6839678282926e-05,0.0001186113487634697,1.0151115692932167,0.02417339574099262,0.012531879520258842
2013-01-04,1390,shrink,select,hybrid,5,20,log_euclidean,0.01,97.31574004861395,8489.410104263698,695.1232307638492,444.10296357600623,222.05148178800292,-214.08043963788958,2.8472714628221285e-05,2.8470286443358863e-05,4.525797090186565e-05,1.1304163836699705,0.03592928617497886,0.01863998345575501
2013-01-04,1390,persistence,select,hybrid,5,20,log_euclidean,0.01,1048.185659849201,3866.664012765962,1499.1978287147608,503.6512443356801,251.8256221678493,-184.20554311627532,2.7722124097121966e-05,2.7719695912259544e-05,7.461318299805089e-05,1.0243382934924339,0.024342740715824377,0.013311026691960676
2013-01-11,1395,similarity,select,hybrid,5,20,log_euclidean,0.01,0.00014337505649781608,1994.2530696058427,6204.507016023561,66873.4728274964,33436.736413748215,32576.57771941782,2.7287021180218222e-05,2.7284717869103847e-05,2.5144628025146534e-08,2.368574092803559,0.09759275417634285,0.08908982071636327
2013-01-11,1395,rolling,select,hybrid,5,20,log_euclidean,0.01,157.60231720932418,5102.6128638146065,961.9062294295677,420.8023367399926,210.4011683700062,-223.03731983223943,3.194281749105047e-05,3.19405141799361e-05,5.127742966219435e-05,1.1978997276422187,0.040718287806856976,0.021807412866107913
2013-01-11,1395,ewma,select,hybrid,5,20,log_euclidean,0.01,408.03826138970095,4900.6917994458345,1119.2875593177475,458.0407254821655,229.02036274107547,-204.34003807282915,2.738497336316912e-05,2.7382670052054744e-05,6.314139412704529e-05,1.0763112163390116,0.031203000497235497,0.01676931291857105
2013-01-11,1395,ledoit_wolf,select,hybrid,5,20,log_euclidean,0.01,41.21677724370422,20218.648835403492,787.3241344300695,774.5103491408723,387.2551745704361,-46.09071676632353,3.0210895603658903e-05,3.0208592292544528e-05,0.0006630443560621216,1.0005906033554604,0.011463977852844823,0.010422049549035955
