filter,n,sim_med,best_med,best_med_lab,sim_mean,max_mean,max_mean_lab,stein_rank,r_rank,n_methods
Full panel,247,0.0172740118391216,0.0242317575748133,Pers.,10.325620241417468,18.281037827419226,Pers.,7,7,7
Future $|r|\le 0.5$,194,0.01354521275755825,0.0156184888388698,Pers.,0.02424075513885622,8.545496087223555,Roll.,7,7,7
Lookback+future $|r|\le 0.5$,95,0.0127343037744362,0.0103842348345741,Shrink,0.016431154315927475,0.017514046238089043,Pers.,7,7,7
