tag,method,var_regret,gmvp_var,cond_stein,n
stage_d_D0_pca8,D0_pca8,9.50307882668667e-05,9.504587367008266e-05,129172.96591291949,202
stage_d_D5_pca8_hmm3,D5_pca8_hmm3,9.551508654827625e-05,9.553017195149219e-05,128380.63392392774,202
stage_d_D2_pca8_hmm3,D2_pca8_hmm3,9.622935141641642e-05,9.624443681963238e-05,70092.96771950362,202
stage_d_D0_market,D0_market,9.643172354806506e-05,9.644680895128103e-05,105891.56325137697,202
stage_d_D2_market_fcm3,D2_market_fcm3,9.685998260156434e-05,9.687506800478028e-05,105768.04930176074,202
