increment,delta_var_regret,ci_lo,ci_hi,p,supports_first_better,n
D5 − D0 (pca8 HMM),4.842982814074842e-07,-5.976383478646223e-08,1.5855654964671898e-06,0.3876,False,202
D2 − D0 (pca8 HMM),1.1985631495474148e-06,-7.010584078913848e-06,1.2362481163335215e-05,0.6188,False,202
D2 − D0 (market FCM),4.282590534993726e-07,-3.522423003792185e-07,1.3083288936220912e-06,0.2528,False,202
D0_pca8 − LW,2.4476816289920495e-05,6.4730367327132055e-06,3.954595711534454e-05,0.0044,False,202
D5 − LW,2.4961114571327984e-05,7.444799176227288e-06,4.0031926128292284e-05,0.0008,False,202
