date,raw_anchor,method,split,embedder,pca_k,k_neighbors,aggregation,eta,raw_frob,raw_logeuc,raw_corr_frob,cond_stein,cond_kl,nll,gmvp_var,var_regret,pred_var,leverage_l1,max_abs_w,hhi
2017-01-09,2400,D0_pca8,test,pca_only,8,20,log_euclidean,0.01,9.739393276408024e-05,1886.8673024736881,7670.649870274034,79606.13319192211,39803.066595961056,38478.94991411797,3.922621067885202e-05,3.9225501932286646e-05,3.8976436198389004e-08,3.1566739796153485,0.12082103484669875,0.16633378595069825
2017-01-09,2400,rolling,test,pca_only,8,20,log_euclidean,0.01,0.0001986639966834222,4929.440912392723,958.4888824919816,2324.2591657758558,1162.1295828879213,687.2058112785504,8.382492883443496e-05,8.382422008786959e-05,9.255585567317757e-07,3.4608577412688306,0.10772826128431658,0.18787172264023835
2017-01-09,2400,ewma,test,pca_only,8,20,log_euclidean,0.01,0.00015278981815548744,4654.516742348242,879.3678783364187,3040.0147474577043,1520.0073737288392,1034.4170131554515,8.402302584140973e-05,8.402231709484436e-05,7.214980570690878e-07,3.578839029117718,0.11674663663192877,0.20215659183948595
2017-01-09,2400,ledoit_wolf,test,pca_only,8,20,log_euclidean,0.01,0.00010858298083269538,8777.441952297799,727.8213935779477,342.91023826292854,171.45511913146396,-268.5380600685114,2.4370540178006392e-05,2.436983143144102e-05,1.217824977360783e-05,1.3733226439717747,0.038088244161119444,0.02629712939912325
2017-01-09,2400,oas,test,pca_only,8,20,log_euclidean,0.01,0.00013461761536806736,8261.85020072844,749.2421556616857,347.88663124582587,173.94331562291308,-266.60483369186494,3.053794536711742e-05,3.0537236620552046e-05,1.0942591303674213e-05,1.7651299110903018,0.05237425189354116,0.04426328026732293
2017-01-09,2400,shrink,test,pca_only,8,20,log_euclidean,0.01,0.00014975633541460204,7738.478654173818,780.721993878759,375.50768027870447,187.75384013935246,-253.87701696278722,1.7669991357923595e-05,1.766928261135822e-05,7.603223527789425e-06,1.960066374997136,0.12821787374925403,0.08165879676308978
2017-01-09,2400,persistence,test,pca_only,8,20,log_euclidean,0.01,0.00013287861105296272,3252.001369227424,1133.000517144281,8219.711229002807,4109.85561450139,3613.896840661532,3.7724691268392144e-05,3.772398252182677e-05,1.6002394582111865e-07,2.187540472178499,0.06668228789215147,0.07071883087663638
2017-01-17,2405,D0_pca8,test,pca_only,8,20,log_euclidean,0.01,9.801975013166751e-05,1972.2739657549616,7493.162519213428,95684.94064758101,47842.47032379051,46113.430760989046,3.2092989725280874e-05,3.2092349713286965e-05,4.02935451258349e-08,3.4710029654993657,0.1811114045690935,0.21088524580619628
2017-01-17,2405,rolling,test,pca_only,8,20,log_euclidean,0.01,0.00018244176295417508,4820.864949986007,944.308487163955,2408.990102319018,1204.4950511595164,730.5704585397918,7.537809107468936e-05,7.537745106269545e-05,8.748001894369735e-07,3.477070666786312,0.1246120654875197,0.19582247709700518
2017-01-17,2405,ewma,test,pca_only,8,20,log_euclidean,0.01,0.00012116594237838096,4576.359849637878,800.9774328401759,3363.975704057772,1681.9878520288937,1193.2923530929402,7.601112003161242e-05,7.601048001961851e-05,6.190005116133932e-07,3.4830290234519836,0.12844100527160526,0.19851844872955532
