method,gmvp_var,var_regret,cond_stein,cond_kl,raw_frob,nll,leverage_l1
shrink,9.25610401749536e-05,9.254197626317723e-05,475.5008343092269,237.75041715461342,0.005147597521019221,-187.80351843591149,2.1217132269718415
persistence,9.734195631554585e-05,9.73228924037695e-05,7195.373123678941,3597.6865618394695,0.006744357241106279,3111.6619782323614,2.006882627991443
ledoit_wolf,9.735629851677587e-05,9.733723460499951e-05,384.3556331590668,192.1778165795334,0.005398579102989486,-231.30452803717148,1.9191593953801205
oas,9.915729128564017e-05,9.91382273738638e-05,455.9098723899124,227.95493619495622,0.0055769461930515124,-196.40999778105916,2.339493446199932
ewma,0.00012907361746804176,0.0001290545535562654,4000.965098875679,2000.48254943784,0.0059268847560490015,1531.7575799074475,3.4165014972322325
rolling,0.0001394065424679407,0.00013938747855616433,3749.81394689682,1874.90697344841,0.00592106733096415,1406.9890916556774,3.543994076369893
D0_pca8,0.00015764530958814336,0.00015762624567636698,190198.94336195718,95099.47168097859,0.005214547326069462,92708.50504083409,3.510429707012771
