anchor_date,anchor_raw,neighbor_idx,neighbor_raw_anchor,neighbor_date,lag_days,dist_embedding,kappa,total_weight,pi_neighbor_regime_0,W_regime_0,pi_neighbor_regime_1,W_regime_1,pi_neighbor_regime_2,W_regime_2,pi_neighbor_regime_3,W_regime_3
2014-08-14,1795,0,1573,2013-09-26,322,12.663123129877592,0.12700057365062817,0.1430292426401275,9.999999999969998e-13,1.13326913643518e-12,9.999999999969998e-13,0.12700057365024714,0.999999999997,0.14302924264014116,9.999999999969998e-13,0.12700057365024714
2014-08-14,1795,1,1639,2013-12-31,226,12.895509302705362,0.11306902997905414,0.1273394068947026,9.999999999969998e-13,1.0089532533484929e-12,9.999999999969998e-13,0.11306902997871492,0.999999999997,0.12733940689471476,9.999999999969998e-13,0.11306902997871492
2014-08-14,1795,2,985,2011-05-25,1177,12.913121895117248,0.1120776820676634,1.3519572787999416e-05,0.9998928913176934,0.9999999999920768,9.999999999980122e-13,0.11207768206744062,0.00010710868030643787,1.3519572692407708e-05,9.999999999980122e-13,0.11207768206744062
2014-08-14,1795,3,1657,2014-01-28,198,13.033646041508513,0.10552312757029596,0.11884114050474083,9.999999999969998e-13,9.416186102001685e-13,9.999999999969998e-13,0.10552312756997936,0.999999999997,0.11884114050475218,9.999999999969998e-13,0.10552312756997936
2014-08-14,1795,4,904,2011-01-28,1294,13.049107344080731,0.10471051014642868,0.11792596310552968,9.999999999970283e-13,9.343673496765092e-13,9.999999999970283e-13,0.10471051014611751,0.999999999997,0.11792596310554093,9.999999999970283e-13,0.10471051014611751
2014-08-14,1795,5,1444,2013-03-25,507,13.14966878208772,0.09957576157339305,0.11214316088316247,9.999999999969998e-13,8.885482489125463e-13,9.999999999969998e-13,0.0995757615730943,0.999999999997,0.11214316088317318,9.999999999969998e-13,0.0995757615730943
2014-08-14,1795,6,889,2011-01-06,1316,13.238593268121747,0.09524538241608427,0.10726624707552625,9.999999999969998e-13,8.499068089018857e-13,9.999999999969998e-13,0.09524538241579852,0.999999999997,0.10726624707553649,9.999999999969998e-13,0.09524538241579852
2014-08-14,1795,7,1654,2014-01-23,203,13.255640856809778,0.09443698058416876,0.10635581731569033,9.999999999969998e-13,8.426931655330947e-13,9.999999999969998e-13,0.09443698058388543,0.999999999997,0.10635581731570048,9.999999999969998e-13,0.09443698058388543
2014-08-14,1795,8,1660,2014-01-31,195,13.477890580567436,0.08450476117461823,0.09517005823564416,9.999999999969998e-13,7.540646074912202e-13,9.999999999969998e-13,0.0845047611743647,0.999999999997,0.09517005823565325,9.999999999969998e-13,0.0845047611743647
2014-08-14,1795,9,1762,2014-06-27,48,14.038239262913134,0.06385619083766532,0.07191544377208839,9.999999999969998e-13,5.698104202719331e-13,9.999999999969998e-13,0.06385619083747375,0.999999999997,0.07191544377209526,9.999999999969998e-13,0.06385619083747375
