method,frob_median,frob_mean,stein,nll,R_raw,R_cond,lev
shrink,0.035861222891789,6.424526014266699,393.8311559104988,-233.28739055335473,7.722346176751634e-05,7.711137331403431e-05,1.7493686592248898
persistence,0.0156184888388698,7.430339286584622,4487.251818813822,1780.9702102502633,7.938881579306832e-05,7.932500542115416e-05,1.8685916340909567
oas,0.03680321187107645,7.989158154285453,437.8367140682328,-210.57641761862686,9.012734839373785e-05,9.004673937193054e-05,1.8971854838110371
ewma,0.0356617738714258,7.653968052634091,1677.5211477432674,394.51469359681863,9.040598724428029e-05,9.074658379376957e-05,2.6777610502666325
ledoit_wolf,0.0283515302038002,4.483278480079925,512.6923383540227,-172.7246814639693,9.581641540111455e-05,9.559438210393602e-05,1.672931710234351
rolling,0.04117548805545515,8.545496087223555,1597.4037756395464,355.57582070841164,9.866931967211444e-05,9.906252591555193e-05,2.6922749306921294
D0_pca8,0.01354521275755825,0.02424075513885622,86709.96078714805,42107.22924372068,0.00010951653663873818,0.00010972085535458538,3.3587796209403726
