method,frob_median,frob_mean,R_raw,R_cond,stein,kl,nll,gmvp_var,lev,R_cond_Lmax,logeig_mse_top,logeig_mse_mid,logeig_mse_bot,inv_frob_sq,cond_number_hat,leverage_l1,max_abs_w
D0_pca8,0.0172740118391216,10.325620241417468,0.06008624704711691,0.060269857101616815,35571965.51630401,17785982.758152004,16791282.757262956,0.06009481145965478,3.3371593303269877,0.030159442705648784,38.48254975980894,,23.145488747455232,2247595274490482.5,9693.435777180755,3.3371593303269877,0.144033420299375
ewma,0.1153077867430272,17.98088323532047,0.023010367615502243,0.023131436793726277,1083304.288612326,541652.144306163,509975.81500179105,0.0230189320280401,2.7082181882204117,0.015822961604065256,3.3498124602911643,,16.888045362341913,5858381689824.343,5652.959754156245,2.7082181882204117,0.0893470759604071
ledoit_wolf,0.1309895777599378,14.305056846614761,0.02484590124084804,0.024881572124064808,50611.86985213669,25305.934926068345,23454.807340698033,0.024854465653385897,1.685146783897065,0.022708959920506738,8.293108839906607,,40.29745300909152,6902459794520.99,126.8915319812494,1.685146783897065,0.0482603335572247
oas,0.1374589249945218,17.622516869778885,0.025123420353149697,0.02517375823244842,65726.94837026077,32863.474185130384,30563.32417967995,0.02513198476568756,1.9129391715589532,0.0215526194554139,4.69828365708974,,25.387020234461662,6848045739156.854,912.8854773514832,1.9129391715589532,0.0584221913947145
persistence,0.0242317575748133,18.281037827419226,0.024621824371740247,0.02466136366151712,1527856.1054936638,763928.0527468319,719492.7522711573,0.024630388784278107,1.8721063507222653,0.02237858584093289,2.2485686127873143,,12.136041676314017,4835879193597.371,4638.235207654769,1.8721063507222653,0.0609883860902608
rolling,0.1579912132121805,18.157646600828976,0.025973405394490924,0.026112270375451805,1131281.16513374,565640.58256687,532418.5374373157,0.025981969807028785,2.7411504972634915,0.017184578597497183,3.6885922437030465,,18.69760279321583,5961470830817.441,5502.752861034427,2.7411504972634915,0.0887003412520157
shrink,0.119666431315804,16.088293320743375,0.03638388123466137,0.03644253331427014,99281.45637227297,49640.72818613648,46485.67665743892,0.036392445647199234,1.7720584225908484,0.03315227928560863,10.677513870548836,,18.132188829673773,6716082877406.001,2887.179067428443,1.7720584225908484,0.0935989986116537
