,frob_median,frob_mean,stein,kl,nll,gmvp_var,R_cond
frob_median,1.0,0.21428571428571433,-0.6071428571428572,-0.6071428571428572,-0.6071428571428572,0.0,0.0
frob_mean,0.21428571428571433,1.0,0.21428571428571433,0.21428571428571433,0.21428571428571433,-0.5714285714285715,-0.5714285714285715
stein,-0.6071428571428572,0.21428571428571433,1.0,1.0,1.0,0.25,0.25
kl,-0.6071428571428572,0.21428571428571433,1.0,1.0,1.0,0.25,0.25
nll,-0.6071428571428572,0.21428571428571433,1.0,1.0,1.0,0.25,0.25
gmvp_var,0.0,-0.5714285714285715,0.25,0.25,0.25,1.0,1.0
R_cond,0.0,-0.5714285714285715,0.25,0.25,0.25,1.0,1.0
