filter,contrast,est,lo,hi,covers0,n
full,SIM−EWMA Rcond,0.03713842030789053,-0.009584721574766409,0.10180762355958804,True,247
full,SIM−Pers Rcond,0.03560849344009969,-0.0031220976574731795,0.08796793907106247,True,247
full,SIM−LW Stein,35521353.646451876,15555024.158875978,58383255.09729458,False,247
fut_clean,SIM−EWMA Rcond,1.8974271560815815e-05,5.141274151923007e-06,3.038910901058821e-05,False,194
fut_clean,SIM−Pers Rcond,3.0395849933431235e-05,2.2140139237727032e-05,3.839804369094608e-05,False,194
fut_clean,SIM−LW Stein,86197.26844879403,74478.21019253084,97975.93609673793,False,194
either_clean,SIM−EWMA Rcond,2.118735686521661e-05,5.655561123782467e-06,3.54622713097629e-05,False,95
either_clean,SIM−Pers Rcond,3.7670370409347824e-05,3.0002714648197277e-05,4.722715049094946e-05,False,95
either_clean,SIM−LW Stein,100617.41138680691,86827.82491283077,111880.52116182308,False,95
