method,frob_mean,frob_median,frob_p90,frac_gt1,R_raw_mean,R_raw_median,stein_mean,stein_median,nll_mean,nll_median,lev_mean
D0_pca8,0.028127413450591505,0.0136870639857203,0.080024942453773,0.0,0.00012453350415911178,9.001125969386175e-05,114399.91569130948,88642.85761845621,55760.74158099442,43488.837246897376,3.53624571219062
ewma,0.0340250392535123,0.0134801954544668,0.0804471804264851,0.0,0.00010150991793063666,5.69343527102503e-05,2643.2241924632117,2182.206298323337,871.8771577801465,613.2337006050113,3.5530665637972807
ledoit_wolf,0.030593387268471616,0.0116723523479639,0.0960151350344455,0.0,7.281929517316733e-05,4.049857097776576e-05,348.5711012080529,328.8070836072271,-250.1834853688667,-266.9736330656522,2.104075203118387
oas,0.0322642243721162,0.0121826542097945,0.0971346252043699,0.0,7.726756962458298e-05,4.138044489135831e-05,373.32180149709353,339.57767522133554,-238.5163725766728,-260.87335600204324,2.4505186685585927
persistence,0.036778218142462946,0.0145576499147723,0.0957649256175029,0.0,7.813527550948272e-05,3.8336141111784184e-05,5440.313370227839,4288.983768493557,2256.7047970895346,1677.9519401841706,2.051557319518859
rolling,0.03492564753600464,0.0132130850966311,0.0980960445285131,0.0,0.00010793767199781223,6.149803925537575e-05,2479.305624633558,2008.7478449847772,791.38460979943,565.4024425275265,3.6619524026684602
shrink,0.028911414659435152,0.0120297610934924,0.0937268448049348,0.0,6.326065779956517e-05,3.468211382497004e-05,344.0994831600323,326.13135501431816,-254.039682921305,-268.8164124839628,2.178185545451648
