method,frob_median,frob_mean,stein,R_cond
shrink,0.0103842348345741,0.014506035700517029,336.11637869205236,3.63931892434628e-05
ledoit_wolf,0.0103987517291664,0.015913274999969685,338.8431635618057,4.1505452285681173e-05
oas,0.0105697756567978,0.0161007599919649,350.4631575543516,4.2613993258143485e-05
persistence,0.0124731281629245,0.017514046238089043,5578.694580438634,4.309121802885874e-05
ewma,0.0113883893766712,0.01618462104126792,2658.883753574217,5.957423157298995e-05
rolling,0.0108563154326818,0.017356157757197833,2496.302843735685,6.050935865003596e-05
D0_pca8,0.0127343037744362,0.016431154315927475,100956.25455036869,8.076158843820656e-05
