method,frob_median,frob_mean,stein,R_cond
shrink,0.011198259081318551,0.016122079207160626,338.3410901349534,4.05334090272178e-05
ledoit_wolf,0.0109439103621693,0.017469490977444414,340.84884746435426,4.581219506743245e-05
oas,0.01130119567164765,0.017978331719665338,356.89961392026623,4.78627646362183e-05
persistence,0.01341218750453245,0.01870973958652509,5463.4340683873315,5.011191953883329e-05
ewma,0.01183848911666125,0.017378716250335116,2626.6540440807353,6.633757763779456e-05
rolling,0.0117456958100795,0.01946316905397658,2483.478084217895,6.745333792820199e-05
D0_pca8,0.0127902249710452,0.017357737829789933,101762.00145411542,8.577231863498692e-05
