contrast,estimate,ci_lo,ci_hi,block_anchors
"D0 − EWMA, R_cond",0.03713842030789053,-0.009584721574766409,0.10180762355958804,20
"D0 − Persistence, R_cond",0.03560849344009969,-0.0031220976574731795,0.08796793907106247,20
"D0 − Ledoit–Wolf, Stein",35521353.646451876,15555024.158875978,58383255.09729458,20
