filter,n_anchors,D0_frob_med,best_base_frob_med,best_base_frob_method,D0_stein_rank,D0_R_rank,n_methods,D0_R_cond,D0_stein
Full panel,247,0.0172740118391216,0.0242317575748133,persistence,7,7,7,0.060269857101616815,35571965.51630401
Future |r|≤0.5,194,0.01354521275755825,0.0156184888388698,persistence,7,7,7,0.00010972085535458538,86709.96078714805
Lookback+future |r|≤0.5,95,0.0127343037744362,0.0103842348345741,shrink,7,7,7,8.076158843820656e-05,100956.25455036869
