method,frob_med,frob_mean,stein,R_cond,n,stein_rank,R_rank,frob_med_rank
D0_pca8,0.01354521275755825,0.02424075513885622,86709.96078714805,0.00010972085535458538,194,7,7,1
ewma,0.0356617738714258,7.653968052634091,1677.5211477432674,9.074658379376957e-05,194,5,4,4
ledoit_wolf,0.0283515302038002,4.483278480079925,512.6923383540227,9.559438210393602e-05,194,3,5,3
oas,0.03680321187107645,7.989158154285453,437.8367140682328,9.004673937193054e-05,194,2,3,6
persistence,0.0156184888388698,7.430339286584622,4487.251818813822,7.932500542115416e-05,194,6,2,2
rolling,0.04117548805545515,8.545496087223555,1597.4037756395464,9.906252591555193e-05,194,4,6,7
shrink,0.035861222891789,6.424526014266699,393.8311559104988,7.711137331403431e-05,194,1,1,5
