method,frob_med,frob_mean,stein,R_cond,n,stein_rank,R_rank,frob_med_rank
D0_pca8,0.0172740118391216,10.325620241417468,35571965.51630401,0.060269857101616815,247,7,7,1
ewma,0.1153077867430272,17.98088323532047,1083304.288612326,0.023131436793726277,247,4,1,3
ledoit_wolf,0.1309895777599378,14.305056846614761,50611.86985213669,0.024881572124064808,247,1,3,5
oas,0.1374589249945218,17.622516869778885,65726.94837026077,0.02517375823244842,247,2,4,6
persistence,0.0242317575748133,18.281037827419226,1527856.1054936638,0.02466136366151712,247,6,2,2
rolling,0.1579912132121805,18.157646600828976,1131281.16513374,0.026112270375451805,247,5,5,7
shrink,0.119666431315804,16.088293320743375,99281.45637227297,0.03644253331427014,247,3,6,4
