date,raw_anchor,guardrail_trace_ratio,guardrail_trace_ratio_pre,guardrail_trace_ratio_post,guardrail_triggered,guardrail_trigger_reason,guardrail_mode,model_regime_conf_raw,model_regime_conf_adj,model_pers_blend_lambda,model_blend_to_pers_strength,model_blend_to_pers_conf_threshold,model_blend_to_pers_power,mix_lambda,shrink_gamma,floor_eps,apply_floor_to,regime_assigned,dominant_regime,realized_vol,avg_corr,market_ret,regime_prob_0,regime_raw_0,model_fro,model_kl,model_nll,model_stein,model_logeuc,model_corr_offdiag_fro,model_corr_spearman,model_eig_log_mse,model_cond_ratio,mix_fro,mix_kl,mix_nll,mix_stein,mix_logeuc,mix_corr_offdiag_fro,mix_corr_spearman,mix_eig_log_mse,mix_cond_ratio,roll_fro,roll_kl,roll_nll,roll_stein,roll_logeuc,roll_corr_offdiag_fro,roll_corr_spearman,roll_eig_log_mse,roll_cond_ratio,pers_fro,pers_kl,pers_nll,pers_stein,pers_logeuc,pers_corr_offdiag_fro,pers_corr_spearman,pers_eig_log_mse,pers_cond_ratio,shrink_fro,shrink_kl,shrink_nll,shrink_stein,shrink_logeuc,shrink_corr_offdiag_fro,shrink_corr_spearman,shrink_eig_log_mse,shrink_cond_ratio,model_gmvp_cumret,model_gmvp_mean,model_gmvp_vol,model_gmvp_var,model_gmvp_sharpe,mix_gmvp_cumret,mix_gmvp_mean,mix_gmvp_vol,mix_gmvp_var,mix_gmvp_sharpe,roll_gmvp_cumret,roll_gmvp_mean,roll_gmvp_vol,roll_gmvp_var,roll_gmvp_sharpe,pers_gmvp_cumret,pers_gmvp_mean,pers_gmvp_vol,pers_gmvp_var,pers_gmvp_sharpe,shrink_gmvp_cumret,shrink_gmvp_mean,shrink_gmvp_vol,shrink_gmvp_var,shrink_gmvp_sharpe,model_turnover_l1,mix_turnover_l1,roll_turnover_l1,pers_turnover_l1,shrink_turnover_l1,model_w_hhi,model_w_max_abs,model_w_l1,mix_w_hhi,mix_w_max_abs,mix_w_l1,roll_w_hhi,roll_w_max_abs,roll_w_l1,pers_w_hhi,pers_w_max_abs,pers_w_l1,shrink_w_hhi,shrink_w_max_abs,shrink_w_l1
2008-10-10,322,2.500000000000001,433.6609328156194,2.500000000000001,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.06586176384892559,0.6254220820011941,-0.027869941210507565,1.0,1.0,0.2889332413264899,523.1260735184851,,1046.2521470378715,119.40558616384557,63.11497625679487,-0.032816411736516164,142.5769400687421,3.515556405735909e-08,0.2215618566102935,479.7201678117643,,959.4403356245614,110.03765312950644,45.213354781610875,0.14529760319425772,116.88361075185419,2.6139966302800013e-06,0.21868319189791424,3270670.1391844926,,6541340.278349441,77.47616458673136,27.567475479529534,0.2591388414559822,32.823682956584776,0.3625019166948307,0.20026334556148204,6857059.41768272,,13714118.835784325,68.49287845247339,27.535900907246955,0.255732788081837,0.0131144469490467,0.6878626736425335,0.23802638049181662,493.8287347813578,,987.6574695629788,99.03107172907531,35.23935491065865,0.2591398378664077,91.86417953903006,0.26739800961540644,-0.027869941210507565,-0.00014701128035189397,0.051687649362017044,0.0026716130965708206,-0.04515066471689174,-0.030729506405346885,-0.000911703843370637,0.037104455598297066,0.0013767406252459984,-0.39005692442168916,-0.03254849969875262,-0.0011088721889328335,0.03402798865560043,0.0011579040119456716,-0.5173035780537741,-0.03907772866573611,-0.0014260592358566527,0.03466117728457617,0.001201397210752819,-0.6531223210055699,-0.026806440916340657,-0.0007736293982128012,0.03524355388024489,0.0012421080901097244,-0.34846048752572567,,,,,,0.009999999999999997,0.010000000000000111,1.0,0.038850586630847644,0.0559468758534121,1.5822547146942272,0.05536961959655556,0.0786577108290163,1.8117406748376248,0.05364992609387298,0.06077325632637193,1.902626912107859,0.04683158533690019,0.08112241452659219,1.5782133057872672
2008-10-17,327,2.500000000000001,345.79461076428225,2.500000000000001,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.05939641897250966,0.6113664304836077,-0.1438830645171889,1.0,1.0,0.23394834682734045,521.6496582494498,,1043.2993164996283,121.41796796156281,61.96897648056734,-0.02013698855035895,147.42322943767758,4.39161549818627e-08,0.13322325189983802,476.5525145036892,,953.1050290083394,111.89059905281971,38.810396131685174,0.24225913456518217,121.40097713733493,3.2365098119908087e-06,0.1319430476905039,2843134.2581949136,,5686268.516326126,78.21354463985934,21.813701817945176,0.3278790175894328,33.21435982243598,0.621677205573608,0.12583806614328136,5729006.216205013,,11458012.43231147,67.57462105805946,23.29545969581168,0.30541607610692845,0.016931309330760057,1.0564810501996438,0.15575144526435566,465.7204975454919,,931.4409950908866,101.31014663129096,29.094280537590393,0.32788866222101737,96.80019472113183,0.44593796846592776,-0.1438830645171889,-0.006735467862258951,0.04612383184113982,0.002127407863709744,-2.3181560007671247,-0.09052123950879498,-0.004259931445743529,0.03172337107369135,0.0010063722722791172,-2.1316875525778354,-0.05211839539619145,-0.0022570747515072934,0.02977313618647546,0.0008864396383784145,-1.2034322038569683,-0.09689950825533289,-0.004642073171434456,0.030624334371744145,0.00093784985571239,-2.4062768574610387,-0.06374122120664438,-0.0028668714351610756,0.029945854584916328,0.0008967542068209542,-1.5197486857092362,3.7730235602495554e-15,0.8883088534533199,0.9130611039269735,1.216272683286817,0.7358614950690343,0.010000000000000002,0.010000000000000083,1.0,0.05578095065627133,0.07646063585116629,1.8340725341667843,0.07520171834007239,0.09853704169792406,2.030804323246081,0.07591736610555237,0.08197283618406097,2.173595468908773,0.0650673553388391,0.10570071389097657,1.7609902043191719
2008-10-24,332,2.499999999999999,326.9861247927888,2.499999999999999,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.06328745712848662,0.6429707261257684,-0.16372052393254732,1.0,1.0,0.2767201103521956,526.3541367705016,,1052.7082735424062,121.9361595626343,64.62329005949988,-0.0007100122788094042,148.6842700874262,3.689819320973903e-08,0.16019399063765152,479.13451073307294,,958.269021466414,112.483038451264,41.20984793666232,0.22408166824621484,122.71616688173113,2.742943779835019e-06,0.15904736888584584,2795210.9602813995,,5590421.920663474,78.80527719538418,22.549673314024336,0.3091824482511317,34.135293749884276,0.546906332623956,0.12374051436624221,6027877.542985042,,12055755.086342998,68.23941849372054,22.793149272960978,0.2922566195588804,0.0063955756355251,0.9502772816499376,0.1897274225891899,467.8505568802622,,935.7011137617826,102.18401566714458,31.517197020326105,0.3091840642149367,98.38138707244494,0.39166299487612416,-0.163720523932547,-0.007694244859127533,0.050448438605451645,0.002545044957728024,-2.421132425821236,-0.028567310006566093,-0.0009535023917466676,0.03239573046540465,0.0010494833523871472,-0.467233829905416,0.04792958276663373,0.0028195696927411523,0.031884364949001154,0.0010166127282010935,1.4038003058061759,-0.05438631370784941,-0.002385902431876618,0.0292897351894984,0.0008578885874709408,-1.2931160584731136,0.021989966747556267,0.0015723416407603798,0.032142683927575556,0.0010331521300680241,0.7765421767629437,3.472916398905568e-15,0.33865043063504635,0.5084590601144796,0.7328093357312142,0.35159173789545156,0.010000000000000004,0.010000000000000075,1.0000000000000002,0.055221071959641065,0.076965739760872,1.8246530846885827,0.07754909446329714,0.1005933269428286,2.036131442555468,0.07442223158671256,0.08009518258055456,2.1915138159149636,0.0666222932727307,0.10951001341937479,1.7665836788133993
2008-10-31,337,2.5,281.80141387272516,2.5,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.06578597118183306,0.6408399145367036,-0.23238378616475652,1.0,1.0,0.31472913081832116,532.0705814911747,,1064.1411629826944,123.28058577105038,64.51688810617858,-0.0012099300194200228,151.98102827946354,3.242115618165485e-08,0.178386226439174,482.6593552513526,,965.3187105036943,113.81294821335754,39.20037732644089,0.3710718960716718,125.77923209271368,2.416016946200231e-06,0.16865419356658032,2981079.7348134634,,5962159.469679057,80.53540869812366,20.331597287409565,0.3719009893891255,35.436176391736524,0.577817611121352,0.14001040818491173,6075877.38014325,,12151754.760576066,68.32598050220807,20.948259332167765,0.31588743212261605,0.015809229037776092,0.9585933813475327,0.2071983366246078,468.56755041366023,,937.1351008254485,103.80097119411224,29.7667918739063,0.37188347834903024,101.59107555616549,0.41286598774678096,-0.23238378616475674,-0.011784145781303431,0.05307386250523599,0.0028168348812246946,-3.524663668146993,-0.1452501522394014,-0.007461332137492104,0.027257870991460088,0.0007429915309870813,-4.345349486139697,-0.1034910771711286,-0.005137358032984342,0.02556838548194683,0.0006537423361534294,-3.189604230640689,-0.15657852782589465,-0.008192812997675939,0.02442318819937743,0.000596492121822209,-5.325139097828307,-0.11883694728976901,-0.005979262737477918,0.026248429607792726,0.0006889800568752498,-3.6161345564648735,3.648123469979225e-15,0.6588384552691136,0.809975424376277,1.080902531252796,0.5460859949091691,0.009999999999999997,0.010000000000000078,0.9999999999999999,0.06424650294639288,0.0924564470329896,1.8888945089622005,0.09074056649715105,0.11850241425686259,2.1116150044712474,0.09529639088366357,0.1034565597231141,2.3694880635111053,0.07822507613012647,0.1290429874430358,1.777392596635019
2008-11-07,342,2.5,265.22827349071775,2.5,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.06682917886184231,0.6428484421698241,-0.05974576263543996,1.0,1.0,0.3284275430037902,534.3134261207198,,1068.6268522415662,123.82840684281267,64.60995759661016,-0.020337779745600144,153.3347434077023,3.109869076169175e-08,0.19332620580657076,484.59640232791725,,969.1928046564497,114.3382222299563,39.54941529535979,0.38039979687068814,127.17243044895766,2.165507360148706e-06,0.1728681328084961,3169038.2117949803,,6338076.423610639,81.41820959078366,19.8669652935288,0.3562107330729445,37.08435279235035,0.5949732091778965,0.1497276781281032,6524652.122357902,,13049304.244238637,69.2698806404625,20.506436144425134,0.2845996193978813,0.0061484475939031676,0.8846022413678727,0.2134532585988764,467.1803221201179,,934.3606442409373,104.570190599611,29.545751642657095,0.3562139464001017,103.28031552795451,0.42464658889119933,-0.05974576263543918,-0.0016709329252764505,0.0540226186429368,0.002918443325040183,-0.4910024455003721,0.005921477492791372,0.0005845261484950353,0.024611122789400412,0.0006057073649549443,0.37702729052300527,0.01646846818590264,0.0010558237551572028,0.022497514274888008,0.0005061381485487896,0.7450015277787967,0.022152819263080215,0.0013210010193051753,0.021704644467032,0.0004710915914402628,0.9661637675453425,-0.0030560975944837754,0.00011031169905276715,0.023609775453483712,0.0005574214969639221,0.07417029178204951,4.0314973581701e-15,0.4665321375383486,0.5280244861144648,0.9846867021935,0.33740951830434635,0.01,0.010000000000000078,1.0,0.0648066723749745,0.09567353467481023,1.8603922312584762,0.09630561335011491,0.12759962384424026,2.1390614729221857,0.0975030518172174,0.10640911215801288,2.4049711274518817,0.08273822761711747,0.1390653788019559,1.7777301129003085
2008-11-14,347,2.4999999999999996,247.2636727238789,2.4999999999999996,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.06249204592273131,0.5870255656700201,-0.001965701041702017,1.0,1.0,0.28310976145676586,533.8371279953512,,1067.6742559896431,124.46106418642968,59.921545611290746,-0.004048724593480457,154.90556498189576,3.6591086326822105e-08,0.16953034142629292,485.66367611967695,,971.3273522375714,114.84998626538929,37.827793440676665,0.34117609582053915,128.71578814684892,2.121173156044515e-06,0.135475303361636,3119428.6428080406,,6238857.285646605,81.82025857077056,19.728814096000107,0.2994903843246454,37.90610798555784,0.7773206673712418,0.15024281056302702,6191502.984441931,,12383005.969034094,68.57788296903573,22.59798476170105,0.24013833883934554,0.004808616786753304,0.8332033244243319,0.16426964349566772,464.72893547155803,,929.4578709390885,105.26781088929161,25.377963770979004,0.2994951481182685,104.89932325882398,0.5530486346448454,-0.001965701041702017,0.0010520104975796872,0.04878723372468212,0.00238019417450676,0.3423057149182017,0.013974244355186238,0.0009664912964276378,0.023848345863538813,0.0005687436004269688,0.6433391135420088,0.010414013892754648,0.0007160198258965155,0.02043874393992894,0.0004177422538419819,0.5561233308433469,0.031436877437009736,0.001805590072241461,0.023158639053023254,0.0005363225627882138,1.2376743615376158,0.00814150925467394,0.0006100544867699603,0.020778806877894296,0.00043175881526882735,0.46606693086846207,3.694961003830599e-15,0.5612020662421149,0.5389294304322462,1.1946139277124097,0.34362824237738127,0.009999999999999992,0.010000000000000083,0.9999999999999997,0.06073592741793828,0.09220633795972248,1.7898148471038597,0.10200519329698021,0.1309841166424756,2.234737008443339,0.088391087800641,0.09600104489595684,2.2669519544654384,0.08883425560581823,0.14530507871264262,1.8275356400149427
2008-11-21,352,2.5000000000000004,228.59700750879688,2.5000000000000004,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.05558607896207818,0.5396045935877714,0.1404331358520332,1.0,1.0,0.22606771090755473,533.1034520753524,,1066.2069041486645,125.16464809439329,56.36114732298025,-0.005131718741559108,156.66189132425146,4.7545893169966124e-08,0.11842080390771789,486.0475321544617,,972.09506430702,115.52837646016494,33.73759294812755,0.3856654946241864,130.3911740982327,2.954078885939338e-06,0.12640222942632437,2740119.300446819,,5480238.600813191,82.22675977415378,22.371047313405406,0.2733874857071319,38.94337231252294,1.1125287123888872,0.15446780775473984,5272897.5597625375,,10545795.119461413,68.14843071433383,26.64278756546321,0.19359834202291698,0.00597537366164862,1.2885696841496457,0.11809428277145732,459.8880416026833,,919.7760832039339,106.19074951734056,24.393412377677887,0.2733878433700937,106.9901096544486,0.7900512972888701,0.14043313585203343,0.007440978494174304,0.041985430962865875,0.0017627764131375766,2.8134014330125687,0.045291447785612116,0.0024000298917681625,0.01955266651038936,0.0003823067676665016,1.9485471904431164,-0.004931356841419654,-7.79399238703878e-05,0.018812937830665028,0.0003539266298204674,-0.06576633302341672,0.0540369618284251,0.0027769997589440027,0.017236747606441564,0.000297105468048169,2.55753031385578,0.01317256223056451,0.0008009325175724318,0.01749478974706587,0.00030606766829404113,0.7267540641381406,3.4399566528620085e-15,0.4280711792298971,0.5914329759146533,0.8819529796606349,0.3985828765976066,0.009999999999999998,0.01000000000000009,1.0,0.06327348165529964,0.09595963331067539,1.8487910292532224,0.10551127687090822,0.13735037693104282,2.3059585641858367,0.09537473047438712,0.10587514865808174,2.3450493737289935,0.09249129538328037,0.1539975727663764,1.8620394431162617
2008-12-01,357,2.5000000000000004,225.1622792191526,2.5000000000000004,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.04301790267727525,0.42778127149355333,0.12164980121617153,1.0,1.0,0.13653614835622924,530.2243584535768,,1060.4487169059419,125.32839500131284,47.01087989063258,-0.018237134741137046,157.07206593453472,1.0213852322213449e-07,0.12071261303782263,484.7408709579474,,969.481741915363,115.7156127877655,26.893117930682315,0.2727642037283996,130.98521209427903,6.996617922825816e-06,0.18157529832784872,2072270.4616548591,,4144540.9233276774,82.23622200731721,28.83967405303693,0.2172648064108963,39.116188727628945,2.5985313186111005,0.2328478060275821,4094363.8654286503,,8188727.731004453,68.2567799545348,32.884889360784,0.21943019454563556,0.04288021097486221,3.1503664659537582,0.11343631341005264,451.4617855816677,,902.9235711631458,106.78954339135284,22.639744080208676,0.21726421891361636,108.6262360440782,1.836973150071636,0.12164980121617175,0.00614146632458903,0.028596741629345408,0.0008177736318155367,3.4092260139661645,0.07267722973245538,0.0036188032157756537,0.014859095799436213,0.00022079272797682288,3.8660979703793763,0.032069882662824956,0.0017132333153873317,0.01673757285765373,0.0002801463451652668,1.6248912534538749,0.07483421033596338,0.003738193541219262,0.016099735117480852,0.0002592014708530462,3.685898080897353,0.057355970161434344,0.0028995027174027496,0.01499860457031854,0.00022495813905678018,3.0688307353632456,3.318526009543632e-15,0.4934550468803994,0.5230006758213885,0.9456455515811405,0.3094195730509873,0.01,0.010000000000000075,0.9999999999999999,0.06222438700793192,0.09149300090609015,1.8325515161301986,0.10567727575825445,0.13678981564986312,2.2815871133530483,0.08794336480925384,0.0954616573296547,2.3252859751595274,0.09396014575932725,0.15584282441832753,1.8586220114489893
2008-12-08,362,2.5,219.14800378350986,2.5,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.039292550244099334,0.40713107631064777,0.02135915723564441,1.0,1.0,0.12744036530939878,531.1172790220951,,1062.2345580433914,125.58829669410942,45.38603164006035,0.0019058832746122352,157.72420266416944,1.2672810567229535e-07,0.14110315411664112,484.91459086914364,,969.8291817380268,115.90193797089374,25.3323221833155,0.33054938011659846,131.58473256137765,8.905162009871309e-06,0.2144752414173684,1844339.9512355735,,3688679.9025415154,82.03814793713545,30.436677100789403,0.23804414037585106,39.202997300374506,3.4782606495161303,0.2593620021864881,3553168.237058852,,7106336.47410756,67.95476109620155,34.17361847367987,0.23896032170581302,0.07304161850187979,4.075030252669123,0.136956523092401,449.08317925441816,,898.1663585080512,107.00904485906436,22.498644542838193,0.23805410556843049,109.52551985514906,2.458058575077954,0.02135915723564441,0.0013673952650108778,0.02558789362523405,0.0006547403001762933,0.8483201942273744,0.009159879373688007,0.0005301470876488753,0.012502642758856796,0.00015631607595559428,0.6731236167321244,-0.02663712862176648,-0.0012445833524856505,0.014801169788482163,0.00021907462710747712,-1.3348369419725215,0.0025487797829879533,0.00020055309666569088,0.012392578582915157,0.00015357600393372744,0.25690228140091237,-0.0018845301428962458,-8.972479940670859e-06,0.01339170014474154,0.00017933763276667058,-0.010635968685759205,3.9517000782751666e-15,0.3604963960439131,0.5621452245670836,0.8209031041289059,0.29459511633655977,0.010000000000000004,0.010000000000000096,1.0,0.062206423976789965,0.09069659022266831,1.7978114112248091,0.10472500770889703,0.1336770062445328,2.302053999139213,0.0880916521610085,0.09618367492659247,2.2130811834520907,0.09464469135768487,0.15700010492506547,1.8381472252358138
2008-12-15,367,2.500000000000001,230.2711900003406,2.500000000000001,False,,invalid_only,1.0,1.0,1.0,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,0,0,0.038958732874179475,0.44721318725506704,-0.031208016639399982,1.0,1.0,0.12760662637698583,529.5687796354787,,1059.1375592712347,125.14473242828237,48.50412901265697,0.007251128238970336,156.612040544064,1.1613922691976988e-07,0.11228001362554264,482.92456551369935,,965.8491310267982,115.47217873624304,27.833435358359765,0.43091963570859854,130.58238610614626,7.526042299064497e-06,0.19045130530934792,1734482.2297320117,,3468964.45951543,81.79018903716366,26.875793075505786,0.2679089388169975,38.99585976027077,2.9900459556627887,0.20565034305605814,3391794.8789976235,,6783589.757951517,67.96988346402765,27.98860247388942,0.31979237289101387,0.07025222795679226,3.17397592086894,0.11856354703506546,446.71481414283335,,893.4296282854892,106.64952766816548,21.657162192546146,0.26790492903428237,108.9026906761254,2.113042108191654,-0.031208016639399982,-0.0012498795659042744,0.02654531346508335,0.0007046536669595354,-0.74744730463761,0.024683675754117118,0.0012886244076275026,0.012058071766434903,0.00014539709472449457,1.6964800583579056,0.0072335347877587886,0.0004430426233304089,0.013202317837723113,0.00017430119628826187,0.5327158227152459,0.03324608013705288,0.0017251682524409573,0.013693102689817726,0.00018750106127389345,1.9999993874712245,0.022915447049580928,0.0011952310785800903,0.011417443507537928,0.00013035801624781997,1.661817301297093,4.218847493575595e-15,0.40199134954509996,0.45035867762893306,1.1542801653365684,0.200080169026552,0.010000000000000002,0.010000000000000078,1.0000000000000002,0.055520298604723836,0.08493321725113996,1.748008932731495,0.10690947748951915,0.13679106069007796,2.3284348790276495,0.0688443144432704,0.0755877911741586,2.095471797544024,0.0959984160351006,0.15869289238716908,1.8516853144515524
