date,raw_anchor,guardrail_trace_ratio,guardrail_trace_ratio_pre,guardrail_trace_ratio_post,guardrail_triggered,guardrail_trigger_reason,guardrail_mode,model_regime_conf_raw,model_regime_conf_adj,model_pers_blend_lambda,model_blend_to_pers_strength,model_blend_to_pers_conf_threshold,model_blend_to_pers_power,mix_lambda,shrink_gamma,floor_eps,apply_floor_to,regime_assigned,dominant_regime,realized_vol,avg_corr,market_ret,regime_prob_0,regime_raw_0,regime_prob_1,regime_raw_1,regime_prob_2,regime_raw_2,regime_prob_3,regime_raw_3,model_fro,model_kl,model_nll,model_stein,model_logeuc,model_corr_offdiag_fro,model_corr_spearman,model_eig_log_mse,model_cond_ratio,mix_fro,mix_kl,mix_nll,mix_stein,mix_logeuc,mix_corr_offdiag_fro,mix_corr_spearman,mix_eig_log_mse,mix_cond_ratio,roll_fro,roll_kl,roll_nll,roll_stein,roll_logeuc,roll_corr_offdiag_fro,roll_corr_spearman,roll_eig_log_mse,roll_cond_ratio,pers_fro,pers_kl,pers_nll,pers_stein,pers_logeuc,pers_corr_offdiag_fro,pers_corr_spearman,pers_eig_log_mse,pers_cond_ratio,shrink_fro,shrink_kl,shrink_nll,shrink_stein,shrink_logeuc,shrink_corr_offdiag_fro,shrink_corr_spearman,shrink_eig_log_mse,shrink_cond_ratio,model_gmvp_cumret,model_gmvp_mean,model_gmvp_vol,model_gmvp_var,model_gmvp_sharpe,mix_gmvp_cumret,mix_gmvp_mean,mix_gmvp_vol,mix_gmvp_var,mix_gmvp_sharpe,roll_gmvp_cumret,roll_gmvp_mean,roll_gmvp_vol,roll_gmvp_var,roll_gmvp_sharpe,pers_gmvp_cumret,pers_gmvp_mean,pers_gmvp_vol,pers_gmvp_var,pers_gmvp_sharpe,shrink_gmvp_cumret,shrink_gmvp_mean,shrink_gmvp_vol,shrink_gmvp_var,shrink_gmvp_sharpe,model_turnover_l1,mix_turnover_l1,roll_turnover_l1,pers_turnover_l1,shrink_turnover_l1,model_w_hhi,model_w_max_abs,model_w_l1,mix_w_hhi,mix_w_max_abs,mix_w_l1,roll_w_hhi,roll_w_max_abs,roll_w_l1,pers_w_hhi,pers_w_max_abs,pers_w_l1,shrink_w_hhi,shrink_w_max_abs,shrink_w_l1,regime_label
2008-10-10,322,2.5,433.6609328156196,2.5,False,,invalid_only,0.25000002099916463,2.7998886172516297e-08,0.6500000261322934,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,3,3,0.06586176384892559,0.6254220820011941,-0.027869941210507565,0.2499999917948708,0.24999999108138132,0.25000001199399935,0.2500000130369558,0.24999997521196524,0.24999997305648394,0.25000002099916463,0.2500000228251789,0.24097030308180467,494.0728035891404,,988.145607178395,116.35122686381644,55.01755745058733,0.0888083768454999,133.25119136243478,6.840702530675775e-07,0.2143435835127012,480.5186349141839,,961.037269829387,107.37579836780544,40.54192265999303,0.1730676786985043,109.91167809136373,4.651136489880802e-06,0.2186831918979143,3270670.139177405,,6541340.27828653,77.476164586757,27.567475479529516,0.25913996262795536,32.82368295658477,0.3625019170787563,0.20026334556148204,6857059.417641468,,13714118.8356579,68.49287845247339,27.535900907246955,0.255732788081837,0.0131144469490467,0.6878626736425335,0.23802638049181662,493.82873478135764,,987.6574695646193,99.03107172907531,35.23935491065865,0.2591399647056655,91.8641795390301,0.26739800950908116,-0.029377358167138712,-0.0007157567162583286,0.040542291505700136,0.0016436774005331653,-0.28025760755986845,-0.03248484290536313,-0.001036801343718,0.036101362311582244,0.0013033083607521308,-0.4559027702119786,-0.032548499698753286,-0.0011088721889328237,0.03402798865560041,0.0011579040119456703,-0.5173035780537699,-0.03907772866573633,-0.0014260592358566538,0.034661177284576176,0.0012013972107528194,-0.6531223210055702,-0.02680644091634099,-0.0007736293982128139,0.03524355388024484,0.0012421080901097211,-0.3484604875257319,,,,,,0.026740426184159904,0.038054528510743785,1.3675933353064766,0.043144471162540984,0.06084448540518479,1.664653124953652,0.05536961959655553,0.07865771082901618,1.8117406748376235,0.053649926093872986,0.06077325632637191,1.902626912107859,0.04683158533690016,0.08112241452659139,1.5782133057872687,High Stress
2008-10-17,327,2.5000000000000004,345.79461076428225,2.5000000000000004,False,,invalid_only,0.2500000060869619,8.115949171975482e-09,0.6500000075748859,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,3,3,0.05939641897250966,0.6113664304836077,-0.1438830645171889,0.25000000005260486,0.2500000000571792,0.24999998889469785,0.2499999879290194,0.25000000496573543,0.25000000539753847,0.2500000060869619,0.2500000066162629,0.16448918050505443,496.89274919788454,,993.785498395632,118.23085188128842,51.142262086570845,0.1982844929038017,137.99503385834086,8.386388534107343e-07,0.12372451904944982,472.49750615961915,,944.9950123177293,109.20062271231234,33.24538392582834,0.2655851116296836,114.34785075502306,5.747856215788988e-06,0.1319430476905039,2843134.258291657,,5686268.516574597,78.21354464000093,21.813701817945176,0.32788750216618284,33.21435982243597,0.6216772054871891,0.12583806614328136,5729006.216292373,,11458012.432924287,67.57462105805948,23.29545969581168,0.30541607610692845,0.016931309330760057,1.0564810501996438,0.15575144526435575,465.7204975454918,,931.4409950912823,101.31014663129096,29.09428053759037,0.32788887840181175,96.80019472113183,0.4459379685937029,-0.11986880205681982,-0.005786329066299929,0.03502026172532722,0.0012264187313104184,-2.6229137577070447,-0.08600291117627001,-0.004033229047202054,0.03104857723751215,0.0009640141484737576,-2.062108216583127,-0.0521183953961919,-0.0022570747515072613,0.02977313618647547,0.0008864396383784151,-1.2034322038569507,-0.09689950825533244,-0.0046420731714344535,0.030624334371744142,0.0009378498557123898,-2.4062768574610374,-0.0637412212066445,-0.00286687143516108,0.02994585458491635,0.0008967542068209555,-1.5197486857092375,0.7427212156531333,0.9614329559241293,0.9130611039269696,1.216272683286817,0.7358614950690324,0.036139269459925884,0.053011236600911345,1.5392321327423997,0.06231100263235012,0.08290246565262825,1.9226632439350295,0.07520171834007237,0.0985370416979241,2.030804323246082,0.0759173661055524,0.081972836184061,2.173595468908773,0.06506735533883902,0.10570071389097659,1.7609902043191716,High Stress
2008-10-24,332,2.4999999999999987,326.9861247927887,2.4999999999999987,False,,invalid_only,0.25000001408344397,1.877792528877838e-08,0.6500000175260634,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.06328745712848662,0.6429707261257684,-0.16372052393254732,0.24999999710055928,0.24999999684843402,0.24999997519592979,0.2499999730390541,0.25000001408344397,0.25000001530809124,0.2500000136200671,0.2500000148044207,0.19806018197725014,499.4038993020307,,998.807798605395,118.72123130309573,53.57027220531507,0.18533396495227245,139.20660074547234,7.128494151949818e-07,0.14613695269708363,474.9694658788479,,949.9389317588002,109.82610999620539,35.55813981233689,0.2477160785134857,115.69550584642175,4.8743620458842505e-06,0.15904736888584578,2795210.9602255635,,5590421.920337939,78.8052771953397,22.549673314024318,0.3091830522711544,34.13529374988427,0.5469063322858851,0.12374051436624221,6027877.543150977,,12055755.086171983,68.23941849372054,22.793149272960978,0.2922566195588804,0.0063955756355251,0.9502772816499376,0.18972742258919,467.85055688026205,,935.7011137611994,102.18401566714456,31.517197020326144,0.3091844635310401,98.38138707244494,0.39166299478056854,-0.09110964720381742,-0.0041793432410897596,0.035186145092361405,0.0012380648064607084,-1.885543783809678,-0.018608329679699498,-0.0004638048194601157,0.03174786235614726,0.0010079267641848724,-0.23191083456774958,0.04792958276663373,0.0028195696927411267,0.03188436494900117,0.0010166127282010943,1.4038003058061626,-0.054386313707848744,-0.0023859024318766122,0.02928973518949839,0.0008578885874709403,-1.2931160584731112,0.021989966747556045,0.0015723416407604004,0.03214268392757559,0.0010331521300680263,0.776542176762953,0.2878934512188714,0.3880562901289223,0.5084590601144836,0.7328093357312147,0.35159173789545284,0.036140919456248075,0.05216487611247731,1.5512458647024363,0.06177184654217695,0.08382859519532038,1.9226299844438404,0.07754909446329704,0.10059332694282877,2.0361314425554635,0.07442223158671253,0.08009518258055454,2.191513815914963,0.06662229327273061,0.10951001341937484,1.7665836788133964,Moderate Bull
2008-10-31,337,2.4999999999999996,281.80141387272545,2.4999999999999996,False,,invalid_only,0.2500000115570035,1.5409338027794206e-08,0.6500000143820488,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06578597118183306,0.6408399145367036,-0.23238378616475652,0.2500000054945645,0.2500000059723528,0.2500000115570035,0.2500000125619604,0.24999999836284947,0.24999999822048863,0.24999998458558237,0.2499999832451983,0.2243776592959279,504.75349420538197,,1009.5069884090103,120.02110318209604,52.73407793310574,0.3274521677700439,142.40290380752268,6.200638363505591e-07,0.1623575670868925,477.13743938452404,,954.2748787695414,111.15672766347524,33.10586928161188,0.37304824107693635,118.69888414499117,4.2857684053403245e-06,0.16865419356658037,2981079.7348545883,,5962159.469661748,80.53540869814923,20.33159728740958,0.3718790213639395,35.436176391736524,0.5778176114092946,0.14001040818491173,6075877.3800054155,,12151754.75969234,68.32598050220807,20.948259332167765,0.31588743212261605,0.015809229037776092,0.9585933813475327,0.20719833662460788,468.56755041366023,,937.1351008260908,103.80097119411225,29.76679187390631,0.37188911547348696,101.59107555616549,0.41286598785181977,-0.18132497759947386,-0.009395954040733165,0.03410388229911826,0.001163074787872112,-4.37358260327204,-0.13998452499017155,-0.007188055654508296,0.0260278462412005,0.000677448779955575,-4.384029510921083,-0.1034910771711286,-0.005137358032984339,0.025568385481946763,0.000653742336153426,-3.1896042306406955,-0.15657852782589454,-0.008192812997675944,0.024423188199377426,0.0005964921218222088,-5.325139097828311,-0.11883694728976846,-0.005979262737477898,0.026248429607792667,0.0006889800568752467,-3.6161345564648695,0.4736783813511846,0.7611013942484766,0.8099754243762738,1.0809025312527956,0.5460859949091698,0.039097125062572465,0.06120474196889404,1.5811092104193596,0.0737336816082227,0.10228660038981646,1.9832886167819737,0.09074056649715094,0.11850241425686264,2.111615004471245,0.09529639088366358,0.1034565597231141,2.3694880635111057,0.0782250761301265,0.12904298744303633,1.7773925966350186,Normal
2008-11-07,342,2.4999999999999996,265.22827349071775,2.4999999999999996,False,,invalid_only,0.2500000181819571,2.4242609475422228e-08,0.6500000226264352,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.06682917886184231,0.6428484421698241,-0.05974576263543996,0.24999999866603162,0.24999999855003438,0.2500000181819571,0.25000001976299685,0.2499999965455001,0.2499999962451088,0.24999998660651118,0.24999998544185997,0.24182531234085045,507.32508243998427,,1014.6501648802885,120.51560815909777,53.42473868387921,0.35080221213849294,143.7138743396424,5.414903761845144e-07,0.17761717136946242,478.6625931067847,,957.3251862124871,111.68759871382791,33.23945211849476,0.3731313894541816,120.12250498697898,3.823773621241091e-06,0.17286813280849617,3169038.21166122,,6338076.423357805,81.41820959078495,19.86696529352881,0.35619994481032935,37.08435279235035,0.5949732085242483,0.1497276781281032,6524652.122515839,,13049304.24482486,69.2698806404625,20.506436144425134,0.2845996193978813,0.0061484475939031676,0.8846022413678727,0.21345325859887643,467.18032212011775,,934.3606442400817,104.570190599611,29.54575164265707,0.3562039539004745,103.2803155279545,0.4246465891720134,-0.0035299769113223967,0.0004179957548675815,0.03522281495061939,0.0012406466930455764,0.18838576382598154,0.008813431566877306,0.0006834768923107215,0.022647030949172392,0.0005128880108127722,0.47908528616189633,0.016468468185901752,0.0010558237551571478,0.022497514274888032,0.0005061381485487907,0.745001527778757,0.02215281926307977,0.001321001019305177,0.021704644467032005,0.00047109159144026306,0.9661637675453434,-0.0030560975944833313,0.0001103116990527799,0.02360977545348369,0.000557421496963921,0.07417029178205815,0.39505608623700844,0.5480109868168922,0.528024486114467,0.9846867021935014,0.33740951830434607,0.037669850873573406,0.06080455173320969,1.520351087897639,0.07501086179511944,0.10658982241043909,1.970275232018832,0.09630561335011491,0.12759962384423987,2.1390614729221853,0.09750305181721747,0.10640911215801288,2.404971127451882,0.0827382276171176,0.13906537880195635,1.777730112900306,Normal
2008-11-14,347,2.5,247.2636727238789,2.5,False,,invalid_only,0.2500000105546383,1.4072851032646364e-08,0.6500000131346608,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,3,3,0.06249204592273131,0.5870255656700201,-0.001965701041702017,0.24999998389142378,0.249999982490678,0.2500000102945029,0.2500000111896771,0.24999999525943514,0.2499999948472121,0.2500000105546383,0.2500000114724329,0.21658682048710318,509.74094661355673,,1019.4818932262269,121.05047379096439,51.293633950251845,0.2992122979584715,145.25000873820153,4.84765520457577e-07,0.15944842043769547,478.71564539707686,,957.4312907938099,112.17487644542281,32.09840337728416,0.3294176405138401,121.6700511170508,3.6897319597969123e-06,0.13547530336163596,3119428.6430235407,,6238857.286015162,81.82025857093774,19.728814096000104,0.2994893705999687,37.90610798555784,0.7773206677590052,0.15024281056302702,6191502.984363215,,12383005.968726411,68.57788296903573,22.59798476170105,0.24013833883934554,0.004808616786753304,0.8332033244243319,0.1642696434956678,464.7289354715582,,929.4578709446387,105.26781088929162,25.37796377097902,0.2994925186276639,104.89932325882398,0.553048635006718,0.01319495737479981,0.0012439557492330742,0.03494584497690614,0.0012212120811499565,0.5650796350502681,0.013227593547869843,0.0008973029377084716,0.022398297886874904,0.0005016837482291848,0.6359520091433718,0.010414013892754426,0.0007160198258964605,0.020438743939928852,0.00041774225384197833,0.5561233308433066,0.031436877437009736,0.0018055900722414662,0.023158639053023254,0.0005363225627882138,1.2376743615376196,0.008141509254673052,0.0006100544867699339,0.02077880687789432,0.0004317588152688283,0.4660669308684413,0.6578346015731448,0.5996017967375193,0.5389294304322539,1.194613927712411,0.3436282423773832,0.03149311737002003,0.052953330130973864,1.4052893752988425,0.07060660413688344,0.10305924856978554,1.9007370681517037,0.1020051932969803,0.1309841166424756,2.2347370084433402,0.08839108780064099,0.09600104489595686,2.2669519544654384,0.08883425560581824,0.14530507871264292,1.8275356400149425,High Stress
2008-11-21,352,2.5,228.5970075087969,2.5,False,,invalid_only,0.2500000098975049,1.3196673235664017e-08,0.6500000123168949,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.05558607896207818,0.5396045935877714,0.1404331358520332,0.25000000297383485,0.2500000032324292,0.24999999285984423,0.2499999922389612,0.2500000098975049,0.2500000107581576,0.2499999942688159,0.24999999377045212,0.1529809586071605,511.24091620437366,,1022.481832408401,121.73342998861513,47.04189872952335,0.3529512965806121,146.96109178881335,6.883337024181949e-07,0.11758945186204521,477.74153048912507,,955.4830609763496,112.84466423301326,28.366174918355654,0.3697718546251881,123.3291406640328,5.1580813041641835e-06,0.1264022294263244,2740119.3009522646,,5480238.60171569,82.2267597742289,22.371047313405402,0.2733875439819547,38.94337231252294,1.1125287129418282,0.15446780775473984,5272897.559716807,,10545795.119554875,68.14843071433381,26.64278756546321,0.19359834202291698,0.00597537366164862,1.2885696841496457,0.11809428277145732,459.88804160268336,,919.7760832031892,106.19074951734056,24.39341237767788,0.2733830273369011,106.99010965444863,0.7900512969751623,0.0948082963725203,0.004903741921946499,0.027580118546279588,0.0007606629390268353,2.8224856822579683,0.03516912002993844,0.001890410234572425,0.018331666063485498,0.00033604998066314595,1.637021536059807,-0.004931356841418988,-7.793992387034659e-05,0.018812937830665066,0.0003539266298204688,-0.06576633302338182,0.05403696182842532,0.002776999758944003,0.017236747606441546,0.0002971054680481684,2.557530313855783,0.013172562230564733,0.0008009325175724391,0.017494789747065878,0.0003060676682940414,0.726754064138147,0.38157152786910803,0.4929930783619554,0.5914329759146556,0.8819529796606356,0.39858287659760455,0.0339071947279966,0.056615593978735605,1.4457453105178606,0.07338985265742112,0.10779222626685253,1.9523406871767812,0.1055112768709083,0.13735037693104235,2.305958564185844,0.09537473047438712,0.10587514865808179,2.345049373728991,0.09249129538328016,0.15399757276637588,1.8620394431162628,Moderate Bull
2008-12-01,357,2.5000000000000013,225.16227921915262,2.5000000000000013,False,,invalid_only,0.2500000169981326,2.2664176831573474e-08,0.6500000211532315,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.04301790267727525,0.42778127149355333,0.12164980121617153,0.25000000681938706,0.2500000074123772,0.2499999840294447,0.24999998264070075,0.2500000169981326,0.2500000184762311,0.24999999215303564,0.2499999914706909,0.0895658324149688,511.49419144156843,,1022.9883828826567,121.89219903191125,37.8603941161821,0.26145026768184915,147.37726063893925,1.6452329123254196e-06,0.1424782995861698,474.9809976932187,,949.9619953863191,113.05292512313167,23.806761726059325,0.2749270337072495,123.98753271649089,1.2249185722427435e-05,0.18157529832784863,2072270.4617098842,,4144540.9234058755,82.23622200734312,28.839674053036923,0.21726158229943413,39.11618872762893,2.5985313259846214,0.2328478060275821,4094363.865581893,,8188727.731080232,68.2567799545348,32.884889360784,0.21943019454563556,0.04288021097486221,3.1503664659537582,0.11343631341005252,451.46178558166764,,902.9235711637933,106.78954339135288,22.63974408020868,0.2172706265717235,108.6262360440782,1.836973149887941,0.09047228907077631,0.004466803254376376,0.016399065518583902,0.0002689293498828075,4.32392341591196,0.06912960796244128,0.0034548368342076745,0.015004332336831643,0.0002251299888740917,3.655199929385258,0.03206988266282518,0.0017132333153873371,0.01673757285765374,0.0002801463451652672,1.624891253453879,0.07483421033596294,0.003738193541219252,0.016099735117480852,0.0002592014708530462,3.6858980808973434,0.057355970161434566,0.0028995027174027518,0.014998604570318548,0.00022495813905678042,3.068830735363246,0.5191364203983024,0.5424500997108936,0.5230006758213925,0.945645551581139,0.30941957305099094,0.03452530223316236,0.05433583984546841,1.4383920755334505,0.07086618334200886,0.10166289254251527,1.9355275984021156,0.10567727575825436,0.13678981564986273,2.281587113353051,0.08794336480925379,0.09546165732965474,2.325285975159526,0.09396014575932717,0.15584282441832728,1.8586220114489902,Moderate Bull
2008-12-08,362,2.499999999999999,219.14800378350992,2.499999999999999,False,,invalid_only,0.2500000211006919,2.8134255887953447e-08,0.6500000262586384,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,2,0.039292550244099334,0.40713107631064777,0.02135915723564441,0.24999999864242797,0.24999999852437824,0.2499999887161855,0.24999998773498425,0.2500000211006919,0.2500000229355347,0.24999999154069455,0.24999999080510277,0.09519788359317995,512.766592626099,,1025.5331852520826,122.1373556624946,36.13633315979319,0.3250249565948107,148.01671900558082,2.0694209102117153e-06,0.16532679100089726,474.39411686806574,,948.7882337362798,113.22248371621384,22.69989538312166,0.32889833496723586,124.56523984992062,1.5570596331734886e-05,0.21447524141736826,1844339.9512686746,,3688679.902559829,82.03814793717704,30.43667710078939,0.2380448305713757,39.20299730037452,3.478260648614165,0.2593620021864881,3553168.237211227,,7106336.474356278,67.95476109620155,34.17361847367987,0.23896032170581302,0.07304161850187979,4.075030252669123,0.13695652309240083,449.0831792544182,,898.1663585091316,107.00904485906437,22.49864454283819,0.23804684031072362,109.52551985514906,2.458058573860001,0.026960790149362257,0.0014176583189355308,0.013544056416772605,0.00018344146422071916,1.661587004781012,0.004995401542328803,0.0003232654943706189,0.012488191581658366,0.0001559549289802029,0.4109226383461412,-0.02663712862176626,-0.0012445833524856297,0.014801169788482177,0.00021907462710747753,-1.334836941972498,0.0025487797829881753,0.00020055309666570259,0.012392578582915157,0.00015357600393372742,0.2569022814009273,-0.0018845301428964678,-8.972479940659844e-06,0.013391700144741567,0.0001793376327666713,-0.010635968685746126,0.29785817597281755,0.4284335649862338,0.5621452245670808,0.8209031041289053,0.294595116336552,0.03440698749736931,0.053900475657604585,1.4352574655652257,0.07058798529787189,0.10065489074849303,1.8888711620500473,0.10472500770889703,0.13367700624453271,2.3020539991392197,0.08809165216100853,0.09618367492659251,2.2130811834520925,0.09464469135768472,0.15700010492506541,1.8381472252358106,Moderate Bull
2008-12-15,367,2.5,230.27119000034057,2.5,False,,invalid_only,0.25000001752114376,2.3361525010775115e-08,0.6500000218040898,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,1,0.038958732874179475,0.44721318725506704,-0.031208016639399982,0.25000000114122056,0.2500000012404571,0.25000001752114376,0.25000001904472147,0.2499999775700561,0.2499999756196262,0.2500000037675796,0.2500000040951952,0.08332802186513123,510.8034153710981,,1021.6068307416879,121.69279731083837,39.99588510507979,0.41908590862383854,146.93333242669382,1.7060728900462662e-06,0.13153999345551884,472.3718924904697,,944.7437849805385,112.79849898353851,23.973823668575402,0.42282336102150475,123.60127056782152,1.3098888570944254e-05,0.19045130530934787,1734482.2297877353,,3468964.459534635,81.79018903731175,26.875793075505797,0.2679157595436706,38.99585976027085,2.990045961863444,0.20565034305605814,3391794.879007434,,6783589.7579156775,67.96988346402779,27.98860247388942,0.31979237289101387,0.07025222795679226,3.1739759208689375,0.11856354703506547,446.71481414283573,,893.4296282850902,106.64952766816599,21.65716219254614,0.2679085190206084,108.90269067612643,2.113042109298344,0.016852290768540223,0.0009305652866324441,0.014157480438895257,0.00020043425237770184,1.0434247834951063,0.026094186335691383,0.0013572900216852445,0.012039595641799048,0.00014495186321802664,1.7896208282625095,0.007233534787759011,0.00044304262333042026,0.013202317837723144,0.0001743011962882627,0.5327158227152582,0.033246080137052436,0.0017251682524409492,0.013693102689817728,0.00018750106127389348,1.999999387471215,0.022915447049579818,0.0011952310785800597,0.011417443507537907,0.00013035801624781948,1.6618173012970536,0.4167144776797581,0.4727481976976538,0.4503586776289347,1.154280165336567,0.20008016902654804,0.030311477501465272,0.044621113936254564,1.4216462029153059,0.06250732073026966,0.09437779146665054,1.8173818143578133,0.10690947748951915,0.13679106069007785,2.328434879027652,0.06884431444327044,0.07558779117415862,2.095471797544024,0.0959984160351007,0.1586928923871693,1.851685314451552,Normal
