Method,Frobenius,Frobenius Std,LogEuc,LogEuc Std,GMVP Sharpe,GMVP Sharpe Std,GMVP Variance,GMVP Variance Std,Turnover,Turnover Std,Frobenius Rank,LogEuc Rank,GMVP Sharpe Rank,GMVP Variance Rank,Turnover Rank
Model,0.02379914284482927,0.04278806759766321,83.35027635661277,9.447080499234575,1.0410244753719589,7.23177519017208,8.412798999371688e-05,0.00019896196996677562,0.5475480151324572,0.5354290070948754,3.0,3.0,1.0,4.0,4.0
Roll,0.025775530234601284,0.04471670779216846,68.32939434866377,2.045083598042797,0.7541089964376004,9.70174335622953,8.161205650113464e-05,0.00018603064491074179,0.4579879727926545,0.2603190172649754,4.0,2.0,4.0,1.0,3.0
Pers,0.02802486307347268,0.04833392221012277,58.10524021397854,1.9485442412470024,-0.9397359272745717,46.1739635211177,8.59808020919787e-05,0.00017292912419148787,0.7558869651757447,0.36003819767330175,5.0,1.0,5.0,5.0,5.0
Shrink,0.02306765770937038,0.042327597519502935,86.6125592648356,4.485458017545075,0.9958527968333432,7.254164621386684,8.186435889774765e-05,0.0001987191526235329,0.3268186642604628,0.18543644169868578,2.0,5.0,3.0,3.0,1.0
Mix,0.023020278013218785,0.042342703668271635,86.50019013557518,4.4240947280420215,1.0153069885669943,7.246178148834146,8.174620670118502e-05,0.00019873434544160612,0.3977463453092982,0.25393729752738003,1.0,4.0,2.0,2.0,2.0
