stat,model_fro,model_kl,model_stein,model_logeuc,model_corr_offdiag_fro,model_corr_spearman,model_eig_log_mse,model_cond_ratio,model_gmvp_cumret,model_gmvp_mean,model_gmvp_var,model_gmvp_vol,model_gmvp_sharpe,model_turnover_l1,model_w_hhi,model_w_max_abs,model_w_l1,mix_fro,mix_kl,mix_stein,mix_logeuc,mix_corr_offdiag_fro,mix_corr_spearman,mix_eig_log_mse,mix_cond_ratio,mix_gmvp_cumret,mix_gmvp_mean,mix_gmvp_var,mix_gmvp_vol,mix_gmvp_sharpe,mix_turnover_l1,mix_w_hhi,mix_w_max_abs,mix_w_l1,roll_fro,roll_kl,roll_stein,roll_logeuc,roll_corr_offdiag_fro,roll_corr_spearman,roll_eig_log_mse,roll_cond_ratio,roll_gmvp_cumret,roll_gmvp_mean,roll_gmvp_var,roll_gmvp_vol,roll_gmvp_sharpe,roll_turnover_l1,roll_w_hhi,roll_w_max_abs,roll_w_l1,pers_fro,pers_kl,pers_stein,pers_logeuc,pers_corr_offdiag_fro,pers_corr_spearman,pers_eig_log_mse,pers_cond_ratio,pers_gmvp_cumret,pers_gmvp_mean,pers_gmvp_var,pers_gmvp_vol,pers_gmvp_sharpe,pers_turnover_l1,pers_w_hhi,pers_w_max_abs,pers_w_l1,shrink_fro,shrink_kl,shrink_stein,shrink_logeuc,shrink_corr_offdiag_fro,shrink_corr_spearman,shrink_eig_log_mse,shrink_cond_ratio,shrink_gmvp_cumret,shrink_gmvp_mean,shrink_gmvp_var,shrink_gmvp_vol,shrink_gmvp_sharpe,shrink_turnover_l1,shrink_w_hhi,shrink_w_max_abs,shrink_w_l1
count,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,263.0,263.0,263.0,263.0,263.0,282.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,263.0,263.0,263.0,263.0,263.0,282.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,263.0,263.0,263.0,263.0,263.0,282.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,263.0,263.0,263.0,263.0,263.0,282.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,263.0,263.0,263.0,263.0,263.0,282.0,283.0,283.0,283.0
mean,0.02312609364692666,402.76918289715104,805.5383657943167,79.48037923958427,28.65997487897344,0.24203448603541852,61.233146514163934,4.798788058766314e-05,0.00478766820099702,0.0001653389348551593,0.00012175300522353799,0.008671483523976781,0.9862501490649292,1.3027781992161653,0.053417526911858894,0.06131153860702064,1.813708264157982,0.02069722568100679,355.02791144644385,710.0558228928887,85.04697217193402,26.574842172056382,0.3923791802803442,68.2473336463275,6.375830369669062e-05,0.008713170120807669,0.00028487482252926904,8.442478850344926e-05,0.007458467905173305,1.199336243152533,0.7932126503535365,0.055316225408273106,0.07155330683044615,1.7568839702039583,0.02609429547436566,372.31802960592546,744.63605921182,82.98264522215811,26.809296012426636,0.38071983660260106,61.95799538185859,0.0001311258895743583,0.011310187442782779,0.000377183781794331,9.7953670374549e-05,0.008199046324404423,1.196512583377968,0.9947365870119812,0.08413808474899552,0.07620232943264085,2.216796528335238,0.026699212026398387,379.6913218611051,759.3826437222046,82.43917436878361,27.635016719923325,0.35913016299321193,60.73396147338035,0.0001340135158665649,0.011769192094996246,0.0003892459583343377,9.542752968756885e-05,0.0081556069787024,1.2812181732534713,1.0406320342456754,0.07184307528227023,0.06966614768196608,2.0587687072963288,0.022678262994629435,356.3050656707462,712.6101313414975,86.30156108341126,27.115054739585442,0.38071983660260106,69.95723330608054,7.480345399334796e-05,0.010521859561321295,0.00035188356691089013,8.692450560673012e-05,0.007587650549082732,1.3286170519627818,0.6371785428498706,0.053354256969824154,0.06990395066203178,1.7051844752457495
std,0.046057349748383034,138.93163269240546,277.8632653848489,1.1507907772955719,7.292692055896968,0.11046622116887476,1.0622910279437134,5.272471230309867e-05,0.053930110095474874,0.001951128153590209,0.0003045609303384068,0.006836379337960852,2.9072946141183547,0.5839013345811394,0.026245365571338112,0.018974418945613167,0.38203150092946486,0.043191186883591456,53.9613457126676,107.92269142533307,2.8058173641526505,7.174112156573174,0.12960151810794607,4.7089014524160016,3.9876419869552716e-05,0.056955147205734274,0.001963754415770795,0.00020862420457326282,0.005376425725302365,2.9538433874880123,0.3239379548735138,0.024021791768771752,0.020293503271316023,0.3553402942875003,0.04869089867362893,80.48301291912645,160.96602583821942,1.1996013989352654,6.640908090850361,0.13913756331592994,1.2110904606089874,9.390795588098055e-05,0.06288440416594902,0.002158862715230149,0.00022151625616999334,0.0055539712986829035,2.970849576370262,0.49221385979124493,0.06072840345330977,0.027852479746872823,0.689381563360116,0.05051158913335704,88.1777749185551,176.35554983708283,1.117617342585257,6.683609877825419,0.14037453202411476,1.0275983087643272,9.84650325977059e-05,0.06324385001213412,0.002153637389525836,0.00020494550474545593,0.0053873891418367206,3.005702024102012,0.47711441197473436,0.051254393365612196,0.026904396006545196,0.6158352626859144,0.04434389153982309,48.356055811620834,96.71211162332928,3.121102380296287,7.382029827781059,0.13913756331592994,5.410406160816702,4.914731965598506e-05,0.05761327928985193,0.0019889117898740268,0.00021067249714090967,0.005428083965197093,2.9250318867871323,0.3032143560758721,0.02619810687209675,0.023777656983442155,0.38409596025784387
min,0.003900939133754066,321.2234633386056,642.446926677184,78.21974693181437,18.651439842846454,-0.02309478352082635,60.115705067118434,5.389753376078504e-07,-0.3475395427667143,-0.014333664226198582,8.770915621299972e-06,0.0029615731666295148,-7.572578325585853,0.26978283776086703,0.02040918169067374,0.033439451916811816,1.1843743254767165,0.004044821333709921,322.4909765218587,644.9819530437501,81.66979416466971,16.709272560836837,0.08328391275889487,63.64760801933144,1.274441774154896e-06,-0.30981715101818486,-0.012531217385996333,6.9949114763910966e-06,0.0026447894956671118,-7.544502602281918,0.27563330458008095,0.024020264636369464,0.03929928279408069,1.2337456205932105,0.005517432653963594,322.9170456776953,645.8340913553698,81.00062405551606,17.98178319180496,0.056074392372398536,60.6287696160758,2.5545752406852963e-06,-0.32132913189368906,-0.013128223278769873,7.847915032107888e-06,0.0028014130420393004,-7.486585465109111,0.20284057035552433,0.0223932886824305,0.034435267581645945,1.2653475539333188,0.006033725971582288,325.1553880817173,650.3107761635669,80.49358783063906,18.722299500916964,0.029140083394857973,60.10581909328234,3.2797201818859744e-06,-0.3156988486884478,-0.012865257532855733,8.350983043357743e-06,0.00288980674844491,-7.654992634018362,0.28506781543652887,0.02148900478636499,0.030098280297987844,1.2209826960284085,0.004620631539651437,325.7461251330177,651.4922502659717,82.47100245651818,16.816969858630735,0.056074392372398536,64.55180771618542,1.596034585721568e-06,-0.30707646632553776,-0.01240983762103382,7.012421499521628e-06,0.002648097713363619,-7.622696107322455,0.10280581895797015,0.018479250591211145,0.03367587990751832,1.1182667683896226
25%,0.00746270259412658,350.4404204300665,700.8808408600667,78.64905759911575,23.328532820985068,0.16178406045007648,60.5197876222737,1.5889971180680177e-05,-0.016092715483220166,-0.0005570580241402762,2.4997783255872546e-05,0.004999772749973447,-1.1939555277677991,0.8200371134170206,0.035764144501611195,0.04662583504952669,1.537211603191475,0.007273355724369584,335.16504175371574,670.330083507403,83.32261888297512,21.988073502134846,0.3035613753915344,65.44396852135407,3.711076303973509e-05,-0.009001984635899352,-0.0003047729833923425,2.1061569528364973e-05,0.004589261940400255,-0.8993938347244167,0.5512831364257186,0.03792178217480364,0.05823590429747345,1.4938368848421057,0.008444972939850824,342.38993675257444,684.7798735051028,82.09453152110976,22.838177061648306,0.2770289833158106,61.13904154408873,7.461923042994628e-05,-0.010304894652010566,-0.00034233338108604705,2.7666765398179118e-05,0.005259912707570026,-0.6966140222413344,0.6485795045577261,0.0461776097708395,0.0574585512718719,1.7428366363398031,0.009175764790426491,345.8334689079014,691.6669378159186,81.61465767474951,23.33946690317259,0.261054332260212,60.14293335857871,7.268055281536572e-05,-0.010364610554397857,-0.00031431273688533896,2.7012589781049395e-05,0.005197349736657489,-0.6548612146959689,0.7002054222698862,0.041757994729444844,0.05097251987872952,1.6568868573929034,0.007581926122861804,338.2308036000843,676.4616072002184,84.3100999982243,22.48942489751687,0.2770289833158106,66.79494802874572,4.374863098049915e-05,-0.008702462179844606,-0.0002894663776229575,2.182733517892491e-05,0.004671931777299259,-0.6318707355303896,0.43296069053939534,0.034100518334068235,0.052911716870956485,1.424762637386582
50%,0.011705284817469679,364.4838318514585,728.9676637029091,78.98855063199328,26.904691126644824,0.23680379253140543,60.8382648990583,3.317310518646668e-05,0.010663489290115402,0.0003971051954969426,4.872526425175942e-05,0.0069803484334064175,1.0706718849546195,1.1904917364446912,0.04458176426849281,0.05783333589428282,1.7002566287178504,0.009639990869478421,343.56633254196703,687.1326650839086,84.38635703045615,24.480933070313657,0.39577849866982084,67.00348783628428,5.493314115734199e-05,0.011455874217292328,0.00041043567703082323,3.825181380624071e-05,0.006184805074231581,1.1734319307384125,0.7490339483659904,0.04962951763704346,0.06799312756915325,1.7050038695218235,0.012864886985213762,353.70113357704133,707.4022671536675,82.71955822791418,25.10344765658847,0.38863034070710306,61.396195265916916,0.00010557845050339789,0.013181116751121325,0.0004949545910405181,4.731357156241832e-05,0.006878486138854851,1.1858066615534677,0.8898200964760978,0.06563739663728034,0.06904464853032773,2.088260220515898,0.0132006843418067,357.7613314196409,715.5226628393008,82.1640515235907,26.02925496110314,0.3432427737268757,60.174062189638924,0.00011046393939519487,0.012776994926950946,0.0004614537850912722,4.281166451887848e-05,0.006543062319654191,1.2134326458418612,0.966207088046368,0.05702595520327157,0.06370245393734353,1.9159921069625023,0.010674222228941804,345.86876020889497,691.7375204176774,85.46597947089,25.073318794338896,0.38863034070710306,68.55398251010281,6.492386044941377e-05,0.01432956805963248,0.0005057751399407844,3.9044208961992154e-05,0.006248536545623475,1.2979074332325524,0.588140366118951,0.04536883701599174,0.06601745918571247,1.6301014483649996
75%,0.01964087676684043,409.46354912181397,818.9270982438618,79.9470479845823,31.687290548693085,0.32136341937278234,61.926342361812786,6.399377868610737e-05,0.03363246311929635,0.0011900331616137526,9.267001062516618e-05,0.009626494542373992,2.9518486321296247,1.6893017899109801,0.06645613733477515,0.06977566777569955,2.0226069656353323,0.01731851669743866,357.85596368364776,715.711927367267,85.49438457466891,28.39917967545889,0.4844617021358193,68.79268993066839,8.357967982031282e-05,0.02677096354549835,0.0009743105971420108,7.952504624820476e-05,0.008917673643534935,3.04466017232627,0.9518737562303673,0.06574386437062033,0.08287686412768687,1.9434722359047834,0.019692233623990103,375.19370404394374,750.3874080877276,83.51572641579835,28.07651655004985,0.4838888280272343,63.00618573555206,0.00015511396009876039,0.03269600423976571,0.0011764910459361303,9.390859665752536e-05,0.00969064473534497,2.98027294161517,1.2510351354260782,0.1000450805170835,0.09243652647550843,2.5218888936887254,0.020592250225500354,384.1607178256638,768.321435651829,83.0303196487126,29.205333943968135,0.4550972928281413,61.14810662819002,0.00015062573759821923,0.03538865155551574,0.0012621259459544359,0.0001010646225265388,0.01005309019782903,2.9300545238765094,1.3014367949892593,0.08945567470259755,0.08247589298460703,2.3544706462282434,0.01871855482029166,360.05267375319795,720.1053475064987,87.09158090621212,28.85089247463815,0.4838888280272343,70.96170300465651,9.252236456387104e-05,0.029543087234983778,0.0010551266885069673,8.4492812729659e-05,0.009191996396891266,3.1529784271883265,0.7624204620160975,0.06550288802640195,0.08282506482695344,1.9315404838048944
max,0.3570881802902289,1362.4197644155106,2724.839528831302,83.74885242369544,60.1981725399561,0.5476364527206596,65.08593241125266,0.0005751538874692382,0.21216692415209337,0.0070299818757778715,0.0022620651869546633,0.047561173103222165,12.342106461490943,3.7410621643391577,0.22982104241445692,0.16562991849627257,3.6938879616239384,0.34632789937440067,829.9945153861327,1659.9890307724868,98.03717238832432,63.45106669419929,0.722610032403782,91.05898111711738,0.0002061888417740025,0.32513544378109516,0.00952110920745087,0.0018049924347106861,0.042485202538186,10.848567684612297,1.8874214646902117,0.14260017713476825,0.14817113397002687,2.9811051987512447,0.3374553258788418,987.5239862311494,1975.0479724630081,86.994246920523,61.56642045377324,0.721202429485773,66.37075802262045,0.0005178839035626588,0.35634940346156063,0.010678181663057165,0.0019092482874544278,0.043694945788436766,10.597117692373129,3.1795327560392637,0.4529949486988706,0.18305121326019505,5.364569563900139,0.3335693324616415,1043.2196370607999,2086.4392741241613,86.20003606439664,62.60899893416499,0.7376272007639264,64.50925061616582,0.0005102497849959116,0.3773519661697071,0.011145678063424395,0.001801380091986616,0.04244266829484942,13.803267235265885,3.441174034120365,0.3724947382615238,0.19396843980564696,4.82322624145279,0.34196114615448153,780.6316627579023,1561.2633255182363,100.27310525720637,64.30303646255891,0.721202429485773,95.50917940117118,0.0002675903845887881,0.3282270127012079,0.00961421968665162,0.001817000435589639,0.04262628808129602,10.566302221868074,1.9264181395716917,0.14906364546881043,0.16272305492678704,3.0442560332165423
