K,Frobenius,LogEuc,GMVP_Sharpe,GMVP_Var,Turnover,Win_Rate_vs_Roll
1,0.0218950283356994,85.86362939541904,0.99585279683334,8.186435889775975e-05,0.3233165811449659,70.57471264367817
2,0.0221480732281309,83.8479402999429,0.9926585160345768,8.264895448636101e-05,0.462399965377834,68.27586206896552
3,0.0224004286534631,82.512615994022,1.0149950667996377,9.047227333064376e-05,0.5733608313523841,66.4367816091954
4,0.0223207408318844,80.45432405713387,1.0791351792671482,8.413613938906252e-05,0.6507573341805767,62.52873563218391
5,0.0225665311858522,80.27256895591012,1.058361846408062,8.495756850923998e-05,0.6645752463679689,64.82758620689654
6,0.0224390241920117,80.30620767055956,0.9687915508506688,8.35324213464921e-05,0.6512261818487369,65.28735632183908
