baseline,metric,model_mean,baseline_mean,mean_diff,t_statistic,p_value,n_pairs,significant_5pct,significant_1pct
roll,fro,0.022439024192011707,0.02430778735936254,-0.0018687631673508336,-4.238346097665797,2.7524346548219777e-05,435,True,True
roll,logeuc,80.30620767055956,68.20045114020769,12.105756530351869,20.951876615941522,7.38690177126314e-68,435,True,True
roll,gmvp_sharpe,0.9687915508506689,0.7541089964376013,0.2146825544130676,1.4061483366665717,0.16052388616611882,369,False,False
roll,gmvp_var,8.353242134649209e-05,8.161205650114598e-05,1.9203648453461092e-06,2.071187620664858,0.039037795572698666,369,True,False
roll,turnover_l1,0.6512261818487368,0.43670311098881753,0.21452307085991928,8.483153732664723,3.503266793574848e-16,434,True,True
pers,fro,0.022439024192011707,0.026658959042188426,-0.004219934850176719,-3.7270767806397305,0.00021933716424701446,435,True,True
pers,logeuc,80.30620767055956,58.07427401431243,22.23193365624713,37.38298389394696,8.875181495499094e-138,435,True,True
pers,gmvp_sharpe,0.9687915508506689,-0.939735927274356,1.9085274781250248,0.9187244791033558,0.3588414711497124,369,False,False
pers,gmvp_var,8.353242134649209e-05,8.598080209199178e-05,-2.448380745499691e-06,-1.2518480142704127,0.21142034404652912,369,False,False
pers,turnover_l1,0.6512261818487368,0.7297527225951117,-0.07852654074637488,-2.7954100373380384,0.005413904303034569,434,True,True
shrink,fro,0.022439024192011707,0.021914409482150406,0.0005246147098613013,3.558403043568537,0.0004142718905276934,435,True,True
shrink,logeuc,80.30620767055956,86.05793675113168,-5.751729080572119,-10.607102054522919,1.580378920847277e-23,435,True,True
shrink,gmvp_sharpe,0.9687915508506689,0.9958527968333399,-0.02706124598267101,-0.6127258260010964,0.5404360936410867,369,False,False
shrink,gmvp_var,8.353242134649209e-05,8.186435889775975e-05,1.6680624487323408e-06,3.65124292735114,0.00029877751419852535,369,True,True
shrink,turnover_l1,0.6512261818487368,0.3132636052465661,0.3379625766021707,13.950611678366066,8.587159566022048e-37,434,True,True
mix,fro,0.022439024192011707,0.021787018888466906,0.000652005303544801,5.022713713744495,7.455854275039245e-07,435,True,True
mix,logeuc,80.30620767055956,85.83609629518573,-5.529888624626167,-10.6390515228775,1.2043826472327972e-23,435,True,True
mix,gmvp_sharpe,0.9687915508506689,0.9877265951234562,-0.01893504427278725,-0.6099894754178837,0.5422452532213359,369,False,False
mix,gmvp_var,8.353242134649209e-05,8.166971045118044e-05,1.8627108953116558e-06,4.116254051441698,4.756788256975553e-05,369,True,True
mix,turnover_l1,0.6512261818487368,0.41659887109934146,0.23462731074939536,14.189235279244715,8.477150273738687e-38,434,True,True
