date,raw_anchor,mix_lambda,shrink_gamma,regime_assigned,regime_prob_0,regime_raw_0,regime_prob_1,regime_raw_1,regime_prob_2,regime_raw_2,regime_prob_3,regime_raw_3,model_vol_mse,model_vol_mae,model_vol_rmse,mix_vol_mse,mix_vol_mae,mix_vol_rmse,roll_vol_mse,roll_vol_mae,roll_vol_rmse,pers_vol_mse,pers_vol_mae,pers_vol_rmse,shrink_vol_mse,shrink_vol_mae,shrink_vol_rmse
2008-10-10,322,0.3,0.3,3,4.347875020742654e-13,9.999999999969998e-13,4.347875020750428e-13,9.999999999969998e-13,4.782690746212942e-13,9.999999999969998e-13,0.9999999999986521,0.999999999997,0.762948496931218,0.8006769906152789,0.8734692306722762,0.4028391350199198,0.5772311664714825,0.6346960965847512,0.30417317273658906,0.4992863354626254,0.5515189686099555,0.16275445331462152,0.35104959928293844,0.40342837445403057,0.30417317273658906,0.49928633546262546,0.5515189686099555
2008-10-17,327,0.3,0.3,3,4.347875020742654e-13,9.999999999969998e-13,4.347875020750428e-13,9.999999999969998e-13,4.782690746212942e-13,9.999999999969998e-13,0.9999999999986521,0.999999999997,0.3002052882700515,0.489346839931108,0.5479099271504866,0.15238447402444108,0.340994406650142,0.39036453991678227,0.11188012128742772,0.28272915097941254,0.33448485957876734,0.06710641480900305,0.19694346328473236,0.2590490586915981,0.11188012128742773,0.28272915097941254,0.3344848595787674
2008-10-24,332,0.3,0.3,3,4.347875020742654e-13,9.999999999969998e-13,4.347875020750428e-13,9.999999999969998e-13,4.782690746212942e-13,9.999999999969998e-13,0.9999999999986521,0.999999999997,0.8938069128476491,0.8733327839019291,0.9454136199820949,0.25084800759232184,0.4495704558976772,0.5008472896924988,0.12505389220519494,0.30237036253107347,0.35362959746773875,0.05224960016900665,0.18093022321371055,0.22858171442398154,0.12505389220519494,0.30237036253107347,0.35362959746773875
2008-10-31,337,0.3,0.3,1,4.347815974553146e-13,9.99999999997e-13,0.9999999999986956,0.9999999999970001,4.347815974549058e-13,9.99999999997e-13,4.3478160661113316e-13,9.99999999997e-13,0.1706025923840941,0.34175707784790904,0.41304066674371676,0.12036282708433843,0.2800208570605988,0.3469334620418423,0.10632876685077516,0.26082832998794747,0.3260809207095306,0.06088940540630089,0.1916454979946447,0.24675778692130648,0.10632876685077516,0.2608283299879475,0.3260809207095306
2008-11-07,342,0.3,0.3,1,4.347815974553146e-13,9.99999999997e-13,0.9999999999986956,0.9999999999970001,4.347815974549058e-13,9.99999999997e-13,4.3478160661113316e-13,9.99999999997e-13,0.7339186996204791,0.8032250943600444,0.8566905506777106,0.1852574190503034,0.38553231003435173,0.43041540289620606,0.09711512362250894,0.24135092152816187,0.3116329950799641,0.06434959695345255,0.19175041549286512,0.2536722234566736,0.09711512362250897,0.24135092152816187,0.31163299507996417
2008-11-14,347,0.3,0.3,1,4.347815974553146e-13,9.99999999997e-13,0.9999999999986956,0.9999999999970001,4.347815974549058e-13,9.99999999997e-13,4.3478160661113316e-13,9.99999999997e-13,0.5904636343844948,0.7060079688826854,0.76841631579795,0.12647976822715604,0.29934004506349554,0.35563994183324804,0.07775378120673945,0.20443651238323837,0.27884365011012796,0.07898652236338481,0.20899783761155624,0.2810454097888539,0.07775378120673945,0.20443651238323837,0.27884365011012796
2008-11-21,352,0.3,0.3,3,5.88235294121032e-13,9.999999999969998e-13,5.882352941213133e-13,9.999999999969998e-13,5.882352941208847e-13,9.999999999969998e-13,0.9999999999982352,0.999999999997,0.4887144022622014,0.6218151327699878,0.6990811127917858,0.08815866019690473,0.22648683182304752,0.29691524076224973,0.10709693619587489,0.25614975388252104,0.3272566824311994,0.11503520346190746,0.2756331010460139,0.3391683998575154,0.10709693619587489,0.256149753882521,0.3272566824311994
2008-12-01,357,0.3,0.3,3,5.88235294121032e-13,9.999999999969998e-13,5.882352941213133e-13,9.999999999969998e-13,5.882352941208847e-13,9.999999999969998e-13,0.9999999999982352,0.999999999997,0.3135540817162334,0.3936022498190429,0.5599590000314607,0.1046595297892029,0.2633649627493677,0.32351125141052345,0.24679111202788476,0.43534841235918603,0.49678074844732534,0.25142720898387094,0.4492280162270418,0.5014251778519612,0.24679111202788476,0.435348412359186,0.49678074844732534
2008-12-08,362,0.3,0.3,3,5.88235294121032e-13,9.999999999969998e-13,5.882352941213133e-13,9.999999999969998e-13,5.882352941208847e-13,9.999999999969998e-13,0.9999999999982352,0.999999999997,0.4322644667484614,0.568148500540815,0.6574682248964291,0.3467457992326521,0.5439386426375994,0.5888512539110807,0.3552407088004585,0.5435349233954363,0.596020728498983,0.35725554023102335,0.5500526937307257,0.597708574667474,0.3552407088004584,0.5435349233954363,0.596020728498983
2008-12-15,367,0.3,0.3,1,4.5454545454905263e-13,9.99999999997e-13,0.9999999999986365,0.9999999999970001,4.545454545490619e-13,9.99999999997e-13,4.545454545487232e-13,9.99999999997e-13,0.13502581685843393,0.2668037665082885,0.3674585920324002,0.16081933089003972,0.33784170589339524,0.40102285582001396,0.34963678825572003,0.5384253423630204,0.5913009286782155,0.30469477273675777,0.49744764783807793,0.551991641908424,0.34963678825572,0.5384253423630204,0.5913009286782154
