regime,n_days,pct_time,mean_fro,std_fro,mean_logeuc,mean_gmvp_var,mean_gmvp_sharpe,mean_turnover,first_date,last_date
0,181,27.341389728096676,0.024412253170134686,0.03304123542766553,82.99661532838013,0.00010127299088927829,0.9635888786597612,0.5111926363524152,2009-01-07,2021-10-28
1,197,29.758308157099698,0.0275584820659645,0.036754744250495006,84.50010841286286,6.032314795229234e-05,-0.47698857774948866,0.47936156799408935,2008-10-10,2021-11-26
2,135,20.39274924471299,0.02744422406326782,0.05702665601658509,83.73695965862639,0.0001057331588921289,2.2932463300268444,0.5073027832083312,2009-03-13,2021-09-09
3,149,22.507552870090635,0.026367484354502216,0.03081025064492465,85.40679009113542,7.407566762791458e-05,1.5366135508689058,0.4681593622435904,2008-11-21,2021-08-18
