,To_Calm Bull,To_Moderate Bull,To_Normal,To_High Stress
From_Calm Bull,0.5441176470588235,0.11764705882352941,0.22058823529411764,0.11764705882352941
From_Moderate Bull,0.19672131147540983,0.5901639344262295,0.09836065573770492,0.11475409836065574
From_Normal,0.09375,0.21875,0.578125,0.109375
From_High Stress,0.16666666666666666,0.125,0.16666666666666666,0.5416666666666666
