Method,Frobenius,Frobenius Std,LogEuc,LogEuc Std,GMVP Sharpe,GMVP Sharpe Std,GMVP Variance,GMVP Variance Std,Turnover,Turnover Std,Frobenius Rank,LogEuc Rank,GMVP Sharpe Rank,GMVP Variance Rank,Turnover Rank
Model,0.022439024192011707,0.03919462742022298,80.30620767055956,12.699874866426827,0.9687915508506689,7.261695232413934,8.353242134649209e-05,0.00019878902499001713,0.6512261818487368,0.5077295520832364,3.0,3.0,3.0,4.0,4.0
Roll,0.02430778735936254,0.04147480386222328,68.20045114020769,2.048754787650198,0.7541089964376013,9.7017433562295,8.161205650114598e-05,0.0001860306449107505,0.43670311098881753,0.24997197611803976,4.0,2.0,4.0,1.0,3.0
Pers,0.026658959042188426,0.044831191129854064,58.07427401431243,1.8949932708515285,-0.939735927274356,46.17396352111354,8.598080209199178e-05,0.00017292912419149798,0.7297527225951117,0.3470279855214842,5.0,1.0,5.0,5.0,5.0
Shrink,0.021914409482150406,0.039233420342501164,86.05793675113168,4.499928328304308,0.9958527968333399,7.254164621386727,8.186435889775975e-05,0.00019871915262354212,0.3132636052465661,0.17764312267068824,2.0,5.0,1.0,3.0,1.0
Mix,0.021787018888466906,0.03923466798745007,85.83609629518573,4.56984299344464,0.9877265951234562,7.251158318571312,8.166971045118044e-05,0.00019864043306719496,0.41659887109934146,0.22370641265269448,1.0,4.0,2.0,2.0,2.0
