paper_regime,n_days,pct_days,self_transition,pct_first_half,pct_second_half
1,181,27.341389728096676,0.7722222222222223,13.55421686746988,41.21212121212121
2,131,19.788519637462233,0.6641221374045801,26.20481927710843,13.333333333333334
3,136,20.54380664652568,0.625,26.80722891566265,14.242424242424242
4,214,32.3262839879154,0.7710280373831776,33.433734939759034,31.212121212121215
