,To_Regime_1,To_Regime_2,To_Regime_3,To_Regime_4
From_Regime_1,0.7722222222222223,0.06111111111111111,0.07777777777777778,0.08888888888888889
From_Regime_2,0.0916030534351145,0.6641221374045801,0.12213740458015267,0.12213740458015267
From_Regime_3,0.11029411764705882,0.13970588235294118,0.625,0.125
From_Regime_4,0.07009345794392523,0.06542056074766354,0.09345794392523364,0.7710280373831776
