paper_regime,legacy_name,cluster_id,realized_vol,avg_corr,mean_return,persistence,pct_days,n_days
1,Calm Bull,0,0.018593415255773734,0.2778549644171881,0.01840793323468741,0.7722222222222223,27.341389728096676,181
2,Moderate Bull,2,0.020052210377336257,0.3229783863180328,0.009584303601176236,0.6641221374045801,19.788519637462233,131
3,Normal,3,0.021084095423270353,0.3289894027625716,0.001069682152216491,0.625,20.54380664652568,136
4,High Stress,1,0.020309960872601698,0.33554271238747163,0.007407288492052638,0.7710280373831776,32.3262839879154,214
