date,raw_anchor,guardrail_trace_ratio,guardrail_trace_ratio_pre,guardrail_trace_ratio_post,guardrail_triggered,guardrail_trigger_reason,guardrail_mode,model_regime_conf_raw,model_regime_conf_adj,model_pers_blend_lambda,model_blend_to_pers_strength,model_blend_to_pers_conf_threshold,model_blend_to_pers_power,mix_lambda,shrink_gamma,floor_eps,apply_floor_to,regime_assigned,regime_prob_0,regime_raw_0,regime_prob_1,regime_raw_1,regime_prob_2,regime_raw_2,regime_prob_3,regime_raw_3,model_fro,model_kl,model_nll,model_stein,model_logeuc,model_corr_offdiag_fro,model_corr_spearman,model_eig_log_mse,model_cond_ratio,mix_fro,mix_kl,mix_nll,mix_stein,mix_logeuc,mix_corr_offdiag_fro,mix_corr_spearman,mix_eig_log_mse,mix_cond_ratio,roll_fro,roll_kl,roll_nll,roll_stein,roll_logeuc,roll_corr_offdiag_fro,roll_corr_spearman,roll_eig_log_mse,roll_cond_ratio,pers_fro,pers_kl,pers_nll,pers_stein,pers_logeuc,pers_corr_offdiag_fro,pers_corr_spearman,pers_eig_log_mse,pers_cond_ratio,shrink_fro,shrink_kl,shrink_nll,shrink_stein,shrink_logeuc,shrink_corr_offdiag_fro,shrink_corr_spearman,shrink_eig_log_mse,shrink_cond_ratio,model_gmvp_cumret,model_gmvp_mean,model_gmvp_vol,model_gmvp_var,model_gmvp_sharpe,mix_gmvp_cumret,mix_gmvp_mean,mix_gmvp_vol,mix_gmvp_var,mix_gmvp_sharpe,roll_gmvp_cumret,roll_gmvp_mean,roll_gmvp_vol,roll_gmvp_var,roll_gmvp_sharpe,pers_gmvp_cumret,pers_gmvp_mean,pers_gmvp_vol,pers_gmvp_var,pers_gmvp_sharpe,shrink_gmvp_cumret,shrink_gmvp_mean,shrink_gmvp_vol,shrink_gmvp_var,shrink_gmvp_sharpe,model_turnover_l1,mix_turnover_l1,roll_turnover_l1,pers_turnover_l1,shrink_turnover_l1,model_w_hhi,model_w_max_abs,model_w_l1,mix_w_hhi,mix_w_max_abs,mix_w_l1,roll_w_hhi,roll_w_max_abs,roll_w_l1,pers_w_hhi,pers_w_max_abs,pers_w_l1,shrink_w_hhi,shrink_w_max_abs,shrink_w_l1
2008-10-10,322,2.500000000000001,433.6609328156189,2.500000000000001,False,,invalid_only,0.2500000408801512,5.450686827816279e-08,0.6500000508730752,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,0.24999997427969126,0.24999997230136176,0.2500000408801512,0.2500000444750346,0.24999995344173329,0.24999994892442723,0.2500000313984242,0.25000003429917633,0.24097030600137728,494.0728044997233,,988.1456089980104,116.35122713944824,55.01755809441562,0.08881074474250254,133.25119215428782,6.84070182740197e-07,0.2384049530934494,476.36806848336226,,952.7361369679656,109.00272036951549,47.18600275086058,0.1453767581136532,115.17790200745894,2.360608738361774e-06,0.21868319189791438,3270670.1390401316,,6541340.278132834,77.47616458644293,27.5674754795295,0.2591452438703447,32.823682954271845,0.3625019171560275,0.20026334556148234,6857059.417320711,,13714118.83466595,68.49287845208168,27.535900907247004,0.25572696168787934,0.01311444694904657,0.6878626754942585,0.23802638049181674,493.82873477561185,,987.6574695517083,99.03107172825833,35.23935491065862,0.2591356555348113,91.86417953638606,0.2673980097083425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02674042509190432,0.03805452740343657,1.3675933107063794,0.03654126893668823,0.0596857445464278,1.4795791338384017,0.055369619596555564,0.07865771082901651,1.8117406748376224,0.053649926093872924,0.06077325632637195,1.9026269121078616,0.0468315853369002,0.08112241452659152,1.5782133057872683
2008-10-17,327,2.500000000000001,345.79461076428254,2.500000000000001,False,,invalid_only,0.2500000232257984,3.096773119419064e-08,0.6500000289032152,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,3,0.25000000140893114,0.25000000178966597,0.24999996680856282,0.24999996396243857,0.2500000085567078,0.2500000088320081,0.2500000232257984,0.2500000254158874,0.16448918422894174,496.89275014849676,,993.7855002962251,118.23085212648826,51.142262829101654,0.19827566639532385,137.99503455578474,8.386387772233874e-07,0.15623734359501557,473.2013237896927,,946.4026475789924,110.95613563356649,41.84268801633776,0.22896252045494822,119.74268524515296,3.031425096237746e-06,0.131943047690504,2843134.258240094,,5686268.516469771,78.21354464033247,21.813701817945212,0.3278877925509111,33.21435982208371,0.6216772042898467,0.1258380661432813,5729006.215379973,,11458012.43087555,67.5746210578907,23.295459695811683,0.30540840084775167,0.01693130933076004,1.0564810470001977,0.15575144526435586,465.72049754693865,,931.4409950954287,101.31014663150425,29.094280537590407,0.32788526447234967,96.80019472102913,0.4459379673042743,,,,,,,,,,,,,,,,,,,,,,,,,,0.7427211931832925,0.7040958167939804,0.9130611039269708,1.2162726832868243,0.7358614950690343,0.03613926783459018,0.053011235153104797,1.5392321016466608,0.05076636073072506,0.07858731534544472,1.6957302050469192,0.0752017183400724,0.0985370416979239,2.0308043232460813,0.07591736610555234,0.08197283618406132,2.1735954689087715,0.0650673553388389,0.10570071389097586,1.7609902043191723
2008-10-24,332,2.499999999999999,326.9861247927883,2.499999999999999,False,,invalid_only,0.25000003729409104,4.972545471678321e-08,0.650000046410423,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,3,0.25000000327949473,0.25000000382288734,0.24999992850406852,0.2499999223271187,0.2500000309223457,0.2500000331424841,0.25000003729409104,0.25000004070750986,0.1980601879736812,499.4039006093,,998.8078012205908,118.72123163613756,53.570273229051,0.18532092079112567,139.20660169243382,7.128493291676044e-07,0.19031048287771857,476.15196874513805,,952.30393749111,111.609111944085,44.37817573960458,0.20837601510842552,121.08235159678335,2.5416419075692155e-06,0.1590473688858456,2795210.9601526083,,5590421.920371067,78.80527719584806,22.549673314024275,0.30917637075106147,34.135293749329364,0.5469063323677689,0.12374051436624209,6027877.542911115,,12055755.085723411,68.23941849516929,22.793149272960946,0.29225635529393684,0.006395575635525057,0.950277285162265,0.1897274225891897,467.85055687562186,,935.7011137522873,102.18401566778671,31.517197020326076,0.30917979076090946,98.38138707099012,0.3916629949206804,,,,,,,,,,,,,,,,,,,,,,,,,,0.2878934381921913,0.279923947807045,0.508459060114496,0.7328093357312235,0.3515917378954584,0.036140917338541016,0.05216487424310376,1.551245823461345,0.051125842496389004,0.07999789459309427,1.694700945160436,0.07754909446329722,0.10059332694282858,2.0361314425554697,0.07442223158671257,0.08009518258055502,2.1915138159149636,0.0666222932727306,0.10951001341937446,1.7665836788133995
2008-10-31,337,2.499999999999999,281.80141387272505,2.499999999999999,False,,invalid_only,0.25000000671880246,8.958403278451025e-09,0.6500000083611763,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,0.25000000439925896,0.2500000047670129,0.25000000671880246,0.2500000071834357,0.24999999694590308,0.24999999677926818,0.24999999193603545,0.24999999127028327,0.22437765786014713,504.75349390734084,,1009.5069878147624,120.02110311196452,52.73407770153321,0.3274551880680341,142.4029036040673,6.20063850358932e-07,0.2102249642904336,479.68403738937747,,959.368074778255,113.01016358810095,42.619302745576434,0.3929470977757423,124.19270135638199,2.2865103094592435e-06,0.16865419356657962,2981079.7350174775,,5962159.470110382,80.53540869837155,20.33159728740955,0.37188842320025217,35.43617638722814,0.5778176108782994,0.14001040818491153,6075877.380260354,,12151754.760330802,68.32598050270988,20.94825933216775,0.3158877043026459,0.015809229037776217,0.9585933798119193,0.207198336624607,468.567550406866,,937.1351008146999,103.80097119416158,29.766791873906207,0.3718825504041011,101.59107555164013,0.4128659869167521,,,,,,,,,,,,,,,,,,,,,,,,,,0.47367838415606217,0.4906857702182063,0.8099754243762748,1.0809025312528016,0.5460859949091695,0.03909712562789821,0.061204742511707766,1.5811092209423179,0.05754792007647601,0.09250824039661788,1.7214229366875617,0.09074056649715094,0.118502414256863,2.1116150044712474,0.09529639088366362,0.10345655972311371,2.3694880635111084,0.0782250761301268,0.12904298744303686,1.77739259663502
2008-11-07,342,2.5,265.22827349071787,2.5,False,,invalid_only,0.2500000068623395,9.149785965926563e-09,0.6500000085398001,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,0.25000000145492296,0.25000000156664764,0.2500000068623395,0.25000000733945416,0.2500000005728452,0.2500000007215965,0.24999999110989246,0.24999999037230172,0.2418253091040352,507.32508174303,,1014.6501634848657,120.51560799020571,53.4247381537801,0.35079807709953714,143.713873864679,5.414904087561092e-07,0.2197238207034698,481.64183931144487,,963.2836786231737,113.60809804669017,42.59859080231282,0.4124435692964388,125.61774043232096,2.1566722539233126e-06,0.17286813280849647,3169038.2118651746,,6338076.423863303,81.41820958899375,19.866965293528835,0.35621816118355176,37.08435278983904,0.5949732104865271,0.14972767812810325,6524652.120587394,,13049304.241286356,69.26988063830011,20.50643614442509,0.28460336639973166,0.006148447593902913,0.8846022426365455,0.21345325859887665,467.1803221142292,,934.3606442286009,104.57019059663838,29.545751642657056,0.35621496972182054,103.2803155246568,0.4246465903797537,,,,,,,,,,,,,,,,,,,,,,,,,,0.3950560911979271,0.30665751589104645,0.5280244861144663,0.9846867021934999,0.33740951830434235,0.037669852228847445,0.060804553067085876,1.5203511119650914,0.05879366530539217,0.09678163661141931,1.693917278334857,0.09630561335011495,0.12759962384424076,2.1390614729221826,0.09750305181721734,0.10640911215801296,2.4049711274518737,0.08273822761711726,0.13906537880195546,1.7777301129003071
2008-11-14,347,2.5,247.26367272387895,2.5,False,,invalid_only,0.2500000061353887,8.180518262790315e-09,0.6500000076351504,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,3,0.24999999103536,0.24999999024103575,0.25000000262048505,0.25000000272874284,0.2500000002087662,0.2500000003258585,0.2500000061353887,0.25000000670436284,0.21658681953696665,509.74094632689787,,1019.4818926538924,121.05047372347099,51.29363378255153,0.29921662384994546,145.25000855088524,4.847655308714271e-07,0.17619729074723628,483.01448199666663,,966.0289639931291,114.21576301295289,38.45348787309754,0.3903133560772595,127.17830700655777,2.4519360034928864e-06,0.13547530336163607,3119428.6431803335,,6238857.286344421,81.82025857039888,19.72881409600011,0.29948755586855924,37.906107981990054,0.7773206677781832,0.1502428105630271,6191502.983708598,,12383005.967608495,68.5778829691425,22.597984761701046,0.24014402187130277,0.004808616786753251,0.8332033253727005,0.16426964349566808,464.7289354699166,,929.4578709403015,105.26781088829563,25.377963770979022,0.29949074733029046,104.8993232556992,0.5530486341343672,,,,,,,,,,,,,,,,,,,,,,,,,,0.6578346177211881,0.31027980082774614,0.5389294304322412,1.1946139277124066,0.3436282423773841,0.03149311783482832,0.05295333061600448,1.4052893847448773,0.060339004578214755,0.09868820641368724,1.7105046333410698,0.10200519329698013,0.1309841166424762,2.234737008443339,0.08839108780064088,0.09600104489595739,2.2669519544654375,0.0888342556058179,0.14530507871264217,1.827535640014941
2008-11-21,352,2.4999999999999996,228.59700750879736,2.4999999999999996,False,,invalid_only,0.25000001038050723,1.3840676308755443e-08,0.6500000129179644,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,0.24999999893096964,0.2499999990254763,0.2499999963183839,0.24999999604720935,0.25000001038050723,0.25000001091956725,0.24999999437013928,0.24999999400774708,0.15298095870775033,511.24091623428603,,1022.4818324680571,121.73342999514509,47.04189874898744,0.35294772895440474,146.96109180671897,6.88333701031325e-07,0.12183416399305759,483.7326090723247,,967.4652181453407,114.95294974673322,34.93366679471238,0.41602534342362874,128.94889832315926,3.2922434370318433e-06,0.1264022294263242,2740119.30105112,,5480238.602271865,82.22675977401671,22.3710473134054,0.2733850153097618,38.94337231055816,1.1125287138105953,0.1544678077547397,5272897.559448291,,10545795.119232025,68.14843071480267,26.642787565463177,0.19360113149720323,0.005975373661648667,1.2885696850947836,0.11809428277145745,459.8880416005378,,919.7760832004591,106.19074951669967,24.393412377677894,0.2733891525253663,106.99010965237551,0.7900512980993534,,,,,,,,,,,,,,,,,,,,,,,,,,0.38157152813053313,0.33372847719813814,0.591432975914649,0.8819529796606432,0.3985828765976033,0.03390719467340006,0.056615593922397595,1.4457453094138244,0.06188981867520266,0.10194895108183316,1.753990711416109,0.10551127687090826,0.13735037693104307,2.305958564185837,0.09537473047438709,0.10587514865808227,2.3450493737289904,0.09249129538327992,0.15399757276637577,1.862039443116262
2008-12-01,357,2.5,225.16227921915234,2.5,False,,invalid_only,0.25000001043482,1.3913093344086747e-08,0.6500000129855537,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,0.2500000032105201,0.25000000367716163,0.2499999948491574,0.24999999445022403,0.25000001043482,0.2500000109786029,0.24999999150550242,0.2499999908940114,0.08956583264986956,511.4941909817099,,1022.9883819631489,121.89219893187068,37.86039387140428,0.2614492725576251,147.3772603619755,1.6452329667303714e-06,0.09832637211332772,482.5678499833747,,965.1356999671443,115.21033041371771,27.656864268552546,0.2701220346396652,129.71272972141426,7.61953865216294e-06,0.18157529832784886,2072270.4615801207,,4144540.9231690713,82.23622200693919,28.839674053036916,0.21726972059115887,39.11618872715874,2.5985313186068066,0.2328478060275812,4094363.8648637338,,8188727.729718036,68.25677995407447,32.884889360783944,0.21945124125477727,0.04288021097486209,3.1503664718920783,0.11343631341005267,451.4617855799426,,902.9235711602082,106.78954339086432,22.63974408020865,0.21725940911355424,108.626236043361,1.836973147759506,,,,,,,,,,,,,,,,,,,,,,,,,,0.5191364218397916,0.316187127000584,0.5230006758213847,0.9456455515811438,0.30941957305098455,0.03452530290343708,0.054335840513867854,1.4383920894612627,0.06337324671101455,0.10159249071396574,1.7507776134887973,0.10567727575825424,0.13678981564986298,2.281587113353048,0.08794336480925381,0.09546165732965564,2.3252859751595225,0.09396014575932707,0.15584282441832722,1.8586220114489875
2008-12-08,362,2.499999999999999,219.14800378350964,2.499999999999999,False,,invalid_only,0.2500000228275954,3.0436793900060856e-08,0.6500000284076737,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,2,0.2499999958088779,0.24999999563189837,0.24999999274144233,0.24999999215922938,0.2500000228275954,0.2500000244490109,0.24999998862208433,0.24999998775986132,0.09519788338989356,512.7665927476467,,1025.533185496375,122.13735568839827,36.1363332242507,0.3250261231795915,148.016719077327,2.069420892186658e-06,0.11738044045450532,482.71640125675026,,965.4328025134473,115.39616662341969,25.921011320916996,0.31983729605158495,130.40688899996448,9.8494342763384e-06,0.21447524141736868,1844339.9510205449,,3688679.9020556193,82.0381479370585,30.436677100789375,0.23805269806821072,39.202997299131255,3.4782606572977213,0.25936200218648814,3553168.236993875,,7106336.473945672,67.9547610959625,34.17361847367983,0.2389753343489205,0.07304161850187998,4.075030246022776,0.136956523092401,449.08317925255847,,898.1663585047315,107.00904485872351,22.498644542838154,0.2380567135893635,109.52551985397466,2.4580585753298663,,,,,,,,,,,,,,,,,,,,,,,,,,0.29785818266626213,0.25699354916567424,0.5621452245670866,0.8209031041288969,0.2945951163365605,0.034406987325603995,0.053900475484307146,1.4352574624428773,0.06400428777250128,0.10146429159762953,1.769699926601894,0.10472500770889702,0.13367700624453338,2.3020539991392184,0.08809165216100855,0.09618367492659158,2.213081183452093,0.09464469135768487,0.15700010492506614,1.8381472252358153
2008-12-15,367,2.5000000000000004,230.27119000034034,2.5000000000000004,False,,invalid_only,0.2500000107643031,1.4352404154038823e-08,0.6500000133955771,0.35,0.75,2.0,0.3,0.3,0.0015,gmvp_only,1,0.25000000368283753,0.2500000040771256,0.2500000107643031,0.25000000975671494,0.24999998209003746,0.24999998165907267,0.250000003462822,0.25000000450708676,0.08332802195031296,510.80341488496805,,1021.6068297693982,121.69279720750038,39.99588486532433,0.41908912887669614,146.9333321419632,1.7060729486399497e-06,0.09830095844515768,480.6963785968513,,961.392757193973,114.9697697824742,27.690321082399425,0.42282157240988005,129.45438644790133,8.71233537894104e-06,0.1904513053093487,1734482.2302098735,,3468964.460461625,81.79018903733898,26.87579307550588,0.26790886431624783,38.995859759738025,2.990045958757678,0.20565034305605842,3391794.8788040755,,6783589.757649251,67.96988346370311,27.98860247388944,0.31978242244028277,0.0702522279567925,3.1739759233017826,0.11856354703506597,446.7148141410202,,893.4296282817598,106.64952766778589,21.65716219254614,0.2679095098904735,108.90269067556926,2.1130421086921563,,,,,,,,,,,,,,,,,,,,,,,,,,0.41671447012438156,0.17785311513643598,0.45035867762894355,1.154280165336557,0.2000801690265606,0.03031147801875678,0.04462111443269575,1.4216462150636735,0.06308255659527325,0.10188087086047473,1.7580942075404622,0.10690947748951926,0.13679106069007826,2.328434879027655,0.06884431444327037,0.07558779117415784,2.0954717975440307,0.09599841603510063,0.15869289238716922,1.8516853144515535
