,To_Calm Bull,To_High Stress,To_Normal,To_High Volatility
From_Calm Bull,0.28378378378378377,0.25675675675675674,0.20945945945945946,0.25
From_High Stress,0.18128654970760233,0.32748538011695905,0.2631578947368421,0.22807017543859648
From_Normal,0.23809523809523808,0.23214285714285715,0.24404761904761904,0.2857142857142857
From_High Volatility,0.20114942528735633,0.21839080459770116,0.29310344827586204,0.28735632183908044
